Please rate on the feeling thermometer the following groups and countries. - Younger Americans 
 (age 18-29) 
"","Younger Americans 
 (age 18-29)","Baby boomers
(age 56 to 76)","China","Italy","Mexico","Canada","Russia","Great Britain","Error Margin","N"
"AK",67.7,69.4,43.3,67.1,63.4,75.3,40.9,71.2,4.2,134
"AL",63.1,74.4,42.4,65,55.6,69.1,41.7,68.6,2.1,368
"AR",60.9,67.7,38.2,61.1,53,68.8,38.6,65.2,2.1,313
"AZ",60.2,69.1,40.9,67.6,59.9,72.7,43.2,70.4,1.7,509
"CA",65.5,69.2,47.5,69.6,63.7,74.2,46,71.2,1.3,764
"CO",63.3,68.9,44.1,70.3,60.7,73.7,43.3,71.1,1.9,425
"CT",64.9,69.2,44.5,71.6,60.5,75.6,42.2,74.4,1.8,348
"DC",77.9,71.3,50.2,70.7,66,78.4,44.5,70.7,2.2,265
"DE",65.3,74.1,39.2,70.8,58.2,74.8,41.1,73.2,2.1,304
"FL",62.3,69.1,40.4,64.3,56.4,70.3,41.4,67.9,1.4,763
"GA",68.5,72.7,44.4,66.4,61,72.5,45.3,69.3,1.7,446
"HI",61.7,69.6,44.4,64.3,56.1,71.8,40.4,68.9,2.1,378
"IA",65.7,69.2,44,69.1,57.9,72.8,43.2,71.6,2.1,353
"ID",61.7,67.8,42.8,70.2,57.3,72.3,44.2,71.9,2,287
"IL",63.4,69.3,41.8,68,59.3,73.3,41.1,71.6,1.6,496
"IN",59.5,69.1,41.2,64.4,52.9,72.7,39.2,70.3,1.8,420
"KS",62.9,70.6,44.8,69.2,61.5,78.1,42.5,73.9,2.3,324
"KY",61.3,71.1,40.5,64.4,54.4,70.2,39.4,69.2,1.9,372
"LA",63.3,71.9,41.2,65.4,56.7,69.2,42,66.6,2.1,335
"MA",66.5,65.8,43.5,72,59.5,77.8,41,73.3,1.6,412
"MD",66.2,70.1,43.9,68.5,60.2,72.9,40.7,70.2,1.7,413
"ME",63.2,72.2,43.7,67.3,57.7,76.3,41,72.7,1.9,312
"MI",67.4,68.2,43.7,68.2,59.8,76.5,42.8,71.8,1.5,415
"MN",61.1,69.1,44.2,68.8,57.5,76.3,42.5,72.6,1.7,435
"MO",64.3,71.8,41.5,65.6,55.5,72.5,41.3,68.4,1.9,416
"MS",63.4,71.9,37.8,63.3,54,66.7,36.4,65.5,2.2,284
"MT",62.2,72.4,38.1,66.7,54.4,74.7,40.9,70.9,2.6,232
"NC",64.9,71.3,40.2,66.6,55.9,72.1,39.5,69.3,1.6,486
"ND",58.2,72.6,39.5,64.8,50.4,75.5,45,73.4,2.9,155
"NE",62.7,70.3,42.3,66,56.7,74.9,40.6,72.2,2,323
"NH",62.3,69.4,41.5,69.6,57.5,79,38.7,73.3,1.8,304
"NJ",64.5,68.2,42.5,69.9,57.9,73.6,42.5,70.6,1.6,441
"NM",59.8,68.8,43.4,64.8,61.2,71,42.3,69.2,3,267
"NV",60.6,66.7,41.9,65.7,55.9,71.1,41.1,68.6,1.9,331
"NY",67.4,70.7,49.3,69.1,62.1,74,45.6,71.6,1.3,603
"OH",62.2,72.4,41,64.4,55.7,72.4,41.5,67.8,1.5,512
"OK",62,70.6,42,65,53.9,70.2,40.6,69,2.4,298
"OR",60.1,67.6,41.7,67.3,57.4,72.6,41.4,69.9,1.8,386
"PA",63.6,69.6,40.5,65.2,53.1,70.8,39.6,66.8,1.4,541
"RI",64.9,67.7,47.3,72.6,59.4,78.1,42.9,73.5,2.2,259
"SC",62.9,72.8,40.6,65.9,55.5,70.5,41.7,68.5,1.8,393
"SD",61.5,67.5,40.8,67.2,56.8,75.3,41.3,71.7,2.2,232
"TN",63.9,71.2,40.8,64.4,56.2,72.2,38.9,70,1.9,410
"TX",60.8,69.2,43.4,63.7,59.2,69.5,42.2,64.5,1.4,775
"UT",62,71,47.5,72.5,61.1,75.3,48,75.3,2.3,297
"VA",68.2,72,44.3,68.9,60.6,75.1,42.4,71.2,1.6,505
"VT",67.6,69.9,45,69,59.6,78.4,43.8,72.5,2.2,202
"WA",62.9,66.3,45.4,68.4,58.9,75.1,43.2,70,1.8,377
"WI",61.3,68.7,40.8,66.6,54.3,73,40,69.9,1.6,418
"WV",58.5,71.7,38.3,63.2,53.4,67.6,40.7,66.6,2.1,289
"WY",55.7,67.1,36.4,66.5,50.6,72.8,41.4,68.3,2.7,116
