How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your city government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",7.3,18.9,51.9,21.8,0.8,22399
"AK",5.2,27.8,50.9,16.2,10.8,167
"AL",9.7,24.4,47.7,18.3,6,413
"AR",11.8,17.3,54.8,16.1,6.9,381
"AZ",10.4,21.3,51.7,16.6,5.3,596
"CA",6.6,14.4,52.5,26.5,4.3,842
"CO",9.6,20.6,52.8,16.9,5.8,482
"CT",5.8,16.9,50.4,26.9,6,417
"DC",3.9,9.5,48.6,37.9,6.6,302
"DE",5.1,17.4,54.5,22.9,6.4,354
"FL",6.4,21.1,53.4,19.1,4.4,842
"GA",7.8,21.8,50.3,20.1,5.5,501
"HI",8.7,18.2,52.1,20.9,6.3,451
"IA",5.7,21.2,57.2,15.9,6.2,413
"ID",8.7,21.7,53,16.7,6.4,355
"IL",7.3,17,47.5,28.2,4.9,553
"IN",8.1,19.3,49,23.6,5.8,488
"KS",8,15.4,55.7,20.9,6.5,376
"KY",8,17.7,55,19.2,6,441
"LA",6.3,18.9,56.2,18.5,6.7,396
"MA",2.9,12.9,52.9,31.4,5.3,465
"MD",4.7,16.3,50,29.1,5.4,456
"ME",5.6,16,63.9,14.4,5.9,375
"MI",3.7,17.8,55.1,23.4,5.4,463
"MN",6.2,19.6,54.4,19.7,5.2,492
"MO",7,17.9,57.8,17.3,5.5,481
"MS",7.6,20.1,55.1,17.2,6.9,341
"MT",7.2,20,52,20.8,7,296
"NC",7.4,21.6,49.2,21.7,5.1,540
"ND",3.9,14.1,65.2,16.8,8.9,189
"NE",6.4,17.4,53.6,22.6,6.3,379
"NH",7.5,10.9,55.6,26,5.7,370
"NJ",5.2,16.6,50.3,27.9,5.1,499
"NM",9,25,48.7,17.3,8.7,307
"NV",11.6,22.6,53.2,12.5,6.3,390
"NY",7.4,14.6,48.8,29.2,4.5,655
"OH",5.5,15.9,55.3,23.3,4.6,579
"OK",11.7,24.1,46,18.1,7.2,362
"OR",8.5,22.6,50.8,18.1,5.8,448
"PA",7,18.2,54.7,20.1,4.5,598
"RI",8.6,12.6,54.8,24.1,6.6,308
"SC",9.8,23.1,52.7,14.4,5.6,465
"SD",4.9,17,54.1,23.9,7.2,295
"TN",7.4,22.7,55.1,14.8,5.6,479
"TX",8.1,22,46.8,23,4.3,874
"UT",6.4,20.9,53.7,19,6.8,345
"VA",7.8,20.7,48.8,22.6,4.9,568
"VT",2.5,9.8,60.8,26.9,7.4,228
"WA",8.9,17.4,50.7,23.1,5.7,431
"WI",6.3,20.4,50.5,22.8,5.3,469
"WV",7,24.7,54.4,13.9,6.8,335
"WY",11.1,18.4,49.5,21,9.8,147
