In the last week, how closely did you personally follow the health recommendations listed below? - Disinfecting often-touched surfaces 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.4,11.9,29.1,54.6,0.8,22339
"AK",8.7,14.8,26.1,50.4,11,164
"AL",3.2,10.5,25.6,60.7,5.9,411
"AR",5.7,14.4,28.3,51.6,7,381
"AZ",3.7,12.3,31.7,52.3,5.3,596
"CA",4.1,9.5,28.3,58.1,4.2,842
"CO",8.2,10.9,31.9,49.1,5.8,481
"CT",2.6,13.8,28.9,54.8,6,418
"DC",1.9,9.3,25.4,63.4,6.4,299
"DE",3.3,9,23.5,64.2,6.2,352
"FL",3.3,11.5,26.5,58.7,4.4,833
"GA",4.8,7.2,32.1,55.8,5.5,496
"HI",5.5,16.3,23.2,55,6.2,450
"IA",3.7,16.1,30.2,50,6.2,413
"ID",7.2,17.1,27.5,48.2,6.4,356
"IL",5.8,11.5,29.1,53.6,4.9,549
"IN",5.8,12.1,25.3,56.9,5.8,488
"KS",6.6,17,27.7,48.8,6.5,376
"KY",3.1,13.6,29,54.3,6,440
"LA",4.2,8.2,27.1,60.5,6.7,395
"MA",2.6,13.5,32.4,51.5,5.3,465
"MD",3.4,10.5,23.6,62.5,5.2,455
"ME",5,8.7,31.4,55,6.1,377
"MI",3.2,17,29.5,50.3,5.4,463
"MN",10.1,16,33.8,40.2,5.1,491
"MO",2.3,14.6,31,52.1,5.5,484
"MS",2.1,10.5,27.9,59.5,6.9,339
"MT",8.9,15.9,28.7,46.5,6.9,297
"NC",7,10.5,30.9,51.7,5.1,537
"ND",9.5,17,37.1,36.4,9,189
"NE",4.5,15.1,30.1,50.4,6.3,378
"NH",3.7,10.8,33.5,52,5.8,369
"NJ",2.2,7.2,31.4,59.2,5,500
"NM",5,11.5,32.4,51.1,8.7,306
"NV",4.3,12.1,32.8,50.9,6.3,389
"NY",2.3,10.7,28.5,58.5,4.4,651
"OH",5.5,10.8,31,52.8,4.6,573
"OK",6.5,8.8,28.8,55.9,7.2,361
"OR",7.4,14.7,28.3,49.5,5.8,446
"PA",4.8,10.3,29.9,55,4.5,599
"RI",3.8,13.2,28.7,54.3,6.6,306
"SC",4.6,8.9,29.7,56.7,5.6,464
"SD",5.6,18.3,34.9,41.1,7.2,295
"TN",3,8.9,28,60,5.5,480
"TX",3.2,10.3,29.9,56.6,4.3,870
"UT",3.4,16.6,32.5,47.5,6.8,344
"VA",5.4,10.4,27.4,56.8,4.8,567
"VT",8.8,12.5,32.5,46.2,7.6,227
"WA",4.9,18.4,31.8,44.9,5.7,428
"WI",6.2,15.4,29.4,49,5.3,467
"WV",3.6,11.1,30.4,54.9,6.8,335
"WY",6.6,16,32.2,45.2,9.7,147
