In the last week, how closely did you personally follow the health recommendations listed below? - Wearing a face mask when outside of your home 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",8,8.3,19.2,64.5,0.8,22314
"AK",5.1,12.3,22.7,59.9,10.7,166
"AL",9.1,13.5,18.4,59,6,410
"AR",13.1,10.3,21.5,55.1,6.9,381
"AZ",7.5,10.4,19.3,62.8,5.2,592
"CA",3,4.6,16.6,75.9,3.7,838
"CO",9.9,8.1,16.7,65.3,5.5,481
"CT",1.3,2.7,15.6,80.4,4.8,417
"DC",0.7,2.1,11.1,86.2,4.6,300
"DE",0.6,3.4,12.6,83.5,4.8,352
"FL",6.4,8.2,20.2,65.3,4.2,838
"GA",9.9,9.4,17.7,62.9,5.3,497
"HI",1.9,1.5,10.8,85.8,4.4,449
"IA",12,12,24.6,51.4,6.2,413
"ID",25.9,14.7,20.6,38.9,6.2,355
"IL",6,4.8,19.3,70,4.5,548
"IN",6.7,12.7,26.1,54.5,5.8,488
"KS",15.8,13.1,22.9,48.2,6.5,376
"KY",7.7,12.3,21.9,58.1,5.9,439
"LA",12.7,7.7,17.8,61.8,6.6,394
"MA",0.8,2.5,16.9,79.8,4.3,465
"MD",1.4,3.2,16,79.4,4.4,452
"ME",7.3,9.5,18,65.2,5.9,377
"MI",4.9,6.2,19.9,69,5,462
"MN",14.3,13.7,25.4,46.6,5.2,489
"MO",14.8,10.8,22.4,51.9,5.5,480
"MS",7.1,11.4,21.8,59.7,6.9,339
"MT",26,18.9,21.9,33.2,6.5,297
"NC",13.5,8.3,24.8,53.4,5.1,536
"ND",28.2,17.9,28.2,25.7,8.4,189
"NE",14.3,13.9,21.7,50.1,6.3,380
"NH",7.3,7,19.9,65.9,5.5,368
"NJ",1.2,2.8,15.1,80.8,4,499
"NM",7,9.3,17,66.7,8.2,308
"NV",9.5,7.6,19.6,63.2,6.1,390
"NY",1.5,2.7,16.9,79,3.7,654
"OH",9.9,10.2,22.2,57.7,4.5,575
"OK",14.3,12.6,22.5,50.6,7.3,361
"OR",8.9,13.1,25.6,52.4,5.8,444
"PA",4.3,6.4,13.7,75.6,3.9,596
"RI",3.8,4.9,17,74.4,5.8,305
"SC",9.9,10.8,20.7,58.6,5.6,462
"SD",18,17.5,29.6,34.9,6.9,295
"TN",10.9,12,21.6,55.5,5.6,479
"TX",7.4,7.8,20.6,64.2,4.1,868
"UT",7.8,12.1,28.4,51.7,6.8,345
"VA",5.2,8,16.5,70.3,4.5,566
"VT",9.8,9.4,18.6,62.1,7.4,226
"WA",7.5,9.4,23.3,59.8,5.6,426
"WI",12,13.3,25.6,49,5.3,467
"WV",14.6,10.6,23.4,51.4,6.9,333
"WY",28.4,13.2,19.8,38.6,9.5,147
