In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding public or crowded places 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.2,8.6,27.3,59.9,0.8,22352
"AK",2.8,14.7,29.8,52.8,10.8,167
"AL",4.9,9,30.1,56,6,411
"AR",3.7,10.7,36,49.6,7,381
"AZ",3.9,8.5,29.5,58.2,5.3,594
"CA",3.6,6.9,21.8,67.7,4,843
"CO",8.9,8.1,30.9,52.1,5.8,482
"CT",3.3,8.3,25.3,63,5.8,417
"DC",0.9,7.8,19.8,71.5,6,302
"DE",0.8,6.1,25.6,67.5,6,352
"FL",3.9,6,26.4,63.7,4.2,834
"GA",5.2,9.7,28,57.1,5.5,498
"HI",3.1,8.4,34.6,54,6.3,449
"IA",4.4,11.7,25.9,58,6.1,414
"ID",7.9,13.1,33.9,45,6.4,353
"IL",5.5,8.4,25.3,60.7,4.8,550
"IN",3.1,11.3,27.9,57.6,5.8,487
"KS",4.2,12.5,27.4,56,6.5,376
"KY",3.9,9.7,32.2,54.1,6,441
"LA",4.1,7.5,25.6,62.8,6.6,395
"MA",1.8,7.4,28.1,62.6,5.2,464
"MD",1,3.3,23,72.7,4.8,455
"ME",4.5,8.4,24.1,63.1,6,376
"MI",3.7,6.4,27.6,62.2,5.2,463
"MN",8.1,9.3,30.5,52.1,5.2,490
"MO",5.6,10.8,26.9,56.6,5.5,482
"MS",2.6,8,33.5,55.9,6.9,340
"MT",6.4,17.6,35.9,40.1,6.8,295
"NC",8.4,6.8,25.7,59,5,541
"ND",9.6,15.4,40.7,34.3,9.2,189
"NE",5.7,15.6,31,47.8,6.3,379
"NH",3.7,11,26.5,58.8,5.7,369
"NJ",2.1,4.5,22.7,70.7,4.6,499
"NM",5,7.5,27.5,60,8.5,308
"NV",3.8,10.1,28.4,57.7,6.3,389
"NY",2.4,4.8,22.4,70.4,4.1,653
"OH",4.9,8.4,27.9,58.9,4.5,575
"OK",6.5,7,33.6,53,7.3,360
"OR",6,7,30.4,56.6,5.7,444
"PA",5.4,7.2,26.9,60.6,4.4,600
"RI",3.8,5.8,24.6,65.8,6.3,307
"SC",4.6,9.1,26.4,59.8,5.5,462
"SD",7,12.6,32.2,48.2,7.3,295
"TN",2.5,12.6,28.1,56.8,5.6,479
"TX",4.7,9.1,26,60.2,4.2,874
"UT",4.6,11.7,35,48.7,6.8,346
"VA",3.9,6.7,26.6,62.8,4.7,567
"VT",5.5,10.6,26.1,57.8,7.5,226
"WA",4.2,7,30.5,58.3,5.6,430
"WI",6.2,9.2,25.9,58.8,5.2,466
"WV",2.4,10.2,30.8,56.5,6.8,336
"WY",8.4,16.6,29.6,45.4,9.7,147
