Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people in your community 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",41.2,48.1,10.7,0.8,2779
"AK",40.5,35.3,24.1,30.7,14
"AL",51.5,39.6,8.9,15.4,56
"AR",49.7,37,13.3,23.2,33
"AZ",59.7,34.2,6.1,13.8,67
"CA",38.9,52,9.1,12.3,96
"CO",28,54,18,16,65
"CT",17.2,74.6,8.2,14,62
"DC",45.6,45.6,8.7,18.9,41
"DE",24.5,67.3,8.2,16.9,39
"FL",43,51.8,5.2,11.8,110
"GA",26.9,62,11.1,15.5,57
"HI",35,56.1,8.8,16.4,58
"IA",38,47.8,14.3,19.6,41
"ID",46.1,42,11.9,20.2,36
"IL",27.1,54.4,18.5,14.1,64
"IN",49.8,37.5,12.7,14.8,63
"KS",49.6,46.9,3.5,20.1,40
"KY",39.2,56.7,4.1,18.2,54
"LA",53.7,31.9,14.4,18.6,57
"MA",22.9,54.1,22.9,13.9,62
"MD",31.4,56.1,12.4,15.6,55
"ME",39.9,47.2,12.9,17.2,49
"MI",44.7,54.3,0.9,16.8,49
"MN",44.2,41.8,14,15.1,56
"MO",37.4,52.3,10.4,16.5,53
"MS",36.2,47.2,16.6,22.7,33
"MT",60.9,32.7,6.4,19.8,38
"NC",33.4,53.9,12.6,13.4,78
"ND",35.7,60,4.3,28.7,16
"NE",53.1,27.8,19.1,19.8,41
"NH",32.5,55.4,12.1,14.8,57
"NJ",42.3,53,4.7,14.4,59
"NM",58.7,31.9,9.3,21.3,48
"NV",50.1,42.5,7.4,15.9,52
"NY",40.1,51.5,8.4,11.7,93
"OH",40.8,38.8,20.5,12.9,71
"OK",51.9,32.3,15.8,18.4,41
"OR",55.9,34.3,9.8,15.1,67
"PA",27.8,55.1,17.1,12.9,74
"RI",35.5,59.8,4.7,19.2,36
"SC",55.3,33.4,11.3,14.8,65
"SD",38.7,58.8,2.5,18.9,43
"TN",45.2,33.6,21.2,16.2,58
"TX",49.8,43.6,6.6,11.3,124
"UT",39.4,30.2,30.4,16.8,51
"VA",20.9,70.1,9,12.9,69
"VT",22.6,69.7,7.6,18.7,29
"WA",38.7,52.6,8.7,16.8,48
"WI",54.6,33.7,11.7,15.8,53
"WV",32.6,53.5,13.9,20.8,37
"WY",42.4,40.1,17.5,24.3,21
