Compared to last week,  would you say the social distancing guidelines issued by your state's government  have become stricter, less strict, or remained about the same? 
"","The guidelines are stricter now","The guidelines are less strict now","The guidelines have remained about the same","Error Margin","N"
"National",12.2,58.7,29.2,0.8,22414
"AK",7.9,63.2,28.8,10.5,167
"AL",10.5,57.8,31.6,6,412
"AR",6.6,61.9,31.4,6.8,382
"AZ",25.8,42.9,31.4,5.3,597
"CA",17.2,58,24.8,4.2,838
"CO",5.5,65.4,29.2,5.5,482
"CT",6.4,64.1,29.5,5.8,416
"DC",21.7,54.9,23.4,6.6,303
"DE",11.4,58.6,30,6.3,354
"FL",17,59.4,23.6,4.3,844
"GA",9,66.8,24.2,5.2,501
"HI",6.7,61.3,32,6.1,451
"IA",6.1,74.2,19.7,5.5,411
"ID",5.8,72,22.3,5.7,356
"IL",11.4,53.8,34.9,4.8,553
"IN",5.8,73,21.2,5.2,490
"KS",7.4,59.2,33.4,6.4,376
"KY",12,57.3,30.7,5.9,443
"LA",7.6,54.2,38.1,6.8,397
"MA",6.9,65.4,27.7,5.1,464
"MD",8.8,63.4,27.9,5.2,456
"ME",8.3,61.9,29.9,6,375
"MI",8.9,60.4,30.7,5.3,464
"MN",6,71.5,22.5,4.7,492
"MO",6.8,67.4,25.9,5.2,482
"MS",10.3,59.1,30.6,6.8,342
"MT",2.4,68.3,29.3,6.5,297
"NC",13.6,49.2,37.2,5.1,541
"ND",4.5,62.4,33.1,9,190
"NE",3.3,70.4,26.3,5.7,381
"NH",3.9,74,22.1,5.1,370
"NJ",11.5,70.8,17.7,4.6,500
"NM",15.8,46.4,37.8,8.6,308
"NV",20.3,48.8,30.9,6.3,392
"NY",15.7,50.7,33.6,4.5,655
"OH",8.3,59.9,31.8,4.5,578
"OK",7.7,56.9,35.3,7.2,362
"OR",14,45.5,40.5,5.8,448
"PA",10.4,59.4,30.2,4.4,599
"RI",4.5,64.6,30.9,6.3,308
"SC",14.2,51.8,34,5.6,465
"SD",7.2,61.9,30.9,7,297
"TN",9,62.4,28.6,5.4,480
"TX",25.4,52.1,22.5,4.3,872
"UT",19.1,51.9,28.9,6.8,344
"VA",16.2,54.6,29.2,4.9,568
"VT",5.8,63.1,31.1,7.3,228
"WA",17.9,49.3,32.9,5.7,432
"WI",5.9,60.1,33.9,5.2,469
"WV",5,65.2,29.8,6.5,335
"WY",4.7,67.3,28,9.2,147
