How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The White House 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",28.9,23.6,31.1,16.3,0.8,22368
"AK",32.5,29,30.3,8.1,10.2,167
"AL",24.1,19.1,37.5,19.3,5.9,413
"AR",24.8,23.1,31.3,20.8,6.5,380
"AZ",29.5,19.6,39.1,11.7,5.2,596
"CA",30.4,30.3,26.5,12.8,3.9,838
"CO",38.2,17.9,30.9,12.9,5.7,481
"CT",32.4,26.7,27.1,13.8,5.6,417
"DC",31.9,29.1,21.3,17.8,6.2,302
"DE",31.8,21.4,33.3,13.4,6,353
"FL",27.1,24.6,29.6,18.7,4,842
"GA",22.7,23.6,33.7,20,5.2,497
"HI",29.7,29.1,29.2,12.1,5.7,449
"IA",29.8,25.7,31.4,13.1,5.8,411
"ID",26.5,25.2,36.8,11.5,6.2,355
"IL",34,22.1,26.9,17,4.6,551
"IN",23.7,23.2,34.7,18.4,5.5,489
"KS",29,21.1,31.3,18.7,6,375
"KY",21.8,18.2,38.2,21.8,5.8,440
"LA",20.8,19.4,34.6,25.2,6.5,398
"MA",35,26.4,23.8,14.7,5.1,463
"MD",27.9,26.6,31.7,13.8,5,454
"ME",31.3,24.4,29.1,15.2,5.7,376
"MI",32.5,28.2,26.7,12.6,5,463
"MN",30.4,26.7,29.7,13.3,4.8,492
"MO",24.3,21.8,39.1,14.8,5.4,482
"MS",25.7,18.8,33.8,21.8,6.6,341
"MT",31.7,18.8,31.9,17.7,6.5,295
"NC",32.7,21.8,29.6,15.9,4.8,539
"ND",15.6,24.1,38.5,21.9,9.1,188
"NE",23.6,21.8,36.6,17.9,6.1,380
"NH",38.2,23.1,26.1,12.7,5.6,368
"NJ",34.1,23.8,26.8,15.3,4.8,500
"NM",23.4,28.7,37.3,10.6,8.4,306
"NV",36.4,21.8,28.5,13.3,6.1,391
"NY",29.7,22.3,32,16,4.2,651
"OH",27.8,22.5,29.9,19.8,4.2,579
"OK",27.7,19.1,30.7,22.5,6.7,360
"OR",33.3,21.3,27.4,18,5.5,447
"PA",26.7,24.7,32,16.7,4.2,599
"RI",30.5,27.5,27.7,14.3,6.1,308
"SC",29,20.7,36.2,14.1,5.4,463
"SD",26.4,20.5,37.1,16,7,292
"TN",24.7,22.1,32.3,20.8,5.3,481
"TX",25.3,24.6,32.9,17.2,4,873
"UT",27.2,22.3,33.9,16.7,6.4,346
"VA",33,22.1,26.8,18.1,4.6,567
"VT",30.9,27.1,32.8,9.2,7.2,227
"WA",37.4,24.7,26.9,11.1,5.5,431
"WI",31.2,24.5,30.4,13.9,4.9,469
"WV",19.8,19.8,37,23.4,6.6,336
"WY",20.4,21.2,41.3,17.1,9.6,147
