How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Banks 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",12.9,25.8,45.6,15.7,0.8,22368
"AK",15.7,37,35,12.4,10.5,166
"AL",11.8,24,46.9,17.3,6,412
"AR",15.1,29.6,39.4,15.9,6.8,381
"AZ",13.7,23.8,47,15.5,5.3,596
"CA",10.4,30.7,45.4,13.5,4.2,843
"CO",17.5,27,42.9,12.6,5.8,480
"CT",13.9,27.1,46.3,12.8,6,416
"DC",11.2,27.8,48,12.9,6.6,303
"DE",8.4,26.1,49.6,16,6.4,353
"FL",12.6,23.2,47.7,16.5,4.4,839
"GA",11.3,25.3,44.5,18.9,5.5,497
"HI",9.2,17.9,54.3,18.6,6.3,450
"IA",13.8,24.1,48.8,13.3,6.2,414
"ID",17.5,25.6,44.7,12.3,6.4,354
"IL",16.1,24.8,43.1,16,4.8,549
"IN",10.5,26.4,47.8,15.3,5.8,487
"KS",15.2,23.6,46.6,14.7,6.5,374
"KY",10.8,18.7,53.8,16.7,6,441
"LA",10.6,21.4,50.3,17.7,6.8,398
"MA",13.2,24.3,49.2,13.3,5.3,468
"MD",10.8,26.1,46,17.1,5.4,456
"ME",13,23.2,41.9,21.8,6.1,374
"MI",10.1,27.6,45.5,16.8,5.4,462
"MN",11.3,25.1,48,15.7,5.2,488
"MO",10.1,26.8,51,12,5.5,479
"MS",11.8,22.5,47.4,18.3,7,339
"MT",11.7,28.1,45.3,14.9,6.9,297
"NC",11.4,24,47.4,17.2,5.1,539
"ND",10.4,22.4,53.6,13.7,9.3,189
"NE",10.7,24.3,51.1,13.9,6.3,379
"NH",12.6,24.4,48.2,14.8,5.8,370
"NJ",14.4,25.7,44,15.9,5.1,498
"NM",13.3,33.8,38.4,14.6,8.4,308
"NV",19.1,31,40.7,9.1,6.2,391
"NY",10.4,25,45.9,18.7,4.5,652
"OH",14.6,26.6,41.8,17,4.5,578
"OK",14,29.2,40.3,16.5,7.1,362
"OR",14.7,25.4,46,13.9,5.8,447
"PA",10.6,27,45.2,17.1,4.5,600
"RI",10.4,25.6,51,12.9,6.6,308
"SC",18.4,22.7,43.8,15.1,5.6,464
"SD",11.8,27.8,47.1,13.3,7.3,292
"TN",15.6,24,46.5,13.8,5.6,478
"TX",15.3,27.5,41.8,15.4,4.2,875
"UT",14.2,27.8,45.2,12.7,6.7,345
"VA",12.6,26.9,44.7,15.8,4.9,568
"VT",12.3,25.7,48.9,13.1,7.6,228
"WA",15.3,27.8,46.1,10.9,5.7,430
"WI",11.4,28.1,43.3,17.2,5.2,469
"WV",10.8,21.9,52.4,14.9,6.8,335
"WY",11.1,24.8,40.1,24,9.6,147
