How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Pharmaceutical companies 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",8.7,21.1,46,24.2,0.8,22347
"AK",8.3,30.3,47.2,14.3,10.8,167
"AL",7.8,22.6,43.3,26.3,6,411
"AR",9.5,24.4,43.8,22.4,6.9,382
"AZ",9.1,19,48,23.9,5.3,596
"CA",8.2,18.2,50.9,22.7,4.3,842
"CO",16.1,28.8,39,16.2,5.7,481
"CT",10.2,20.3,46.7,22.8,6,414
"DC",5,19.7,47.8,27.4,6.6,303
"DE",5.6,16.3,55.1,23,6.4,352
"FL",8.1,21.4,45.7,24.7,4.4,840
"GA",8.1,22.4,43.4,26,5.5,497
"HI",8.8,22,45.2,23.9,6.3,448
"IA",8.4,27.1,43.9,20.6,6.2,414
"ID",14.6,27.8,41,16.6,6.3,354
"IL",9.9,19.8,44.9,25.4,4.8,550
"IN",5.5,21.1,47,26.4,5.8,488
"KS",8,28.3,42.2,21.5,6.5,374
"KY",7.4,21,49.7,21.9,6,439
"LA",7,18.5,50.2,24.2,6.8,397
"MA",7.5,20.3,49,23.2,5.3,467
"MD",5.6,21.4,45.9,27,5.4,455
"ME",8.9,25.2,48,18,6.2,376
"MI",7.7,26.3,40.4,25.6,5.3,463
"MN",8.6,25.8,42.6,23,5.2,490
"MO",8.9,21.7,47.9,21.5,5.5,477
"MS",7.5,24.6,48.7,19.2,7,340
"MT",9.5,29.4,39.4,21.7,6.8,296
"NC",11.7,21.5,44.4,22.5,5.1,539
"ND",6.5,12.9,56,24.6,9.3,188
"NE",10.5,19.3,46.2,23.9,6.3,380
"NH",10.4,22.9,45.4,21.3,5.7,370
"NJ",5,18.1,49.3,27.6,5.1,500
"NM",6.9,32.4,38.5,22.2,8.5,305
"NV",14.8,19.9,48.2,17.1,6.3,391
"NY",6,17.8,46.3,29.9,4.5,650
"OH",7.5,22.6,44.1,25.9,4.6,576
"OK",11.6,20,47.8,20.6,7.3,361
"OR",13.8,20.9,47.9,17.4,5.8,447
"PA",6.6,21.1,45.1,27.3,4.5,599
"RI",10.6,19.6,46,23.8,6.6,307
"SC",7.3,17.5,51,24.2,5.7,462
"SD",7.5,20.6,49.6,22.3,7.3,294
"TN",10.5,22.9,45.6,21.1,5.6,478
"TX",9.2,20.9,45.3,24.6,4.3,870
"UT",11.9,23.1,44,20.9,6.7,346
"VA",8.2,26,42,23.9,4.8,568
"VT",8,26.2,44.4,21.4,7.6,228
"WA",12.3,23.7,45.1,18.9,5.7,429
"WI",7.9,20.5,46.1,25.4,5.3,468
"WV",7.8,20.6,47.7,23.9,6.8,333
"WY",12.4,14.7,50.1,22.8,9.9,145
