How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Scientists and researchers 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",2.8,7.3,38.6,51.3,0.8,22370
"AK",1.3,11.6,33,54.2,10.8,167
"AL",2.5,10,45.7,41.9,6,411
"AR",5.5,10.3,41.4,42.8,6.9,382
"AZ",2.6,7.1,40.2,50.1,5.3,595
"CA",1.4,5.9,37.1,55.5,4.2,843
"CO",3.7,9.2,39.9,47.2,5.8,480
"CT",2.8,4.3,35.4,57.5,5.9,414
"DC",1.6,6.9,33.6,57.9,6.5,302
"DE",1.8,6.4,40.3,51.5,6.4,354
"FL",2.8,10.2,37.1,49.9,4.4,842
"GA",3.7,9.4,36.7,50.2,5.6,497
"HI",1.5,7.1,36.5,54.9,6.2,450
"IA",1.2,6.7,43.1,49,6.2,414
"ID",4.8,9.5,40.1,45.5,6.4,355
"IL",2.6,6.7,37.2,53.5,4.9,549
"IN",1.9,7.3,40.5,50.3,5.8,488
"KS",3.5,9.2,36,51.3,6.5,375
"KY",3.3,8.4,39.7,48.5,6,441
"LA",4,9.5,40.6,45.8,6.8,398
"MA",1.2,5,33.4,60.4,5.2,467
"MD",2.4,5.2,34.6,57.8,5.3,456
"ME",1.1,8,37.4,53.6,6.2,376
"MI",2.4,6.9,36.2,54.5,5.4,462
"MN",2.2,7.7,35.9,54.3,5.2,490
"MO",3.3,6.2,44,46.4,5.5,479
"MS",5.6,9.2,45.2,40,7,340
"MT",1.6,6,43.6,48.9,6.9,297
"NC",4.2,10.3,37.4,48.1,5.1,539
"ND",2.1,6.1,43.2,48.5,9.3,189
"NE",2.8,6.4,43.5,47.3,6.3,379
"NH",3.5,2.9,31.3,62.3,5.6,370
"NJ",2.2,5.8,38.6,53.4,5.1,497
"NM",1.8,11,38.6,48.6,8.7,307
"NV",3.5,7.5,39.9,49.2,6.3,392
"NY",2.1,6.1,37.6,54.2,4.5,651
"OH",3.9,6.2,40.4,49.4,4.6,577
"OK",5.1,8,32.5,54.4,7.2,362
"OR",4.3,6.4,39.9,49.4,5.8,447
"PA",3.7,6.6,38.6,51.1,4.5,601
"RI",2.3,6.3,31.7,59.8,6.5,308
"SC",2.6,9.5,43.8,44.1,5.6,466
"SD",1.7,10.3,34.9,53,7.3,294
"TN",3.5,9.5,41.8,45.1,5.6,479
"TX",4.6,9.3,37.5,48.5,4.3,870
"UT",0.7,5.7,43.5,50.1,6.8,345
"VA",4.5,7.3,39.3,48.9,4.9,566
"VT",1.5,9.4,27.5,61.6,7.4,228
"WA",3,8.5,37.8,50.7,5.7,431
"WI",0.1,5.8,41.7,52.4,5.3,468
"WV",3.8,7.8,36.9,51.5,6.8,334
"WY",1.7,12,45.5,40.8,9.8,146
