In the last week, how closely did you personally follow the health recommendations listed below? - Frequently washing hands 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",1.7,4.5,19.9,74,0.7,22344
"AK",2.6,4.8,26,66.7,10.3,165
"AL",1.7,5.6,15.9,76.8,5.1,410
"AR",2.1,6.2,22.2,69.5,6.4,380
"AZ",1.9,4.8,17.2,76.1,4.5,595
"CA",0.9,2.6,19.7,76.8,3.6,841
"CO",5.3,4.2,24.4,66.1,5.5,482
"CT",0.7,5.1,17.6,76.6,5.1,417
"DC",0,3.3,15.3,81.4,5.2,301
"DE",0,4.8,19.8,75.4,5.5,354
"FL",2.1,4.8,19.8,73.2,3.9,839
"GA",0.6,3.1,21.9,74.3,4.9,497
"HI",0.3,3.6,19.1,77,5.3,449
"IA",1.5,4.8,25.1,68.7,5.8,413
"ID",4.2,3.8,22.5,69.5,5.9,356
"IL",1,5.1,20.1,73.8,4.3,547
"IN",1.4,6.4,16.4,75.8,5,488
"KS",5,6.6,19.9,68.5,6.1,376
"KY",0.8,7,16.7,75.5,5.2,438
"LA",1.7,4.3,13.1,81,5.4,396
"MA",0.4,5,19.8,74.7,4.6,467
"MD",0.8,4.5,14,80.7,4.3,455
"ME",2.7,2.8,19.2,75.2,5.3,376
"MI",0.6,6,23,70.4,4.9,460
"MN",4.5,7.6,26,61.9,5.1,489
"MO",1.7,5.5,21.7,71.1,5,484
"MS",1.6,2.7,18.6,77.1,5.9,339
"MT",2,6.3,28.2,63.4,6.7,293
"NC",3.9,3.1,25.9,67.2,4.8,538
"ND",3.9,2.9,32.8,60.4,9.1,189
"NE",3,2.4,28.3,66.2,5.9,381
"NH",1.6,1.3,21.4,75.7,5,369
"NJ",0.2,4.8,16.5,78.6,4.2,499
"NM",0.6,3.6,23.8,71.9,7.8,308
"NV",1,5.3,15.6,78.1,5.2,390
"NY",0.2,4.8,17.9,77.2,3.8,653
"OH",1.4,2.8,19,76.8,3.9,576
"OK",3.1,3.6,24.7,68.6,6.8,360
"OR",4.3,8,21.9,65.8,5.5,445
"PA",2,2.7,21.4,74,3.9,600
"RI",2.3,5.2,20.4,72.2,5.9,307
"SC",1.7,2.3,19.3,76.7,4.8,463
"SD",3.2,3.4,31.9,61.5,7.1,295
"TN",0.6,4.3,16.1,79,4.6,481
"TX",1.9,3.5,18.2,76.5,3.7,871
"UT",0.9,3.5,25.1,70.5,6.2,343
"VA",2.3,5.6,20.2,71.8,4.4,568
"VT",5.3,5.9,16.4,72.3,6.8,225
"WA",1.5,5,22.9,70.6,5.2,431
"WI",2,6.7,24.1,67.3,5,464
"WV",0.8,3.8,20.3,75,5.9,334
"WY",5.7,4.2,33.5,56.6,9.7,147
