How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The CDC (Centers for Disease Control and Prevention) 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",6.6,12.8,42.5,38,0.8,22334
"AK",6.7,14.5,46,32.8,10.8,165
"AL",12.8,11.3,43.1,32.8,6,412
"AR",10.3,13.9,34.5,41.4,6.9,381
"AZ",7.2,14.9,44.1,33.8,5.3,593
"CA",6,10.5,43.3,40.2,4.2,840
"CO",10.1,13.9,41.2,34.8,5.8,479
"CT",5.8,12.3,39,43,5.9,416
"DC",2.1,7.1,41.4,49.4,6.6,301
"DE",5.7,8.5,43.9,41.9,6.4,353
"FL",4.9,15,41.4,38.7,4.3,841
"GA",7.7,12.4,39.9,40,5.4,496
"HI",5,12.6,40.4,42,6.2,448
"IA",5.2,16.2,39.1,39.4,6.1,412
"ID",7.7,17.1,42.8,32.4,6.3,353
"IL",6.5,13.3,41.8,38.4,4.8,549
"IN",5.2,11.5,44.9,38.4,5.8,487
"KS",11.8,14.9,39.4,33.9,6.4,376
"KY",6.8,13.2,46.6,33.4,6,440
"LA",7.2,15.9,39,37.9,6.6,398
"MA",4.9,9.1,44.3,41.7,5.3,465
"MD",4.7,9.3,44.3,41.7,5.4,455
"ME",4.4,7.7,41,46.9,6.2,375
"MI",3.6,16.3,45.9,34.1,5.4,460
"MN",7.7,10.2,44.8,37.3,5.2,492
"MO",6.2,13.9,45.8,34.1,5.5,483
"MS",10.4,15.8,43,30.8,6.9,340
"MT",5,16,45.1,34,6.9,294
"NC",8.2,14.1,40.1,37.5,5,539
"ND",9,14.6,41.5,34.9,9.2,188
"NE",7,14.3,45.3,33.5,6.3,379
"NH",6.7,13.1,38.5,41.7,5.7,367
"NJ",6.6,11.2,42.9,39.3,5,500
"NM",8.8,14.1,40.5,36.6,8.5,307
"NV",6.5,14.2,43.2,36.1,6.3,390
"NY",5.7,11,44.8,38.6,4.5,651
"OH",6.7,14.3,40.5,38.5,4.5,578
"OK",7.1,13.7,41,38.2,7.2,362
"OR",6,12.2,41.2,40.6,5.7,446
"PA",6.4,14,47.3,32.3,4.5,598
"RI",4.4,10.9,47.4,37.2,6.6,307
"SC",7.4,11.3,48.5,32.8,5.7,463
"SD",6,12.4,50.3,31.3,7.3,291
"TN",6.7,13.4,44.4,35.5,5.6,478
"TX",8.1,14.7,39.2,38,4.2,872
"UT",7.6,8.7,47.8,35.9,6.8,342
"VA",7.4,12.7,42.7,37.2,4.8,566
"VT",4.4,8.2,37.9,49.5,7.6,227
"WA",5.9,17.1,39.7,37.4,5.6,428
"WI",6.7,12.3,40,40.9,5.2,469
"WV",7.2,12.9,41.9,38,6.8,335
"WY",16.5,15.1,31.7,36.7,9.4,147
