How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Joe Biden 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",27.1,24.3,33.7,14.9,0.8,22323
"AK",35.4,30.4,27.6,6.6,10.4,166
"AL",36.7,22.2,29.8,11.3,5.8,412
"AR",40.3,22.4,23.5,13.8,6.8,381
"AZ",29.9,24,33.5,12.6,5,594
"CA",20.6,22,41.2,16.2,4.2,839
"CO",29.9,26.3,34,9.8,5.5,479
"CT",23.1,23.1,38,15.7,5.8,417
"DC",8.3,20.9,43.8,26.9,6.6,303
"DE",17,19.9,38.1,25,6.2,351
"FL",30.8,23.6,30.6,15,4.1,839
"GA",28.9,25.4,28.5,17.2,5,496
"HI",23.4,27.4,34.3,14.9,5.9,451
"IA",26.2,25.3,36.7,11.8,6,411
"ID",37,28.6,25.5,8.9,6.2,352
"IL",22.7,25.1,34.6,17.6,4.6,550
"IN",31.7,22.2,30.9,15.1,5.4,489
"KS",34.3,27.2,31,7.5,6.2,374
"KY",33.8,23.4,30.4,12.4,5.7,438
"LA",27.2,28.4,29.2,15.2,6.2,397
"MA",21.4,19.2,40,19.4,5.2,463
"MD",15.8,23.1,38.3,22.9,5.3,455
"ME",25.2,25.4,35.6,13.8,5.9,375
"MI",22.3,23.3,34,20.4,5.1,463
"MN",27.3,28.9,33.3,10.5,4.9,492
"MO",30,25.3,31.6,13.2,5.1,480
"MS",33.2,23.9,31.5,11.4,6.6,340
"MT",39.8,23.7,25.5,11,6.8,295
"NC",30.3,20.8,31.7,17.2,4.7,537
"ND",39.3,26.9,27.8,6,9.1,188
"NE",32.8,24.1,32.6,10.6,5.9,378
"NH",27.1,24.2,33.6,15.1,5.5,369
"NJ",23.4,22.1,36.1,18.5,4.9,499
"NM",27.4,26.4,32.7,13.5,8.1,307
"NV",28.8,26.6,31.8,12.9,5.9,391
"NY",18,22.3,41.8,18,4.4,651
"OH",29.2,22.7,32.4,15.7,4.3,575
"OK",34.4,20.9,32.3,12.4,6.9,361
"OR",28.6,26.1,32.1,13.1,5.4,445
"PA",27.5,23.3,34.5,14.6,4.3,597
"RI",22.1,31.6,34,12.4,6.3,308
"SC",33.5,20.7,31.5,14.2,5.3,462
"SD",34,28.1,31.5,6.3,6.9,292
"TN",34.3,25.8,27.9,12,5.3,479
"TX",26.4,25.3,31.6,16.7,4,867
"UT",33.2,25.6,33,8.2,6.4,343
"VA",28.9,19.2,34.8,17.1,4.6,568
"VT",19,25.8,42.3,12.8,7.5,228
"WA",19.8,25.4,39.4,15.4,5.6,430
"WI",27.8,24,32.8,15.5,5,466
"WV",35.3,21.5,31.7,11.4,6.6,334
"WY",41.4,24.6,27.4,6.7,9.7,146
