How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your state government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",9.9,19.2,46.2,24.7,0.8,22345
"AK",7.9,29.1,47,16,10.8,167
"AL",11.8,25.6,48.7,13.9,6.1,411
"AR",11,18.7,43.6,26.7,6.9,382
"AZ",15.4,28.2,43.2,13.1,5.3,595
"CA",8.8,14.2,48.9,28.2,4.3,837
"CO",14,16.9,46.2,23,5.8,478
"CT",8.5,14.7,45.5,31.4,6,416
"DC",4.7,13.4,45.3,36.6,6.6,301
"DE",5.8,17,50.5,26.8,6.4,353
"FL",10.8,25.9,43.8,19.5,4.4,837
"GA",11.9,22.8,46.6,18.7,5.5,497
"HI",8.8,18.9,52.2,20.1,6.3,450
"IA",11.6,28,46.2,14.2,6.2,411
"ID",9.4,22.7,49,18.9,6.4,354
"IL",13.4,16.4,39.5,30.7,4.8,551
"IN",7.5,15.3,55.1,22,5.8,488
"KS",8.8,17.6,46.7,26.9,6.5,375
"KY",12.3,16.8,36.7,34.2,5.8,440
"LA",7.5,15.4,50.5,26.6,6.8,398
"MA",4.7,14.2,45.2,35.9,5.3,463
"MD",5,12.2,45.1,37.7,5.4,457
"ME",9.7,16.4,52.1,21.8,6.2,375
"MI",9.8,13.9,37.5,38.8,5.2,463
"MN",11.1,18.4,43.2,27.4,5.1,492
"MO",8.8,21.6,55.6,14.1,5.5,481
"MS",10.1,21.8,51.4,16.7,7,340
"MT",8,20.1,46.3,25.7,6.9,295
"NC",12,17.4,48.7,21.9,5.1,539
"ND",3.3,16,58.5,22.2,9.2,188
"NE",8.1,20.7,50.3,20.9,6.3,380
"NH",7.1,11.3,45.7,36,5.8,369
"NJ",7.6,14.8,46.6,31,5.1,499
"NM",15.2,22.1,40.4,22.4,8.5,307
"NV",13.7,17.6,47,21.7,6.3,391
"NY",8.8,15.5,38.9,36.7,4.4,652
"OH",7.4,11.7,47.8,33.1,4.6,579
"OK",15.8,22.1,45,17,7.2,361
"OR",15.4,15.4,48.8,20.4,5.8,443
"PA",11.4,21.4,42.8,24.3,4.5,599
"RI",7.9,12.7,46.3,33.1,6.6,306
"SC",12.1,20.3,50.9,16.7,5.6,465
"SD",10.5,19.9,44,25.5,7.2,294
"TN",9.3,23.1,50.5,17.1,5.6,480
"TX",10.2,23.2,49.2,17.4,4.3,871
"UT",9.7,22,45.7,22.7,6.7,346
"VA",12,22.4,41.9,23.7,4.8,566
"VT",3.6,7.4,43.6,45.4,7.6,226
"WA",11.3,17.9,42.9,27.8,5.7,428
"WI",10.8,21.1,50.5,17.7,5.3,467
"WV",6.7,19.2,53.1,21,6.8,335
"WY",11.3,17.4,49.6,21.8,9.8,147
