How much, if at all, has your life been disrupted by the coronavirus (COVID-19) outbreak? 
"","Not at all","A little","A moderate amount","A lot","A great deal","Error Margin","N"
"National",4.8,18.9,32.6,21.6,22.2,0.8,22445
"AK",3.3,28.6,24.2,21.2,22.7,9.8,167
"AL",7,17.2,34.5,18.1,23.2,5.7,413
"AR",7.4,20.4,33.8,17.7,20.7,6.6,381
"AZ",7.1,20.2,32.9,18.8,21,5,597
"CA",2.8,14.3,31.2,24.5,27.2,3.9,845
"CO",3.8,17.7,32.7,20.7,25.1,5.5,482
"CT",1.7,13.6,34.1,23.6,27,5.7,417
"DC",3,11.6,25.1,27.1,33.3,6.2,302
"DE",2.2,19.9,33.2,25.4,19.2,6,355
"FL",5.2,19.4,34.3,21.7,19.4,4.2,844
"GA",8.2,20.9,30.1,19,21.8,5.1,500
"HI",1,18,35.8,20.7,24.6,6,451
"IA",3.6,24.9,32,20.6,18.9,5.8,414
"ID",4.4,25.5,33,15.2,21.9,6,356
"IL",3.6,19,30.5,20.7,26.2,4.5,552
"IN",5.1,17.6,37,18.7,21.6,5.6,491
"KS",9.1,18.5,35.6,15.9,20.8,6.3,376
"KY",5.6,21.3,38.1,16.5,18.4,5.8,444
"LA",4.9,15.3,27.5,25.5,26.8,6.1,396
"MA",3.1,14.5,32,28.5,21.9,5,466
"MD",3.5,17.1,32.7,21.4,25.2,5.1,456
"ME",3.3,20.7,36,19.6,20.4,5.9,377
"MI",3.1,19.1,34.5,20.4,22.8,5.1,467
"MN",3.2,23.2,31.3,21.1,21.1,4.8,492
"MO",7.1,20.8,30.6,22.2,19.4,5.1,484
"MS",9.9,17.9,32.4,16.6,23.2,6.5,342
"MT",4.8,27.2,29.1,21.6,17.3,6.3,296
"NC",7.4,21.7,34.3,18.1,18.5,4.8,540
"ND",9.5,26.6,33.8,17.6,12.5,8.8,190
"NE",6,22.5,35,17.6,18.9,6,382
"NH",4.4,17.6,36.3,23.3,18.4,5.6,370
"NJ",2.7,12.6,32.3,27.1,25.3,4.8,500
"NM",3.2,18,34,20.3,24.5,8.2,308
"NV",3.1,15.7,37.3,20.2,23.6,6.1,391
"NY",4.5,17,30.5,23.1,25,4.1,654
"OH",8.7,21,33.4,20.2,16.8,4.3,579
"OK",5.2,23.3,32,18.7,20.7,6.8,362
"OR",3.5,23.5,32.8,19.9,20.3,5.4,448
"PA",5.1,19.2,29.6,23.8,22.4,4.1,603
"RI",4,16.5,34.3,23.6,21.5,6.3,308
"SC",5.8,23.5,28.3,18.6,23.8,5.1,466
"SD",2.7,23.2,35.8,24.8,13.5,6.9,299
"TN",5.7,24.2,36.5,13.9,19.6,5.4,480
"TX",5.4,18.3,31.7,24,20.6,4,877
"UT",4.2,17.1,34.8,21.7,22.2,6.4,346
"VA",3.7,19.5,32.5,20.1,24.1,4.6,569
"VT",5.5,23,36.6,16.8,18.1,7.3,227
"WA",2.2,17.4,30,23.6,26.7,5.2,432
"WI",2.2,23.3,31.5,24.7,18.3,4.9,469
"WV",6.5,21.6,36.8,16.4,18.7,6.6,335
"WY",1.6,26.3,30.7,22,19.3,9,147
