Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Your state government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",25.4,61,13.6,0.8,22198
"AK",25.4,65.4,9.2,10.5,161
"AL",35.1,55.4,9.5,6,409
"AR",34.7,54.7,10.6,7,376
"AZ",48.5,41.2,10.2,5.3,591
"CA",20.1,64.1,15.8,4.1,837
"CO",18.2,61.1,20.8,5.7,480
"CT",18.1,70.5,11.4,5.5,411
"DC",24.4,68.4,7.2,6.2,299
"DE",17.3,70.5,12.1,5.9,348
"FL",42.3,50.8,6.9,4.4,831
"GA",43,51.1,6,5.6,491
"HI",26.9,60.2,12.9,6.2,447
"IA",48.1,47.7,4.2,6.3,406
"ID",25.2,59.3,15.6,6.3,349
"IL",12.5,66.3,21.2,4.6,545
"IN",25.7,65.2,9.1,5.6,489
"KS",24.3,60.4,15.3,6.4,374
"KY",10.8,69.1,20.1,5.6,440
"LA",16.2,71.1,12.6,6.2,395
"MA",14.6,72.5,12.9,4.8,465
"MD",15.2,74.8,10,4.7,453
"ME",12.8,62.6,24.6,6,373
"MI",7.8,70.9,21.3,4.9,460
"MN",15.9,62.8,21.4,5,485
"MO",33.7,57.4,9,5.5,477
"MS",32.9,61.9,5.3,6.8,339
"MT",13.3,70.5,16.2,6.4,295
"NC",22.7,57.9,19.3,5,538
"ND",20.8,68.8,10.4,8.6,188
"NE",33.3,58.6,8.1,6.2,379
"NH",12.7,77,10.3,4.9,368
"NJ",15,71.6,13.4,4.6,496
"NM",18.5,57.7,23.8,8.6,305
"NV",17.9,64.7,17.5,6.1,385
"NY",13.7,75.8,10.6,3.9,650
"OH",15,70,15.1,4.2,573
"OK",38.9,49,12.1,7.3,360
"OR",19.7,55.5,24.8,5.8,443
"PA",15.2,59.3,25.6,4.4,596
"RI",11.7,73.4,14.8,5.9,299
"SC",42.2,49.1,8.6,5.7,461
"SD",32,61.4,6.6,7,297
"TN",32.8,56,11.2,5.6,477
"TX",42.5,48.5,9,4.3,858
"UT",31.5,56,12.5,6.8,340
"VA",22.5,56.2,21.3,4.9,561
"VT",5.7,83.5,10.8,5.6,228
"WA",21.1,59.1,19.8,5.6,429
"WI",25.8,53.4,20.8,5.3,464
"WV",25.8,65,9.1,6.6,331
"WY",15.8,64.9,19.3,9.4,146
