Age range 
"","18 to 24","25 to 44","45 to 64","65 and over","Error Margin","N"
"National",12.8,35,32.6,19.6,0.8,22470
"AK",14.3,38.9,32.8,14.1,10.6,167
"AL",11.8,34.1,34.1,19.9,5.7,413
"AR",12.7,34,32.4,20.9,6.6,382
"AZ",13.2,34.5,30.4,21.9,5.1,597
"CA",9.6,36.2,35.5,18.7,4.1,845
"CO",12.7,37.2,32.3,17.8,5.6,482
"CT",13.2,31.1,36.2,19.5,5.8,418
"DC",13.7,46,25.7,14.6,6.6,303
"DE",12.1,31.3,34.1,22.5,6.1,355
"FL",11.2,31.3,32,25.5,4.1,845
"GA",10.9,37.7,33.6,17.8,5.4,501
"HI",13.1,34.4,33.3,19.1,6,451
"IA",14.1,31.4,33.2,21.4,5.8,414
"ID",13.3,35.1,31.3,20.3,6.1,356
"IL",11.9,36,33.8,18.3,4.7,554
"IN",12.9,33.7,33.8,19.6,5.5,491
"KS",14.8,33,32.2,20,6.1,376
"KY",12.1,33.5,33.7,20.6,5.7,444
"LA",13.1,37.1,32,17.8,6.6,398
"MA",12.6,33.5,34.1,19.9,5,470
"MD",11.8,34.3,34.8,19.1,5.1,457
"ME",10.7,29,36.8,23.5,5.9,377
"MI",12.4,32.1,36,19.6,5.1,467
"MN",11.3,33.1,35.2,20.3,5,492
"MO",12.1,34.4,32.5,21,5.2,484
"MS",13.5,36,35.3,15.2,6.7,342
"MT",12.8,31.8,33.8,21.6,6.6,297
"NC",11.1,34.7,35.5,18.7,4.9,541
"ND",15.3,36.1,29.4,19.2,8.9,190
"NE",13,34.9,31.9,20.3,6,382
"NH",12.1,29.8,37.1,21,5.6,370
"NJ",11.6,34,33.6,20.8,4.8,500
"NM",12.1,33.6,33.2,21.1,8.2,308
"NV",9.6,36.5,33.1,20.8,6.1,392
"NY",12.3,34.4,34.7,18.5,4.3,658
"OH",11.3,32.3,35.6,20.8,4.4,579
"OK",12.8,34.8,32.6,19.8,6.9,362
"OR",11.1,33.8,33.2,21.9,5.5,448
"PA",10.9,32.4,36.4,20.3,4.3,604
"RI",13.9,32.6,34,19.6,6.3,308
"SC",10.9,34.2,33.7,21.3,5.3,466
"SD",13.2,33.3,32.4,21.1,6.8,299
"TN",12.4,34,33.3,20.3,5.3,481
"TX",13.6,39.4,30.2,16.7,4.2,877
"UT",16.6,39.8,29.1,14.5,6.6,346
"VA",13.2,35.9,32.5,18.4,4.7,569
"VT",13.7,29.4,34.8,22.1,7.2,228
"WA",12.4,35,34.2,18.4,5.4,432
"WI",10.9,32.1,36.1,20.9,5.1,469
"WV",11.7,32.2,35.7,20.4,6.5,336
"WY",13,34.6,33.3,19.1,9.3,147
