In the last 24 hours, have you been in a room (or another enclosed space) with people who were not members of your household? This might have been at a social gathering, a work meeting, or another type of event. 
"","No, I have not","Yes, with 1-2 other people","Yes, with 3-4 other people","Yes, with 5-6 other people","Yes, with 7-8 other people","Yes, with 9-10 other people","Yes, with 11-50 other people","Yes, with 51-100 other people","Yes, with over 100 other people","Error Margin","N"
"National",71.2,13.7,6.2,3.2,1.4,1.7,1.7,0.4,0.4,0.8,20253
"AK",60.2,22,8.4,2.8,2.4,0,1.7,2.4,0,10.2,135
"AL",67.7,14.8,6.9,2.8,0.8,2.6,2.2,0.4,1.6,6,383
"AR",59.6,19.8,10.9,3.3,1.6,1.3,1.7,0.6,1.1,7,366
"AZ",72.6,13.6,6.4,4.3,0.4,0.9,0.4,0.4,1,6.8,318
"CA",78.3,10,4.9,2.2,1.4,0.9,2.1,0.2,0,3.7,728
"CO",69.1,13.8,6.4,3.3,0.7,2.2,3,1.2,0.3,5.8,389
"CT",72.5,14.3,5,2.9,1.1,2.8,0.8,0.7,0,5.8,358
"DC",69.4,16.8,6.2,6,0,1.2,0.5,0,0,9.5,168
"DE",74,12.8,6.8,1.4,2.1,1,0.7,1.1,0.1,5.7,340
"FL",76.1,13.6,5.2,1.1,0.8,1.1,1.5,0.6,0,3.8,666
"GA",73.7,14.2,4.3,2.1,0.8,3.7,1.3,0,0,4.8,495
"HI",71.3,14.6,5.8,1.5,0.5,4.1,2.3,0,0,8,216
"IA",62.1,19.8,8,3.9,1.7,1.7,1.5,0.3,1.1,5.8,388
"ID",59.9,16.5,7.3,5.4,1.2,3.5,3.6,1,1.5,6.3,359
"IL",73.7,12.4,3.6,3.2,2.2,2.3,1.9,0.6,0.2,4.3,531
"IN",71.7,15.9,6,2.4,1.4,1.2,0.8,0.1,0.5,5.2,445
"KS",66,17.9,5.8,2.4,2.6,1.6,2.4,0.4,0.9,5.6,440
"KY",74,12.4,6.4,4.5,1,0.8,0.8,0.1,0,5.2,401
"LA",73,12.3,4.8,3.1,1,2.7,2.2,0.6,0.3,6,389
"MA",75.8,14.4,3.6,2.5,0.8,1,1.5,0.4,0,4.3,473
"MD",75.6,11.6,3.6,3.8,1.5,1.2,1.8,1,0,5,398
"ME",66.9,19.3,7.3,2.3,0.9,1.4,0.9,0,0.9,5.4,373
"MI",71.7,14.1,5,5,0.8,1.2,1.6,0.3,0.2,4.4,527
"MN",71.6,10.2,7.8,3.9,1.5,2.1,2.5,0.1,0.1,5.3,421
"MO",64.7,13.2,10.5,3.9,1.9,2,3.1,0.6,0.2,4.9,479
"MS",62.7,15,9.8,5.7,1.9,1.4,2.9,0.3,0.3,7.1,348
"MT",63.4,14.8,8.8,5.5,1.8,2.5,2.4,0.8,0,7.3,254
"NC",68.3,13.8,6.3,3.7,2.3,2.2,2.7,0.4,0.4,4.6,525
"ND",56.3,19.6,7,5.6,1.9,3.6,4.3,1.4,0.4,8.6,211
"NE",65.4,19.1,8.3,3.5,0.7,1.1,1.5,0.4,0,7.2,264
"NH",70.7,14.5,6.3,2.8,0.8,1,2.1,0.9,0.9,5.2,370
"NJ",74.7,13.3,5.4,2.2,0.3,1.4,1.1,0.8,0.6,4.2,541
"NM",74.8,11.6,4.9,1.7,4.4,0,1.4,1.3,0,9.1,211
"NV",72.1,12.4,7.5,3.1,0.8,1.3,1.1,0.5,1.1,5.5,394
"NY",79.6,10.8,3.6,2.6,1.2,0.8,1.1,0,0.3,3.7,620
"OH",69.9,16.3,5.2,3.3,1.3,1.1,1.9,0.5,0.5,4.4,530
"OK",65.6,12.4,7.5,4.9,3.1,2.7,3.3,0.4,0.1,7,333
"OR",68.6,13.8,8.7,3.2,2.5,1.4,1,0.6,0.1,5.1,407
"PA",74.7,13.6,4.4,3.1,0.7,0.8,1.5,0.5,0.7,4,565
"RI",75.5,9.6,9.5,2.1,0.3,1.6,0.8,0,0.6,5.7,317
"SC",67.6,12.6,8.5,3.3,2.8,2.6,2.1,0.2,0.3,5.7,423
"SD",59.2,15.5,11.1,6.6,1.8,2.3,3.3,0,0.2,7.9,229
"TN",64.4,14.2,8.1,4.3,1.7,2,3.8,0.7,1,5.3,456
"TX",74.1,11.2,4.2,3.8,2.9,2.5,1.1,0.2,0.2,4.7,581
"UT",61.9,17.7,7.7,5.2,2.1,2.5,1.1,0.4,1.3,6.9,314
"VA",73,14.7,5.2,2.4,1.6,1.2,1.7,0,0.1,4.3,509
"VT",72.5,17.4,4.1,1.8,1.6,1.2,0.8,0,0.7,6.9,241
"WA",78.1,10.6,4.8,1.1,1.4,2.2,0.5,0.5,0.8,4.6,435
"WI",74.5,13.8,5.3,1.4,1.5,0.5,2.6,0.4,0.1,4.4,548
"WV",67.7,16.8,8.7,3.4,1.2,0.9,1.3,0,0.1,6.3,326
"WY",51.1,19,11.7,7.3,3.1,4,1.2,1.4,1.2,12.7,115
