How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Pharmaceutical companies 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",7.7,21,46.5,24.8,0.9,20199
"AK",10.7,30.5,45.1,13.6,10.3,135
"AL",6.7,20.6,57,15.6,6.3,384
"AR",9.2,24.7,43.3,22.8,7.1,362
"AZ",6,22.3,50.8,20.9,7.6,317
"CA",7.4,21.5,46.4,24.7,4.5,729
"CO",13.4,27.3,44,15.3,6.2,388
"CT",6.1,22.1,43.7,28.1,6.4,357
"DC",7.2,20.3,48.1,24.4,10.4,164
"DE",6.2,18.1,48.7,27.1,6.5,338
"FL",5,20,49,26,4.5,663
"GA",6.9,20.5,42.1,30.5,5.4,495
"HI",10,20,45,25,8.9,215
"IA",8.3,21.4,48.8,21.4,6,383
"ID",12.4,23.6,37.5,26.5,6.2,358
"IL",8.6,17.4,48.9,25.1,4.9,531
"IN",7.2,18.4,50.3,24.1,5.8,441
"KS",9.4,23.3,42.6,24.8,5.9,440
"KY",6.2,26.4,44.4,23,5.8,400
"LA",9.4,21.7,44.5,24.3,6.8,390
"MA",5.7,20.3,43.9,30.1,5,473
"MD",7,19.9,48.3,24.7,5.8,400
"ME",10.2,20.3,45.4,24.1,5.7,370
"MI",7.2,19,49.2,24.5,4.9,526
"MN",8.9,24.8,45.2,21,5.8,420
"MO",11.9,20.4,45.8,22,5.1,477
"MS",9.5,17.6,46.6,26.3,7.4,347
"MT",6.5,20.5,48.2,24.8,7.6,255
"NC",7.7,20.4,45.6,26.3,5,519
"ND",10.8,18.3,42.9,28,8.6,210
"NE",9.9,20.1,41.6,28.4,7.5,264
"NH",10.5,21.9,43.8,23.9,5.7,368
"NJ",3.7,15.9,49.4,31,4.8,538
"NM",11.9,25,46.4,16.6,10.4,211
"NV",9.9,16,53.7,20.4,6.1,397
"NY",6.5,17.7,46.2,29.5,4.5,621
"OH",9.3,19.7,48.5,22.6,4.8,527
"OK",7.4,24.8,46,21.8,7.4,330
"OR",11.8,27.4,42.4,18.4,5.5,409
"PA",7.1,19.4,48.6,24.8,4.6,565
"RI",5.8,19,45.9,29.4,6.6,318
"SC",5.9,26.9,49.6,17.6,6.2,421
"SD",10.2,22.9,43.8,23.1,8,228
"TN",9,21.4,46.2,23.4,5.6,453
"TX",6.2,23,48.3,22.5,5.4,577
"UT",8.8,28.3,40.5,22.4,7,312
"VA",7.8,18.7,46.5,27,4.8,511
"VT",9.9,28.4,42.3,19.4,7.6,240
"WA",8.6,23.1,46.6,21.7,5.5,435
"WI",9.1,20.9,50.6,19.4,5,547
"WV",2.8,28.1,46,23.1,6.7,325
"WY",10.6,25.1,37.2,27.1,12.3,115
