Compared to last week,  would you say the social distancing guidelines issued by your state's government  have become stricter, less strict, or remained about the same? 
"","The guidelines are stricter now","The guidelines are less strict now","The guidelines have remained about the same","Error Margin","N"
"National",16.2,41.2,42.6,0.9,20241
"AK",11.8,68.8,19.3,9.6,134
"AL",15,52.5,32.4,6.4,384
"AR",10.7,52.6,36.8,7.2,364
"AZ",10.3,44.3,45.4,7.5,318
"CA",25,26.3,48.7,4.5,727
"CO",11,51,38,6.3,388
"CT",23.1,17.6,59.3,6.4,357
"DC",29.5,16.9,53.6,10.3,168
"DE",27.3,22.1,50.5,6.5,339
"FL",12.7,53,34.4,4.4,667
"GA",12.4,67.5,20.1,5.1,496
"HI",11.8,39.7,48.5,8.9,216
"IA",9.2,55.3,35.5,6,387
"ID",5.2,56.7,38,6.4,358
"IL",32.2,26.5,41.3,4.9,532
"IN",9.7,49.7,40.6,5.8,445
"KS",8.3,45,46.7,5.9,441
"KY",17.8,32.2,50,5.9,401
"LA",13.4,36.8,49.8,6.8,388
"MA",41.8,13.7,44.5,5,475
"MD",17.7,27.8,54.5,5.8,401
"ME",22,37.8,40.2,5.6,371
"MI",19.8,29.3,51,4.9,527
"MN",14.9,30.6,54.5,5.8,422
"MO",8,56.1,35.8,5.1,478
"MS",10.6,60.6,28.8,7.2,348
"MT",3.4,68.5,28.1,7,256
"NC",12.2,39.9,47.9,5,525
"ND",8.5,67.8,23.8,8.1,211
"NE",7.3,48.5,44.2,7.6,264
"NH",10.4,44.9,44.7,5.7,369
"NJ",16.5,34.9,48.6,4.8,539
"NM",22.8,26.3,50.8,10.5,211
"NV",17.4,35,47.6,6.1,397
"NY",22.7,19.5,57.8,4.5,622
"OH",15.7,42.1,42.2,4.8,530
"OK",8.7,55.9,35.5,7.3,331
"OR",15.1,21.6,63.4,5.3,409
"PA",15.7,31,53.3,4.6,564
"RI",22.3,31.8,45.9,6.7,316
"SC",4.5,66.4,29.1,5.8,421
"SD",6.3,57.1,36.6,8,229
"TN",9.9,62.1,28,5.4,455
"TX",11.8,62.3,25.9,5.3,579
"UT",8.9,59.9,31.2,7,309
"VA",17.2,24.3,58.5,4.8,511
"VT",12,50.6,37.4,7.7,241
"WA",14.3,29.4,56.3,5.5,433
"WI",13.9,34.2,51.9,5,548
"WV",11.2,50.8,37.9,6.7,325
"WY",5.4,57.1,37.4,12.6,114
