Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Your state government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",19.4,66.9,13.8,0.8,20066
"AK",20.9,63.2,15.8,10,133
"AL",29.1,58.1,12.9,6.4,378
"AR",23.8,64.6,11.6,6.9,359
"AZ",23.4,65.2,11.4,7.3,315
"CA",8.3,76.5,15.2,3.8,724
"CO",14.2,68.5,17.4,5.9,384
"CT",10,76,14,5.6,352
"DC",18.5,76.4,5,8.8,165
"DE",12.8,75.3,11.8,5.6,339
"FL",34.5,58.5,7,4.4,659
"GA",49.3,45,5.7,5.5,489
"HI",22.5,62.1,15.4,8.6,217
"IA",43.5,49.8,6.7,6,386
"ID",17,66.6,16.4,6.1,355
"IL",9.3,66.8,23.9,4.7,530
"IN",21.8,66.4,11.7,5.4,442
"KS",17.6,66.3,16.1,5.7,437
"KY",7.8,77.3,14.8,5,395
"LA",13.2,72,14.8,6.1,387
"MA",9,79.9,11.2,4,470
"MD",11,79.8,9.1,4.7,391
"ME",10.5,62.7,26.8,5.6,367
"MI",9.7,65.4,24.9,4.7,524
"MN",7.4,71.2,21.4,5.3,417
"MO",29.9,59.6,10.6,5,474
"MS",27.2,63,9.8,7.1,343
"MT",13.3,74.5,12.1,6.6,253
"NC",18.2,64.4,17.4,4.8,520
"ND",26.7,62.5,10.8,8.3,211
"NE",32.7,55.9,11.3,7.6,259
"NH",15.7,76.3,8,4.9,365
"NJ",9.3,75.8,14.8,4.1,538
"NM",9.5,73.6,16.9,9.3,207
"NV",15.8,61.7,22.5,6,394
"NY",10.3,77.6,12.1,3.8,617
"OH",10.7,72.7,16.7,4.3,525
"OK",37.7,54.7,7.6,7.4,326
"OR",9.1,62.8,28.1,5.3,407
"PA",11.2,66.5,22.3,4.3,559
"RI",9.6,80.9,9.5,5.3,312
"SC",38.1,54.9,7,6.1,422
"SD",40.3,55.3,4.4,8,226
"TN",30,61.5,8.5,5.4,451
"TX",39.1,54.8,6.1,5.4,579
"UT",24.1,63.4,12.5,6.9,309
"VA",15,65.2,19.8,4.6,506
"VT",9.4,77.1,13.6,6.5,239
"WA",7.9,74.6,17.4,4.8,428
"WI",13.3,66.1,20.6,4.7,545
"WV",18.6,72.8,8.7,6,321
"WY",18.9,57.1,24,12.5,115
