How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Hospitals and doctors 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",1.2,3.5,26.7,68.6,0.8,20203
"AK",0.3,3.8,46.4,49.5,10.4,135
"AL",1.4,1.5,37.3,59.8,6.3,383
"AR",4.3,4.7,31.4,59.6,7,363
"AZ",1,3.4,25.4,70.2,6.9,318
"CA",0.9,3,24.2,71.8,4.1,729
"CO",2.4,5,29.1,63.5,6.1,389
"CT",0.9,3.5,19.9,75.8,5.6,357
"DC",3.6,2.8,21.6,72.1,9.3,166
"DE",1.4,2.5,24.8,71.4,5.9,339
"FL",1.9,6.2,23.6,68.3,4.2,662
"GA",1.6,2.9,32,63.5,5.3,496
"HI",0.5,8.1,28.4,63,8.6,216
"IA",0.7,1.9,28.1,69.3,5.5,383
"ID",0.5,5.1,27.4,67,6,358
"IL",2.2,3.4,25.4,69,4.6,528
"IN",0.5,6.2,27.1,66.2,5.5,441
"KS",0.4,4.5,26.3,68.8,5.5,439
"KY",0.7,4.1,22.6,72.5,5.3,399
"LA",1.4,5.3,27.1,66.1,6.5,387
"MA",1.7,2.1,16.8,79.4,4,474
"MD",2.1,2,25,70.9,5.3,399
"ME",1.7,1.8,25.4,71.2,5.2,371
"MI",2.7,4,23.3,70,4.5,526
"MN",0.8,1.7,29.5,68,5.5,421
"MO",1.8,4,27.1,67,4.8,477
"MS",2,4.1,33.5,60.4,7.2,348
"MT",0.9,2.2,21,75.8,6.5,255
"NC",2.5,3.5,28.4,65.6,4.8,521
"ND",0.3,2.2,30.4,67.2,8.1,210
"NE",1.8,1.6,27.2,69.4,7,264
"NH",0.6,2.6,24.8,72,5.2,367
"NJ",1,2.7,24.9,71.4,4.4,538
"NM",0.2,6.1,34.3,59.4,10.3,210
"NV",0.9,5.3,26.3,67.6,5.8,396
"NY",0.9,3.2,23.9,72,4.1,621
"OH",1.1,4.9,26.3,67.7,4.5,527
"OK",1.7,2.4,31.6,64.4,7.1,330
"OR",0.9,3.1,29.2,66.8,5.2,408
"PA",0.9,3.2,29.2,66.7,4.3,565
"RI",1.4,2.1,18.9,77.6,5.6,316
"SC",0.9,5.8,30.5,62.8,5.9,422
"SD",0,2.9,30.8,66.3,7.6,228
"TN",1.7,5.6,32.5,60.1,5.5,453
"TX",0.3,3.9,28.1,67.7,5.1,577
"UT",1.8,3.3,26,68.9,6.6,313
"VA",2.4,2.8,27.9,66.9,4.6,511
"VT",0.8,4.5,24.1,70.6,7,241
"WA",0.2,1.5,27.2,71.2,5,435
"WI",1.1,3.1,25.9,69.8,4.6,549
"WV",0.6,2.1,37.7,59.6,6.6,327
"WY",2.5,5.8,25.7,65.9,12,115
