How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The CDC (Centers for Disease Control and Prevention) 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",4.8,10.7,41,43.5,0.9,20176
"AK",5.9,16.9,42.7,34.6,10.3,134
"AL",5.7,12.9,45.2,36.2,6.4,383
"AR",8.1,13.6,41.9,36.4,7.1,362
"AZ",7.5,12.9,36.8,42.9,7.5,318
"CA",4.5,8.9,42.5,44.2,4.5,727
"CO",5.1,11.4,45.2,38.4,6.3,388
"CT",4.1,9.4,43.2,43.3,6.4,357
"DC",2.4,9.3,38.9,49.5,10.4,165
"DE",4.9,9.7,35.2,50.2,6.5,339
"FL",5.1,10.7,41.1,43,4.4,662
"GA",3.9,10.5,41.9,43.8,5.5,495
"HI",6.3,12.3,48.5,32.9,8.9,217
"IA",5.2,9.1,45.6,40.1,6,383
"ID",7,11.2,43.3,38.4,6.4,355
"IL",7.2,8.2,42.6,42.1,4.9,531
"IN",7.2,12.8,36.6,43.5,5.7,442
"KS",4.5,11.7,42.4,41.4,5.9,442
"KY",4.8,11.9,40.3,43,5.8,400
"LA",7,7,41.2,44.8,6.8,388
"MA",2.7,11,38.2,48.1,5,471
"MD",3.5,7.4,39.2,49.8,5.8,400
"ME",3.8,7.4,42.2,46.7,5.7,370
"MI",4.9,10.2,43.7,41.2,4.9,526
"MN",5,13.2,41.4,40.4,5.8,419
"MO",5.5,12.5,42.2,39.9,5.1,479
"MS",5.4,13.1,38.7,42.7,7.3,345
"MT",2.9,10.3,46.5,40.3,7.6,255
"NC",7,11.3,40.5,41.1,4.9,520
"ND",3.1,10.3,41.3,45.3,8.6,211
"NE",4.8,11.6,42,41.7,7.5,264
"NH",4.3,12.7,37,46,5.7,369
"NJ",4.2,8.5,43.9,43.5,4.8,538
"NM",3.5,8,48.4,40.1,10.5,210
"NV",3.7,14.6,34.2,47.5,6.2,394
"NY",4.1,10.7,41.4,43.7,4.5,622
"OH",5.7,9.8,40.7,43.7,4.8,527
"OK",4.8,14.6,40.9,39.7,7.3,329
"OR",5.6,10.4,37.1,46.9,5.5,406
"PA",5.6,12,40.3,42.1,4.5,560
"RI",3.7,6,39.2,51.1,6.7,317
"SC",4.8,11.1,42,42.2,6.1,423
"SD",3,8.2,45.7,43.1,8,228
"TN",5.9,11,43.9,39.2,5.5,452
"TX",4.6,12.4,42.5,40.5,5.4,575
"UT",5.6,7.8,39,47.6,7.2,311
"VA",5.2,11.8,37.9,45,4.8,511
"VT",0.4,12.3,40.1,47.2,7.8,237
"WA",3.8,10.1,37.4,48.8,5.5,432
"WI",4.1,12.3,39,44.6,5,547
"WV",4.6,10.1,44.7,40.6,6.7,326
"WY",10.4,20.1,24.1,45.4,12.7,114
