Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people across the country 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",53,29.9,17.1,0.9,20067
"AK",47,29.6,23.3,10.4,133
"AL",56.2,27,16.8,6.4,378
"AR",44.2,29.1,26.7,7.2,356
"AZ",51.2,29.9,18.9,7.6,316
"CA",50.8,32.5,16.6,4.5,722
"CO",45,33.2,21.8,6.3,386
"CT",56.6,28.4,15.1,6.5,351
"DC",59.8,34.3,5.9,10.2,164
"DE",56.9,31.2,11.8,6.4,338
"FL",48.1,36.8,15.2,4.5,659
"GA",53.1,31,15.9,5.5,488
"HI",56.3,27.5,16.3,8.8,216
"IA",49.4,32,18.6,6,386
"ID",48.6,22.1,29.2,6.4,357
"IL",53.7,30.8,15.5,4.9,529
"IN",54.4,28.1,17.6,5.7,442
"KS",51.2,29.2,19.6,6,436
"KY",57.5,27.3,15.2,5.9,396
"LA",53.9,26.3,19.9,6.8,387
"MA",61,27.6,11.4,4.9,467
"MD",59.6,31.1,9.3,5.7,395
"ME",49.1,33,17.9,5.8,367
"MI",54.9,32.2,12.9,4.9,523
"MN",54.5,24,21.6,5.9,416
"MO",50.7,31.1,18.2,5.1,474
"MS",57.7,23.5,18.8,7.3,343
"MT",47,33.6,19.4,7.6,254
"NC",52.4,29.3,18.2,5,522
"ND",45.2,28.7,26.1,8.6,211
"NE",46.7,27.9,25.4,7.7,259
"NH",56.2,29.8,14,5.7,367
"NJ",54.8,33,12.2,4.8,537
"NM",67.3,20.7,11.9,9.9,209
"NV",54.6,26,19.5,6.1,392
"NY",54.2,34.4,11.5,4.5,615
"OH",50.8,32.2,17,4.8,525
"OK",49.2,29.8,21,7.4,329
"OR",44.2,31.5,24.3,5.5,404
"PA",52.1,31.3,16.6,4.6,558
"RI",61.4,27.6,10.9,6.5,315
"SC",51.3,27.8,21,6.2,422
"SD",44.8,30.4,24.8,8,228
"TN",52.4,26.9,20.7,5.6,448
"TX",60.6,25.3,14.1,5.3,579
"UT",44.7,28.4,26.9,7.1,309
"VA",53.2,32.2,14.5,4.8,508
"VT",53.4,29.2,17.4,7.7,238
"WA",52.7,32.4,14.9,5.5,431
"WI",55.8,27.8,16.5,5,546
"WV",55.7,28.1,16.2,6.7,321
"WY",32.9,29.6,37.5,12.3,115
