In the last week, how closely did you personally follow the health recommendations listed below? - Wearing a face mask when outside of your home 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",10.2,9.2,19,61.5,0.9,20147
"AK",11,9.3,21.4,58.3,10.2,135
"AL",10.3,15.9,19.1,54.6,6.4,382
"AR",20.9,15.9,22.4,40.7,7.1,362
"AZ",17.3,9.7,22,51,7.6,315
"CA",3,5.4,16.5,75.2,3.9,725
"CO",9.5,10.4,19.5,60.6,6.1,388
"CT",2.8,2.7,15.2,79.4,5.3,355
"DC",1.2,1.8,16.8,80.2,8.3,167
"DE",0.9,0.7,12.8,85.6,4.6,337
"FL",7.8,9.6,19.6,63,4.3,661
"GA",10.6,9.3,14.7,65.4,5.2,494
"HI",4.3,3.1,18.3,74.2,7.8,216
"IA",17.9,18.2,22.6,41.2,5.9,387
"ID",20.3,21.1,20,38.6,6.3,357
"IL",5.9,6.2,21.8,66.2,4.7,531
"IN",12.1,9.9,23.9,54,5.7,445
"KS",17.6,14.5,20.4,47.5,6,437
"KY",13.6,11.6,23.4,51.4,5.9,396
"LA",20.5,9.7,16.9,52.9,6.8,385
"MA",1.8,5.4,15.2,77.7,4.2,469
"MD",1.4,2.3,14.9,81.4,4.5,398
"ME",9.5,7.4,17.2,65.9,5.5,370
"MI",7.3,7,17.7,68.1,4.6,523
"MN",20.5,10.3,24.9,44.3,5.8,420
"MO",15.6,12.8,20.8,50.9,5.1,476
"MS",14,15.9,13.6,56.5,7.3,347
"MT",22,18,25.9,34.1,7.2,253
"NC",15.6,12.4,16.7,55.3,5,519
"ND",24.5,17.4,21.6,36.5,8.3,210
"NE",16.6,14.5,27,41.9,7.5,262
"NH",9.9,8.8,22.6,58.7,5.7,369
"NJ",2.4,2,15.6,80,3.9,539
"NM",9.1,14.2,24.2,52.5,10.5,206
"NV",10.2,10,18.7,61.1,6,396
"NY",1.3,2.3,14.1,82.3,3.5,618
"OH",12,12.8,22.1,53.2,4.8,527
"OK",14.9,17.2,20.7,47.2,7.4,331
"OR",19.9,13,21.6,45.6,5.5,410
"PA",3.4,3.6,16.8,76.2,3.9,561
"RI",1,1.1,16,81.9,5.2,315
"SC",15.4,16.8,18.2,49.6,6.1,423
"SD",20.4,21.2,20.1,38.3,7.8,228
"TN",16.5,10.2,21.2,52.1,5.6,451
"TX",10.8,7,19.6,62.6,5.3,576
"UT",19.9,8.9,28.1,43.1,7.1,311
"VA",10.7,7.9,23.1,58.3,4.8,507
"VT",5.9,9.8,17.9,66.5,7.3,241
"WA",13.5,9.7,23.9,52.9,5.5,432
"WI",15.7,12.9,23.7,47.6,5,547
"WV",12.3,12.5,19.8,55.4,6.7,323
"WY",36.5,19.8,18.1,25.7,12.2,114
