How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Congress 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",14.6,32.7,42.6,10.1,0.9,20176
"AK",18.8,36.7,37.5,7,10.1,135
"AL",14.3,31.2,45.3,9.2,6.4,383
"AR",24.7,29.3,38.2,7.7,7,361
"AZ",15.2,34.6,39.6,10.6,7.4,316
"CA",12,27.8,47.6,12.6,4.5,726
"CO",20.5,37.2,36.1,6.2,6.1,387
"CT",16.1,32.3,38.7,12.8,6.3,355
"DC",12.4,31.2,45.6,10.8,10.4,164
"DE",12.3,35.6,42.5,9.6,6.4,339
"FL",17.7,26.7,44.5,11.1,4.4,663
"GA",17.1,27,43.9,12,5.5,494
"HI",13.4,32.9,45.7,8,8.8,217
"IA",11.5,42.2,39.1,7.2,5.9,385
"ID",18.1,41.4,34.3,6.2,6.3,356
"IL",17.6,34.4,39.2,8.8,4.8,530
"IN",13.7,37.4,38.8,10.1,5.6,443
"KS",16.1,32.9,40,11,5.8,441
"KY",13.4,30.5,45.1,10.9,5.9,400
"LA",15.3,26.9,44.4,13.4,6.8,385
"MA",11.1,33.9,44.8,10.3,5,472
"MD",11.6,33,44,11.4,5.8,399
"ME",18.2,35.3,39.2,7.2,5.6,369
"MI",16.1,32.5,45.9,5.5,4.9,526
"MN",18.2,31.6,44.9,5.3,5.8,422
"MO",16.6,34.4,41.1,8,5.1,478
"MS",11.6,32.5,41.1,14.9,7.2,347
"MT",18.6,30,45.8,5.6,7.6,255
"NC",16.2,31.8,40.1,12,4.9,520
"ND",16,31.1,42.5,10.3,8.5,210
"NE",16.8,38.1,38.2,6.8,7.4,262
"NH",16.9,36.5,39.6,7.1,5.6,370
"NJ",10.3,30.5,46.8,12.5,4.8,537
"NM",19.2,34.5,39.7,6.6,10.3,210
"NV",15.4,32.3,43.1,9.1,6.1,396
"NY",11.8,30.4,47.2,10.6,4.5,622
"OH",11.8,30.1,47.2,10.8,4.8,526
"OK",11.2,38.6,42.3,7.9,7.3,330
"OR",16.6,36.1,41.4,5.9,5.4,409
"PA",17.4,31.7,43.3,7.6,4.5,563
"RI",9.8,31.4,47.7,11.1,6.7,317
"SC",12.8,43.1,38.4,5.7,6.1,422
"SD",15.9,40,40,4.2,7.9,228
"TN",13.8,32.5,41.5,12.1,5.5,450
"TX",16.2,33.1,41,9.7,5.4,576
"UT",15.9,37.7,36.8,9.6,6.9,313
"VA",14.8,33.9,42.5,8.7,4.8,507
"VT",13.9,38,40.5,7.6,7.6,241
"WA",11.8,36.2,42.6,9.4,5.5,433
"WI",18.9,33.4,41.5,6.2,4.9,549
"WV",12.3,35.6,41,11,6.6,324
"WY",10.1,44,35.8,10.1,12.7,113
