How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The police 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",7.4,17.5,46.3,28.8,0.9,20199
"AK",11.1,18.9,45.5,24.5,10.3,135
"AL",5.6,19.9,51,23.6,6.4,381
"AR",10.7,16.7,50.1,22.5,7.2,362
"AZ",6.8,15.1,47.9,30.2,7.5,316
"CA",6,19.3,45.9,28.9,4.5,730
"CO",8.5,18.6,47.3,25.6,6.3,388
"CT",5.4,20.2,41.9,32.4,6.4,357
"DC",11.4,21.2,50.4,17,10.4,164
"DE",8.9,19.1,39.1,33,6.4,337
"FL",6.6,18.4,43.3,31.6,4.4,665
"GA",10.1,18.3,44.5,27.1,5.5,494
"HI",9.9,18.4,48.8,22.8,8.9,217
"IA",3.9,17.4,55.5,23.2,6,384
"ID",7.8,15.7,47.1,29.4,6.4,358
"IL",8.7,16.3,47.4,27.7,4.9,530
"IN",8.5,16.9,42.6,32,5.7,441
"KS",5.9,16.1,44.6,33.4,5.9,441
"KY",6.2,15.8,48.6,29.5,5.9,399
"LA",9.8,17.9,48.8,23.4,6.8,389
"MA",4,13.8,46.8,35.4,5,473
"MD",6.7,22.7,42.9,27.8,5.7,398
"ME",6.1,12.4,51.4,30.2,5.8,371
"MI",7.1,17,45.7,30.2,4.9,526
"MN",6.8,18.1,46.2,28.9,5.8,422
"MO",10.3,16.2,45.5,28.1,5.1,476
"MS",9.5,15.3,42.1,33.1,7.3,348
"MT",5.6,15.3,46.5,32.6,7.6,256
"NC",7.8,16.1,46.3,29.8,5,521
"ND",5.8,12.5,49.2,32.5,8.7,210
"NE",6.1,17.7,46.2,30,7.6,264
"NH",5.7,14.2,50.5,29.6,5.7,369
"NJ",6.2,15.7,48.5,29.6,4.8,538
"NM",9.6,25.5,43.4,21.6,10.4,210
"NV",8.6,19,42.6,29.9,6.1,395
"NY",6.8,13.9,48.4,30.8,4.5,619
"OH",8.8,12.4,46.1,32.7,4.8,526
"OK",7.4,27.2,35.3,30.1,7,331
"OR",8.7,22.4,44.5,24.3,5.5,410
"PA",7,18.2,45.5,29.4,4.6,565
"RI",4.4,14.2,48.6,32.9,6.7,317
"SC",6.8,21.6,40.7,30.9,6,422
"SD",6.8,17,50.1,26.1,8.1,228
"TN",10,18.5,45.4,26.1,5.6,451
"TX",5.2,19.3,47.6,27.9,5.4,577
"UT",7.9,19.6,50.6,21.9,7.1,313
"VA",8.6,16.3,46.4,28.8,4.8,511
"VT",5.2,18.8,48.1,27.9,7.7,240
"WA",5,18.2,47.5,29.3,5.5,434
"WI",6.8,16.1,50.8,26.3,5,549
"WV",8.3,17.2,46,28.4,6.7,326
"WY",7.5,17.5,35,40,12.4,115
