How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your state government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",7.1,16.6,46.8,29.5,0.9,20193
"AK",8,13,53.8,25.1,10.4,135
"AL",7.7,20.1,55.2,17,6.4,383
"AR",9.8,14.9,52.6,22.6,7.2,362
"AZ",6.5,16.5,53.2,23.7,7.6,318
"CA",6.9,10.7,38.7,43.7,4.5,727
"CO",6.6,20.2,48,25.1,6.3,387
"CT",4.9,14.1,43.7,37.3,6.4,357
"DC",9.2,11.6,49,30.1,10.3,166
"DE",5.3,15.3,46,33.5,6.5,340
"FL",10.7,21.5,46.8,21.1,4.5,661
"GA",16.2,23.2,43.1,17.5,5.4,496
"HI",4.7,30.4,46.8,18.1,8.8,217
"IA",7.4,29.6,48.6,14.4,6,385
"ID",5.7,20.7,53.8,19.9,6.4,358
"IL",11.9,15.6,44.3,28.2,4.9,530
"IN",4,17.8,49,29.2,5.8,442
"KS",4.4,20.8,47.7,27.1,5.9,442
"KY",4.9,12.8,38.5,43.9,5.9,397
"LA",6.4,15.8,46.7,31.1,6.8,388
"MA",2.2,8.9,45.3,43.5,5,473
"MD",3.7,7.8,43.5,45,5.8,400
"ME",7,18.5,47.9,26.6,5.7,371
"MI",11,14.4,40.5,34.1,4.8,525
"MN",6.6,15.8,41.9,35.7,5.8,420
"MO",8.1,23.6,50,18.3,5.1,477
"MS",6.7,18.4,50.7,24.3,7.4,346
"MT",2.5,12.3,56.4,28.7,7.5,255
"NC",7.7,19.2,51,22,5,521
"ND",3.5,11.1,55.5,29.9,8.6,211
"NE",7.1,18.6,53.7,20.6,7.6,264
"NH",2.5,13.4,53.4,30.6,5.7,370
"NJ",4,11.5,50.6,33.9,4.8,538
"NM",10.4,16.2,39.7,33.8,10.4,206
"NV",10.4,13.9,41.8,33.8,6.1,396
"NY",5.8,13,38.4,42.9,4.5,622
"OH",4.2,12.5,44.6,38.6,4.8,525
"OK",9.9,22.8,43,24.2,7.3,329
"OR",11.4,18.8,41.8,28,5.4,409
"PA",10.8,16.9,47,25.3,4.6,564
"RI",6.8,9.6,45.2,38.4,6.6,319
"SC",7.1,26.7,50.6,15.6,6.2,422
"SD",9.3,21.8,51.2,17.7,8,229
"TN",6,19.8,50.3,23.9,5.6,450
"TX",7.5,17.3,51.2,24,5.4,577
"UT",5.1,16.3,52.4,26.2,7.1,313
"VA",10.9,17.1,48.3,23.6,4.8,508
"VT",4.2,14.6,36.4,44.8,7.7,241
"WA",5.3,13.4,45.2,36,5.5,434
"WI",10.4,15,49.5,25.1,5,548
"WV",3.6,10.4,56.1,29.9,6.7,325
"WY",5.8,17.9,55.5,20.8,12.7,114
