How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The White House 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",20.7,23.5,36,19.7,0.9,20203
"AK",21.2,28.6,32.7,17.5,9.7,135
"AL",14.4,23.4,37.7,24.6,6.2,383
"AR",15.3,23.8,36.1,24.9,6.9,362
"AZ",21.5,15.5,40.6,22.5,7.5,316
"CA",23.8,23.7,33.8,18.7,4.3,729
"CO",26.8,25.2,29.6,18.4,5.7,389
"CT",23.5,20.9,38,17.6,6.3,358
"DC",39.6,23,23.6,13.9,10.2,165
"DE",25.8,22.6,30.5,21.1,6,340
"FL",23.4,23.4,30.6,22.6,4.1,662
"GA",22.9,18.5,37,21.5,5.3,496
"HI",16.2,29.5,37.6,16.7,8.6,216
"IA",20.3,26.8,35.9,17,5.7,385
"ID",16.4,23.4,39.3,20.9,6.3,356
"IL",21.4,24,35.6,19,4.7,528
"IN",19.5,21.1,33.2,26.2,5.4,443
"KS",17.8,22.1,37.5,22.6,5.8,442
"KY",16.2,21.8,39.1,23,5.7,400
"LA",17.3,20.5,41.1,21.1,6.7,388
"MA",21.8,23.1,34.6,20.6,4.8,472
"MD",22.1,28,37.2,12.7,5.6,401
"ME",25,26.4,35.4,13.1,5.5,371
"MI",23.2,25.5,36.2,15.1,4.7,525
"MN",21.8,24.2,42,12,5.8,422
"MO",23.7,17.7,37.5,21,5,479
"MS",12.4,19.3,41.5,26.8,7.3,346
"MT",19.7,19.9,35.5,24.9,7.3,255
"NC",18,24.6,37.7,19.7,4.9,521
"ND",21.4,20.4,38.2,20,8.4,211
"NE",13.7,18.2,44.5,23.7,7.6,264
"NH",24.8,26.7,29.1,19.3,5.2,370
"NJ",17.9,24,39,19.2,4.7,539
"NM",24.6,24.2,36.4,14.9,10.1,211
"NV",21.1,25.8,35.4,17.7,5.9,395
"NY",21.1,25.6,33.6,19.6,4.3,621
"OH",19.8,20.1,36,24,4.6,527
"OK",12.9,27.8,35.2,24,7,331
"OR",30,22.9,34,13,5.2,409
"PA",24.5,21.5,35.9,18.1,4.4,565
"RI",21.1,26.4,39.9,12.6,6.5,318
"SC",19.3,24.1,37.7,18.9,6,422
"SD",19.5,23.1,42.4,15,8,228
"TN",18.9,19.6,36.4,25,5.4,452
"TX",19.8,21.9,39.6,18.6,5.3,577
"UT",14.1,23.5,41.7,20.7,7,313
"VA",22.3,24.7,33.4,19.6,4.6,510
"VT",25.9,29.9,37.6,6.7,7.5,241
"WA",29.7,25.4,29.1,15.8,5.1,430
"WI",26.6,24.6,33.5,15.3,4.7,545
"WV",14.2,14.3,44.7,26.8,6.7,325
"WY",12.8,16.6,35.6,35,12.2,114
