In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding public or crowded places 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",2.3,4.5,21.3,71.9,0.8,20201
"AK",2.1,4.9,27,66.1,9.8,135
"AL",3.9,3.5,22.4,70.3,5.9,383
"AR",4.1,6.9,28.2,60.8,7,365
"AZ",2.8,3.7,26.3,67.2,7.1,318
"CA",0.7,4.3,16.9,78.1,3.7,729
"CO",2.2,6.3,28.2,63.2,6.1,388
"CT",1.4,4.3,18.7,75.7,5.6,356
"DC",0.8,1.2,14.9,83,7.8,166
"DE",1,2.5,17,79.5,5.2,338
"FL",1.8,4.3,18.6,75.3,3.8,664
"GA",3,2,17.6,77.4,4.6,493
"HI",6.2,5.3,21.4,67.2,8.4,214
"IA",1.6,4.1,28.6,65.8,5.7,387
"ID",4.1,5.6,27.8,62.5,6.2,359
"IL",2.8,6.5,20,70.7,4.5,529
"IN",3.6,4.6,21.8,70,5.3,444
"KS",2.2,5.2,25,67.5,5.6,438
"KY",2.6,2.1,19.5,75.8,5.1,398
"LA",2.2,3.7,19.6,74.5,5.9,390
"MA",1.3,3.2,16.2,79.2,4.1,471
"MD",0.2,2.5,16.5,80.8,4.6,400
"ME",2.9,3.1,18.6,75.4,5,371
"MI",1.2,3.1,23.1,72.6,4.4,523
"MN",2.5,4.6,23.8,69.1,5.4,420
"MO",3.4,5.2,23.8,67.7,4.8,478
"MS",3.5,3.3,24.2,69,6.9,342
"MT",2.1,6.9,28.6,62.4,7.3,256
"NC",4,5.8,22.7,67.5,4.7,523
"ND",4.2,7.1,27.2,61.4,8.4,210
"NE",3,5.3,24,67.6,7.1,263
"NH",2.8,4.4,19.5,73.3,5.1,370
"NJ",2.5,2.5,19,76,4.1,541
"NM",3.8,7.9,21.6,66.7,9.9,210
"NV",2.3,6.1,21.8,69.7,5.7,395
"NY",1.6,2.3,19.9,76.3,3.9,622
"OH",2.4,4.5,19.5,73.6,4.3,527
"OK",2.4,5.8,26.9,65,7,329
"OR",2.4,5.5,27.6,64.5,5.3,410
"PA",1.1,5.7,18.8,74.5,4,562
"RI",1.1,2,14.3,82.6,5.1,316
"SC",3.2,6.9,21,69,5.7,422
"SD",3.8,3.9,27.9,64.3,7.7,230
"TN",2.6,4.8,23.8,68.7,5.2,452
"TX",1.1,3.1,22.9,72.9,4.8,582
"UT",2.4,7,27.4,63.1,6.9,312
"VA",2,2.9,22.7,72.4,4.3,511
"VT",1.4,5.4,21.7,71.6,7,239
"WA",1.8,3,20.2,75.1,4.8,434
"WI",1.8,6.2,21.3,70.8,4.5,547
"WV",1.5,3.8,21.4,73.3,6,325
"WY",6.8,9,35.3,48.9,12.7,114
