How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Joe Biden 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",26.2,25.5,34.4,13.9,0.9,20157
"AK",25.6,31.2,34.3,8.8,9.9,135
"AL",34.6,20.6,34.1,10.7,6.1,382
"AR",35.9,24.6,29.9,9.6,6.9,361
"AZ",31,20.3,29.3,19.3,7,318
"CA",21.9,22.1,36.9,19.1,4.4,726
"CO",26.9,24.9,38.1,10.1,6.1,387
"CT",24.5,29.5,32.4,13.6,6.1,358
"DC",12.2,20.9,42.7,24.2,10.3,166
"DE",20.6,20.9,37.4,21.1,6.3,340
"FL",26.9,23.7,32.9,16.5,4.2,663
"GA",26.7,23,32.8,17.5,5.2,494
"HI",25.4,33.1,33.5,8,8.4,215
"IA",23.4,25.6,42.7,8.3,5.9,386
"ID",39.2,25.9,27.6,7.3,6.3,357
"IL",24.8,22.3,39,13.8,4.8,525
"IN",31.2,26,31.1,11.7,5.3,443
"KS",28,25.9,32.9,13.2,5.6,440
"KY",29,28.1,31.8,11,5.5,400
"LA",24.6,23.7,36.4,15.2,6.6,386
"MA",18.8,26.6,39.6,15,4.9,472
"MD",20.7,25.7,33.4,20.2,5.5,399
"ME",28.8,24.9,34,12.3,5.5,370
"MI",28.8,22,33.9,15.3,4.6,525
"MN",30.2,25.6,33.2,11,5.5,420
"MO",34.8,23.2,31.2,10.8,4.9,477
"MS",27.8,27.9,29.2,15.1,6.7,347
"MT",35.6,24.3,30.8,9.3,7.3,255
"NC",27.4,25.3,33.3,14,4.7,519
"ND",29.6,26.1,36.6,7.6,8.3,210
"NE",37.3,25.6,28.9,8.3,7.4,263
"NH",22.8,24.8,39,13.4,5.6,369
"NJ",19.9,30.7,37,12.5,4.7,536
"NM",32.2,19.8,41.7,6.3,10.3,210
"NV",24.2,24.5,34.2,17.1,5.8,396
"NY",20.5,22.3,41.3,15.9,4.5,617
"OH",26.4,26.7,33.7,13.2,4.6,526
"OK",30.1,31,29.6,9.3,6.8,329
"OR",25.5,25.9,36.4,12.3,5.3,406
"PA",28.7,25.6,33.3,12.4,4.3,564
"RI",16.5,27.5,40.7,15.3,6.5,318
"SC",29,31.4,29.3,10.3,5.7,422
"SD",30.8,27.4,37.2,4.5,7.8,225
"TN",35.1,27.4,30.5,7,5.3,451
"TX",26.9,27.8,33.4,11.9,5.1,576
"UT",31.3,29.4,30.6,8.7,6.6,311
"VA",25.7,27.4,30.2,16.7,4.5,508
"VT",21.5,29.6,36.3,12.6,7.4,240
"WA",20,28.5,34.1,17.4,5.3,431
"WI",24.4,26.3,39.2,10.1,4.9,546
"WV",31.4,29.6,29.8,9.2,6.3,324
"WY",44.3,23.6,20.7,11.4,12.7,113
