How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Scientists and researchers 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",1.9,6.3,36.3,55.5,0.9,20196
"AK",1.6,15.6,42.1,40.7,10.3,134
"AL",2.1,7.7,45.2,45,6.4,383
"AR",4.2,10.4,35.9,49.5,7.2,362
"AZ",1.6,9.2,37.8,51.4,7.6,316
"CA",1,6.3,30.1,62.5,4.4,730
"CO",1.1,5.9,42.2,50.8,6.3,389
"CT",1.7,7.1,32.1,59.1,6.4,357
"DC",2.1,8.1,26.3,63.5,10,166
"DE",1.2,4,30.6,64.3,6.2,338
"FL",1.7,6.7,37.1,54.5,4.4,663
"GA",2.3,5.4,41.1,51.3,5.5,496
"HI",3.9,6.9,35.3,53.9,8.8,217
"IA",1.6,6.2,36.3,56,6,383
"ID",2.1,8.2,37.8,51.9,6.4,357
"IL",2.4,6.3,35.2,56.2,4.9,529
"IN",4,6.8,35,54.2,5.8,442
"KS",2.2,7.1,35.1,55.6,5.9,441
"KY",1,6.7,35.8,56.5,5.8,400
"LA",2.7,11.1,32.5,53.7,6.8,389
"MA",1.6,3.5,25.6,69.2,4.6,472
"MD",2.9,4.2,30.1,62.8,5.6,398
"ME",1.4,3.2,37.4,58,5.7,371
"MI",2.8,3.8,34.2,59.2,4.8,528
"MN",1.1,5.1,40.1,53.7,5.8,421
"MO",3.3,8.5,38.1,50.1,5.1,477
"MS",1.6,5.4,46.1,46.9,7.4,348
"MT",1.4,5.1,31.2,62.3,7.3,256
"NC",2.6,6.9,43.2,47.3,5,520
"ND",2.1,4,39.2,54.7,8.6,210
"NE",1.8,4.6,40.1,53.5,7.6,263
"NH",1,4.8,31.4,62.8,5.6,369
"NJ",0.8,5.2,38,56,4.8,538
"NM",1.7,3.8,40.5,54.1,10.5,210
"NV",1.7,5,39.1,54.1,6.1,396
"NY",2.6,4,36.1,57.3,4.5,620
"OH",2.2,6.4,38.8,52.6,4.8,528
"OK",2.7,8,37.4,51.9,7.4,329
"OR",2,6.2,34.9,57,5.5,408
"PA",2.8,8.4,33.8,55,4.6,563
"RI",1.3,2.6,32.7,63.4,6.4,318
"SC",2.5,7.4,43.6,46.4,6.2,420
"SD",0.4,8.5,40.1,50.9,8.1,227
"TN",2.5,6.6,44.1,46.8,5.6,454
"TX",1.8,6.2,40.5,51.5,5.4,576
"UT",2.3,5.1,36.6,55.9,7.1,313
"VA",2.8,6.2,36.3,54.7,4.8,510
"VT",0.3,4.3,31.6,63.8,7.4,240
"WA",1,5.1,33.1,60.8,5.4,433
"WI",0.8,4,39.2,55.9,4.9,549
"WV",2.2,6,42.4,49.4,6.7,325
"WY",3,9.8,37.7,49.5,12.7,114
