How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Banks 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",12,27.2,45.8,15,0.9,20202
"AK",8.4,41,43.5,7.1,10.3,135
"AL",9.8,27.8,49.2,13.1,6.4,384
"AR",18.7,23.4,43.1,14.8,7.1,362
"AZ",10,29.4,43.5,17.1,7.5,318
"CA",13.7,27.5,42.3,16.6,4.5,730
"CO",14.8,28.6,45.5,11,6.3,388
"CT",13.6,31.1,39.2,16.1,6.3,356
"DC",20.4,26.6,39.8,13.2,10.2,164
"DE",12.1,26.9,45.6,15.5,6.5,339
"FL",14.9,22.9,45,17.2,4.4,664
"GA",13.2,25.4,45.7,15.7,5.5,496
"HI",11.7,22.1,45,21.2,8.8,216
"IA",8.2,31.8,50.8,9.2,6,380
"ID",15.2,29.2,45.4,10.3,6.4,357
"IL",9.8,25.2,50,15.1,4.9,530
"IN",9.7,29,48,13.4,5.8,441
"KS",13.2,24.4,44,18.4,5.9,440
"KY",9.1,23.4,50.3,17.2,5.9,400
"LA",14.4,20.9,45.2,19.6,6.8,389
"MA",8.9,28.7,46.7,15.7,5,473
"MD",11.8,32.3,41.5,14.3,5.7,401
"ME",10.4,22.9,48,18.6,5.8,370
"MI",11.8,28.8,44.2,15.2,4.9,528
"MN",12.6,29.2,45.2,12.9,5.8,422
"MO",14.9,23.8,46.3,15,5.1,478
"MS",10,23.1,43.6,23.3,7.3,346
"MT",6.8,25.7,50.7,16.8,7.6,255
"NC",10.2,26.1,50.3,13.4,5,518
"ND",8.3,23.2,50.9,17.6,8.7,209
"NE",14.1,26.7,48.5,10.6,7.6,263
"NH",6.8,29.6,47,16.5,5.7,369
"NJ",10.8,28.5,48,12.6,4.8,537
"NM",17,32.1,46.3,4.7,10.4,211
"NV",16,30.2,43.6,10.2,6.1,396
"NY",9.9,26.4,48.6,15,4.5,620
"OH",13.7,21.9,49.1,15.2,4.8,528
"OK",10.9,32.3,40.1,16.7,7.2,330
"OR",18.2,29.1,41.2,11.4,5.4,410
"PA",9.3,24.3,52.8,13.6,4.6,565
"RI",8,24.2,50.6,17.2,6.7,317
"SC",8.6,34.5,44.4,12.5,6.1,421
"SD",12.4,26.4,46.4,14.8,8,228
"TN",10.3,25.2,47,17.4,5.6,454
"TX",9.4,30.4,46.1,14,5.4,578
"UT",15.4,30.9,41.9,11.8,7.1,311
"VA",12.8,27.7,44.7,14.8,4.8,511
"VT",6,36.1,43.9,13.9,7.7,241
"WA",11.6,32.7,43.3,12.4,5.5,435
"WI",10.5,25,50.8,13.8,5,547
"WV",10.6,20,50.7,18.7,6.7,326
"WY",9,28.9,45.4,16.6,12.6,115
