Age range 
"","18 to 24","25 to 44","45 to 64","65 and over","Error Margin","N"
"National",12.4,34.5,33.2,19.9,0.9,20305
"AK",14.7,39.3,33.4,12.6,10.1,135
"AL",12.3,33,33.9,20.8,6.1,384
"AR",12.2,34.7,33,20.1,6.8,366
"AZ",10.6,32.8,33,23.6,7.1,320
"CA",10.4,37,34.2,18.4,4.4,730
"CO",12.2,38.1,32.6,17.2,6.1,389
"CT",12.1,31.3,35.6,21,6.2,358
"DC",13.8,44.3,27.8,14.1,10.2,168
"DE",11.5,33.1,33.6,21.8,6.1,340
"FL",10.6,31.6,33.1,24.7,4.2,667
"GA",12.1,36.3,34.2,17.4,5.3,496
"HI",12.1,35.6,30.5,21.8,8.5,217
"IA",12.6,32.7,33.2,21.6,5.6,389
"ID",13,34,33,20,6.1,359
"IL",12.1,33.5,34.9,19.4,4.7,533
"IN",12,33.5,34.3,20.2,5.5,445
"KS",13,34.2,33.6,19.2,5.6,442
"KY",12.5,33.3,34.4,19.7,5.6,401
"LA",11.9,36.2,34.1,17.8,6.5,390
"MA",12.3,33.5,33,21.2,4.7,475
"MD",11.9,33.7,35.4,19.1,5.5,402
"ME",10.4,28.9,36.8,23.9,5.5,373
"MI",12,31.7,35.8,20.5,4.7,529
"MN",11.5,34.1,34.6,19.8,5.6,422
"MO",11.8,32.7,34.5,21,4.9,479
"MS",13,35.2,34.7,17.1,7,348
"MT",13,30.9,34.7,21.4,7.2,256
"NC",10.6,34.8,34.9,19.8,4.8,526
"ND",15.5,35,30.4,19.1,8.2,212
"NE",13.7,34.8,31.4,20.1,7.3,264
"NH",12.2,29.7,36.8,21.2,5.5,370
"NJ",10,33.1,36.1,20.8,4.6,541
"NM",13.3,32.7,30.5,23.4,9.8,211
"NV",11.2,37.9,31.5,19.4,6,397
"NY",11.7,34.3,34,20,4.3,625
"OH",11.8,32,34.9,21.3,4.6,531
"OK",13,33.9,33,20.2,7,333
"OR",11.1,35,32.8,21.2,5.3,410
"PA",11.5,31.2,35.3,21.9,4.4,566
"RI",13,31.3,35.2,20.5,6.4,319
"SC",11.7,32.6,34.1,21.6,5.8,425
"SD",13.4,33.1,32.8,20.7,7.6,230
"TN",10.3,34.6,34.5,20.6,5.3,456
"TX",13.3,37.5,31.8,17.4,5.2,582
"UT",15.4,41,28.6,15,7,314
"VA",12.2,35.4,33.4,19.1,4.6,511
"VT",13.2,28.6,36,22.2,7.4,242
"WA",12,35.6,33.3,19.1,5.3,436
"WI",11.5,31.3,35.8,21.4,4.8,549
"WV",10.3,32.4,33.3,24,6.3,327
"WY",10.8,35,34.5,19.6,12.1,115
