Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people in your community 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",36.9,51.5,11.5,0.9,20052
"AK",30.6,46.2,23.1,10.4,133
"AL",42.5,47.6,10,6.5,377
"AR",35.9,48.3,15.8,7.3,354
"AZ",37.6,51.2,11.2,7.6,316
"CA",31.2,57.4,11.4,4.5,724
"CO",32.1,52.7,15.2,6.3,384
"CT",31.5,54.7,13.8,6.5,352
"DC",39.7,53.9,6.4,10.3,165
"DE",31.8,56.3,11.9,6.4,338
"FL",34.6,54.6,10.8,4.4,657
"GA",41.3,46.8,11.9,5.5,490
"HI",26.4,63.2,10.4,8.6,217
"IA",37.6,52.9,9.5,6,385
"ID",38.8,47.9,13.3,6.4,356
"IL",29.8,60.2,10.1,4.9,528
"IN",41.6,45.4,13,5.7,441
"KS",40.6,47.1,12.3,6,438
"KY",39.5,50,10.6,5.9,396
"LA",48,37.8,14.2,6.8,386
"MA",35.1,56.5,8.5,5,469
"MD",35.8,58,6.3,5.8,394
"ME",28.8,57.6,13.6,5.7,368
"MI",39.2,52.1,8.7,4.9,524
"MN",30.9,55.2,13.9,5.9,415
"MO",40.9,46.7,12.4,5.1,471
"MS",49.6,39.9,10.5,7.4,343
"MT",36.6,51.7,11.7,7.6,253
"NC",40.4,45.6,14,5,520
"ND",36.4,48.3,15.3,8.6,211
"NE",38.7,47.4,13.8,7.7,259
"NH",31.6,59,9.4,5.7,367
"NJ",32.9,58.4,8.7,4.8,538
"NM",46.9,44.5,8.7,10.6,207
"NV",45,37.8,17.1,6.1,392
"NY",33.4,57,9.5,4.5,615
"OH",36.6,52.1,11.3,4.8,524
"OK",46.3,38.6,15.1,7.4,326
"OR",28.6,55.7,15.7,5.5,406
"PA",32.9,55.8,11.3,4.6,559
"RI",30.9,59.8,9.3,6.6,314
"SC",44.5,45.6,9.9,6.1,422
"SD",39.5,49.7,10.8,8,229
"TN",47.7,40.7,11.6,5.6,446
"TX",43.9,45.5,10.6,5.4,580
"UT",40.3,43.6,16.1,7.1,307
"VA",33.4,55.8,10.8,4.8,507
"VT",27.9,61,11,7.5,239
"WA",33.2,57.5,9.3,5.5,428
"WI",41.1,49.5,9.4,5,545
"WV",41.7,49.2,9.1,6.8,322
"WY",40.5,40,19.4,12.4,115
