How concerned, if at all, do you currently feel about the following: - Being able to receive health care 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",19.3,23.5,29.6,22.1,5.4,0.8,20180
"AK",27.1,25.5,27.2,16.7,3.5,9.3,132
"AL",19.1,17.1,28.5,30.1,5.1,5.9,379
"AR",23.6,24.3,24.7,19.4,8,6.2,360
"AZ",20,26.2,28.8,16.4,8.5,6.9,318
"CA",20.1,21.8,31.7,22,4.5,4.2,728
"CO",21.6,23.8,32.3,19.4,2.8,5.9,386
"CT",18.5,22.3,37.9,16.4,5,6.3,356
"DC",8.8,17.6,35,34.8,3.8,9.8,168
"DE",19,22.4,38,18.3,2.4,6.3,340
"FL",17.3,23.7,29.8,22.6,6.6,4.1,662
"GA",15.3,18.6,30.1,30.9,5.1,5.1,492
"HI",18.2,25.3,22.3,26.1,8.1,7.8,215
"IA",18.2,21.5,39.4,16.1,4.7,5.9,385
"ID",24.2,29.7,22.1,17.6,6.3,5.9,358
"IL",26.3,21.6,31,17.6,3.4,4.6,530
"IN",21.3,27.2,31.3,16.1,4.2,5.3,441
"KS",25.1,26.8,25.8,18.7,3.6,5.3,439
"KY",20.1,22,35.3,18.4,4.2,5.6,399
"LA",16.4,19.8,31.4,27.8,4.6,6.3,389
"MA",17.5,18.5,36.9,23.8,3.3,4.8,472
"MD",18.5,21.1,27.7,27.4,5.3,5.2,399
"ME",16.8,30.6,27.8,18,6.8,5.3,372
"MI",17.2,25.2,29.9,21.7,6,4.5,527
"MN",23,27.4,32.5,13.2,3.9,5.5,421
"MO",26.2,21.2,26.1,19.1,7.4,4.5,477
"MS",16.7,23.4,22.4,29.4,8.2,6.7,345
"MT",24.5,27.9,29.1,13,5.6,6.9,253
"NC",19.9,24.3,27.2,24.6,4,4.5,524
"ND",20.2,34,31.9,12.5,1.3,8.2,210
"NE",29.2,22.4,23.7,21.2,3.4,6.9,263
"NH",16.9,27.9,32.4,18,4.9,5.4,369
"NJ",16.6,24.3,33.1,22.9,3,4.6,537
"NM",13.8,23.3,38.5,21.8,2.6,10.2,210
"NV",17.5,19.9,36.5,21.3,4.8,5.9,395
"NY",13.4,24.9,31.4,25,5.2,4.2,620
"OH",25,22.9,28.9,17.3,5.8,4.4,526
"OK",19.4,24.1,32,19.5,5.1,6.9,332
"OR",21.8,30.1,28,14.6,5.6,5.1,409
"PA",19.6,25.9,29.9,18.5,6.2,4.2,562
"RI",17.8,24.9,29.6,22.7,5,6.1,318
"SC",20.8,21.4,29.8,22.9,5.2,5.6,424
"SD",26.2,19.4,22.7,26,5.7,7.1,230
"TN",16.3,26.6,29.1,22.6,5.5,5.1,449
"TX",16.5,18.8,32,27.5,5.2,5.1,578
"UT",17.3,27.9,34.3,14,6.6,6.7,313
"VA",18.8,23.8,28.2,23.5,5.8,4.4,509
"VT",26.2,22.9,27.8,16.6,6.6,6.9,241
"WA",21.4,27.6,24.4,20.5,6,5,433
"WI",19.9,30,30.7,16.3,3.1,4.6,548
"WV",20.4,30.1,26.3,18,5.2,6.2,323
"WY",30.1,22.2,33.2,9.3,5.2,12,114
