How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your city government 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",5.5,16.1,53.9,24.5,0.9,20216
"AK",9,14.8,55.1,21.1,10.3,135
"AL",6.3,21.9,55.6,16.2,6.4,384
"AR",9.5,16.2,55.2,19.1,7.1,363
"AZ",8,17.6,55.7,18.8,7.5,317
"CA",4.8,13.8,47.2,34.1,4.5,729
"CO",5.4,18.2,56,20.3,6.2,389
"CT",3.1,12.8,52.3,31.8,6.5,357
"DC",6.1,5.2,56.8,31.9,10.3,166
"DE",5.1,15.2,55.8,23.9,6.5,337
"FL",7.8,18.1,50.9,23.2,4.5,665
"GA",9.6,19.4,52.9,18.1,5.5,494
"HI",5.3,26.1,51.4,17.1,8.9,216
"IA",5.4,23.4,51.1,20,6,386
"ID",5,19.7,54.4,20.9,6.4,358
"IL",6.1,14.3,51.7,27.8,4.9,530
"IN",4,23.6,48,24.4,5.8,443
"KS",5.2,19,50.9,24.9,5.9,442
"KY",3.8,13.1,50.8,32.4,5.9,399
"LA",5.9,16.9,47.6,29.6,6.8,389
"MA",1.5,11.3,50.7,36.5,5,474
"MD",4.3,12.8,51.1,31.7,5.8,401
"ME",4,13.4,62,20.5,5.6,371
"MI",6,13.9,55.7,24.5,4.9,527
"MN",5.8,12.9,56.6,24.7,5.8,420
"MO",7.1,17.3,53.5,22.1,5.1,479
"MS",6.6,17.6,53.8,22,7.4,346
"MT",3.9,12.9,67.8,15.5,7.1,254
"NC",7.2,18.8,54,19.9,5,521
"ND",4.3,13.3,55,27.4,8.6,211
"NE",5,15.1,64.9,15.1,7.3,262
"NH",4.1,13.9,57.9,24.2,5.7,370
"NJ",2.3,12.7,57.9,27.1,4.8,538
"NM",8.2,22.9,45.7,23.2,10.4,211
"NV",6.5,21.9,53.2,18.4,6.1,397
"NY",4.2,12.1,51.5,32.2,4.5,621
"OH",3.8,12,60.9,23.4,4.7,528
"OK",6.1,17.4,57.3,19.2,7.3,330
"OR",6.6,17.1,54.7,21.6,5.5,410
"PA",7,16.2,55.9,20.9,4.6,564
"RI",5.2,11.9,54.5,28.4,6.6,317
"SC",6.2,23.5,56.6,13.7,6.1,422
"SD",3.5,19,57.5,20,8,229
"TN",6.1,17.8,53.9,22.2,5.6,454
"TX",5.3,14.7,56.5,23.5,5.4,576
"UT",5.4,18.5,52.9,23.2,7.1,313
"VA",7.7,15,56.9,20.5,4.8,510
"VT",6.1,10.8,54.3,28.8,7.7,240
"WA",4.3,11.1,61.4,23.2,5.4,433
"WI",5.5,15.6,55.4,23.5,5,547
"WV",4.2,15.8,60.4,19.7,6.6,327
"WY",5.7,24.9,51.4,18,12.7,114
