In the last week, how closely did you personally follow the health recommendations listed below? - Disinfecting often-touched surfaces 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",3.2,9.8,28.5,58.5,0.9,20184
"AK",3,9.1,29.1,58.9,10.2,135
"AL",3.1,8.1,24.6,64.2,6.2,382
"AR",3.8,12.1,31.9,52.2,7.2,365
"AZ",6.1,13.4,25.9,54.6,7.5,316
"CA",2.9,9.8,29.4,57.9,4.5,724
"CO",5.2,11.6,26.1,57.1,6.2,388
"CT",1.9,10.3,24.3,63.4,6.3,356
"DC",1.5,7.7,24,66.8,9.7,167
"DE",1.5,8.5,25.3,64.7,6.2,337
"FL",3.1,10.2,24.8,62,4.3,662
"GA",3,4.3,26,66.6,5.2,491
"HI",5.8,12.3,31.1,50.8,8.9,215
"IA",4.7,15.5,33.1,46.7,6,386
"ID",4.8,11.8,36.1,47.3,6.4,359
"IL",5.3,11.9,30.2,52.6,4.9,529
"IN",2.9,10.4,34.6,52,5.8,445
"KS",4.1,9.5,23.5,62.9,5.8,439
"KY",3.1,8.8,31.5,56.7,5.8,400
"LA",3.6,10.1,22.6,63.6,6.6,387
"MA",2.6,6.2,26.2,65,4.8,470
"MD",2,11.2,25.9,60.9,5.7,400
"ME",2.9,6.8,31.5,58.7,5.7,370
"MI",2.7,10.8,31.9,54.6,4.9,524
"MN",7.5,11.8,35,45.8,5.8,417
"MO",2.8,11.6,31.3,54.3,5.1,477
"MS",1.8,11.3,27,59.9,7.2,347
"MT",4.8,9.8,35.7,49.7,7.6,254
"NC",2.6,9.8,29.6,58,4.9,522
"ND",5.2,12.6,36.5,45.8,8.6,211
"NE",3.4,10.5,33.6,52.5,7.6,262
"NH",2.2,9.7,32.6,55.5,5.7,369
"NJ",2.4,9.7,23.5,64.4,4.6,540
"NM",3.5,12.4,31.1,53,10.4,211
"NV",3.5,8.4,25.3,62.9,6,394
"NY",2.4,7.5,24.6,65.5,4.3,620
"OH",3.3,11.6,28.9,56.2,4.8,529
"OK",5.2,12.1,24.4,58.3,7.3,331
"OR",4.9,12.5,29.5,53.1,5.5,410
"PA",3.2,8.2,26.3,62.3,4.5,562
"RI",0,9,26.8,64.2,6.4,317
"SC",3.3,12.6,27.8,56.3,6.1,422
"SD",5.6,11.8,35.4,47.2,8.1,228
"TN",1.5,8.7,27.5,62.3,5.4,454
"TX",2.2,8.3,30.2,59.3,5.3,580
"UT",5,11.1,27.3,56.5,7.1,311
"VA",2.9,8.5,29.3,59.3,4.7,511
"VT",3,14.8,26.3,55.9,7.7,241
"WA",3.6,11.3,32.6,52.5,5.5,431
"WI",4.6,10.3,31.1,53.9,5,546
"WV",4.2,8,25.4,62.4,6.5,326
"WY",6.6,13.6,26.6,53.2,12.7,114
