In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding contact with other people 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",2.5,5.3,29.9,62.4,0.9,20210
"AK",0.6,7.5,42.5,49.5,10.4,134
"AL",3.8,5.1,31.8,59.3,6.3,381
"AR",3.4,8.8,40.6,47.3,7.1,365
"AZ",2.5,6.4,32.3,58.8,7.4,316
"CA",1.3,4.6,22.9,71.2,4.1,729
"CO",2,10.3,33.5,54.2,6.3,387
"CT",2,1.9,27.7,68.4,6,358
"DC",1.6,3.9,22.9,71.6,9.3,167
"DE",1.1,3.3,29.5,66.1,6.1,340
"FL",1.6,4.2,27,67.2,4.2,663
"GA",3.1,4.4,23.2,69.3,5.1,493
"HI",4.6,7.2,35.5,52.8,8.9,215
"IA",2,5.5,42.5,50.1,6,389
"ID",4.4,6.7,40.1,48.8,6.4,358
"IL",3.5,6,25.4,65.2,4.7,532
"IN",2.6,6.6,32.4,58.4,5.7,445
"KS",3.5,5,33.1,58.3,5.9,442
"KY",2.9,2.6,31.4,63.1,5.7,400
"LA",3.6,5.3,26.2,64.9,6.5,389
"MA",0.9,2.2,26.7,70.1,4.6,473
"MD",0.4,2.7,22.6,74.2,5.1,400
"ME",2.5,3.6,29,64.9,5.5,371
"MI",2,5.2,27.4,65.5,4.7,526
"MN",2.8,5.9,33.8,57.5,5.8,418
"MO",2.5,8.4,32.8,56.3,5.1,475
"MS",3.3,5.9,34,56.9,7.3,347
"MT",1.9,6.3,46.8,44.9,7.6,255
"NC",4,7.8,32.9,55.4,5,522
"ND",4.5,11.9,38.8,44.8,8.6,210
"NE",4,8.5,35.1,52.5,7.7,262
"NH",2.2,4.2,30.5,63.1,5.5,369
"NJ",2,4.9,24.9,68.2,4.5,540
"NM",1.7,10.6,36.1,51.5,10.5,209
"NV",2.7,7.2,28.3,61.8,6,397
"NY",2,1.7,21.8,74.5,4,622
"OH",3.2,4.8,33,58.9,4.7,529
"OK",3.4,8.8,32.7,55,7.4,329
"OR",3.5,6.1,32,58.4,5.4,407
"PA",1.8,5.3,25.6,67.4,4.3,563
"RI",1.2,4.2,19.2,75.4,5.8,317
"SC",3,7.2,35.4,54.5,6.2,418
"SD",3.3,7.5,40.5,48.7,8.1,228
"TN",2.6,6.4,30.9,60.1,5.5,454
"TX",1.1,3.3,29.5,66,5.1,582
"UT",2.9,6.6,38.6,52,7.1,310
"VA",1.3,4.4,31.9,62.4,4.7,510
"VT",0.7,4.3,31.1,64,7.4,241
"WA",3,2.6,30.5,63.9,5.3,434
"WI",3.3,5.9,34.8,56,4.9,549
"WV",2,3.7,33.6,60.6,6.6,326
"WY",10.4,10.2,40.4,39,12.5,114
