In the last week, how closely did you personally follow the health recommendations listed below? - Frequently washing hands 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",1.2,3.2,17.6,78,0.7,20199
"AK",1.1,7.2,14.3,77.3,8.7,135
"AL",1.4,3,15.8,79.8,5.1,383
"AR",0.6,4.1,23.5,71.8,6.5,363
"AZ",2.7,3.1,16.5,77.7,6.3,318
"CA",1.1,2.6,17.2,79,3.7,728
"CO",1.7,7,17.6,73.7,5.5,387
"CT",0.5,1,13.7,84.8,4.7,358
"DC",0.4,0.7,15.2,83.7,7.6,167
"DE",0.4,1.5,17,81.1,5.1,336
"FL",0,4.7,16.7,78.6,3.7,665
"GA",1.5,2,17.6,79,4.5,495
"HI",0.6,4.6,17.6,77.2,7.5,216
"IA",1.7,6.5,21.9,70,5.5,385
"ID",0.5,3.2,23.2,73,5.7,358
"IL",0.9,3.6,22,73.5,4.4,531
"IN",1,3.3,19.4,76.3,4.9,442
"KS",0.7,4,19.7,75.6,5.1,442
"KY",1.3,2.5,21.8,74.5,5.1,399
"LA",2.7,3.3,14,80,5.5,388
"MA",1.3,1.8,17.7,79.3,4.1,471
"MD",1.9,3.3,15.3,79.6,4.7,400
"ME",1.4,3.4,15.5,79.6,4.6,371
"MI",2.1,2.9,15.3,79.7,4,525
"MN",1.2,6.2,22.1,70.4,5.4,417
"MO",1.2,5.7,18.7,74.5,4.5,476
"MS",1.4,1.9,15,81.7,5.7,346
"MT",2.8,2.1,21.2,73.9,6.7,256
"NC",3,3.9,18.8,74.3,4.4,521
"ND",3.5,4.2,20.9,71.5,7.8,211
"NE",1.3,3.5,20.4,74.8,6.6,262
"NH",1.4,2,17.1,79.5,4.6,368
"NJ",0.8,2.8,15.2,81.2,3.8,539
"NM",3.8,0.5,24.7,71,9.5,211
"NV",1.4,2,15.7,80.9,4.8,396
"NY",0.7,2.6,15.1,81.7,3.5,620
"OH",1.2,3.3,16.9,78.5,4,529
"OK",1.5,5.3,22.4,70.8,6.7,331
"OR",1.2,3.5,19.7,75.6,4.7,409
"PA",0.4,3.9,16,79.7,3.7,562
"RI",0.3,3.8,14.7,81.2,5.2,316
"SC",1.6,2.8,18.7,76.9,5.2,422
"SD",0,6.4,28.2,65.3,7.7,229
"TN",1,3.2,18.5,77.3,4.7,453
"TX",0.8,3.6,18.3,77.3,4.5,580
"UT",2.8,1.6,17,78.6,5.9,309
"VA",1.6,2.3,15.1,81,3.8,510
"VT",0.9,1.6,27,70.4,7,241
"WA",1.3,2.9,17.1,78.6,4.5,435
"WI",0.8,3,20.2,76,4.3,549
"WV",0.8,4.2,13.8,81.2,5.3,324
"WY",4.6,2.5,15.5,77.5,10.6,114
