Have you or someone in your household experienced any of the following as a result of the coronavirus (COVID-19) outbreak 
"","Had to start working from home","Had their school or university closed","Had to stop or scale back work to take care of their children","Had to stop or scale back work to take care of someone who had COVID-19","Had to take a cut in pay due to reduced hours or demand for their work","Was laid off or lost a job","Error Margin","N"
"National",30.7,28,7.4,1.9,17.6,17.6,0,346
"AK",29.7,24,5.4,1.2,15.6,16.8,9.5,128
"AL",26.5,30.4,8.4,4.4,12.6,16.6,5.5,436
"AR",24.2,29.1,5.6,0.3,16.1,18.3,5.8,387
"AZ",24.4,24.1,6.5,0.8,21.7,13.9,6.6,332
"CA",35.6,28.6,6.6,1.2,14.2,16.5,5.6,547
"CO",36.9,33.2,10.5,2.7,23.7,21.8,6.9,365
"CT",35.8,29.2,9.1,2.2,17.5,19.2,5.8,406
"DC",51.4,31.2,10.6,4.7,14.4,18,7.2,276
"DE",31.5,28.5,4.5,1.3,10.7,17.8,7.1,285
"FL",27,24.4,5.3,1.6,19.2,12.6,5,490
"GA",32.7,27.4,8.9,4.6,16.6,14.9,5.5,437
"HI",32.1,30.3,9,2.2,27.8,28,6.6,291
"IA",24.6,28.6,7.5,0.8,15.7,17.8,5.3,412
"ID",27.2,30,7.3,1.5,18.2,15.6,5.6,350
"IL",31.7,29.6,7,2.8,21.8,15.7,5.6,470
"IN",21.7,24.3,8.8,0.6,23.6,17.6,6.1,319
"KS",28.8,30.5,8.3,1.6,15.9,19.5,5.6,365
"KY",20.2,22,7.3,0.5,8.3,23.8,5.4,392
"LA",22.8,30.4,7.4,2,15.9,27.4,6.1,404
"MA",43.3,33,10.2,4.1,21.5,20.2,6,363
"MD",42.8,35.2,7.2,3.3,16.4,19.3,5.6,462
"ME",25.7,27.8,7.9,1.2,17,14.4,6.1,315
"MI",29.3,25.6,7.2,2.9,12.6,22.6,5.8,366
"MN",33.4,27.7,7.3,0.7,19.6,16.5,5.8,382
"MO",27.5,25.2,6.3,1.4,16.4,16.7,5.5,358
"MS",22.4,27.7,9.2,0.5,17,15.6,6.1,374
"MT",23.6,25.4,7.8,0.4,18.2,18.3,5.8,292
"NC",30,27,5.7,1.7,18.4,13.4,5.1,429
"ND",22.2,28.8,6.7,0.8,14.7,11,7.7,209
"NE",28.9,30.3,8.1,2.2,18.6,17.8,5.8,336
"NH",33.7,26.3,9.3,0.8,17.7,21.2,6,315
"NJ",37.3,29.2,5.5,0.3,14.7,19.4,6.4,391
"NM",27.8,29.7,5.3,0.6,19.1,19.2,7,335
"NV",22.9,21.6,5.6,1.7,15.4,27.1,6.2,433
"NY",38.4,26.7,6.8,3,17.6,15.2,5.4,465
"OH",23,17.1,4.8,1.5,15.5,16.1,4.6,479
"OK",24,24.6,7.1,0.3,20.9,17.1,5.9,382
"OR",29.8,26.6,4.9,0.6,21.8,16.6,5.7,397
"PA",33.4,31.1,6.2,2.9,17.4,16.4,5.9,478
"RI",33.2,26.1,4.8,1.2,14.9,17.6,6,321
"SC",25.2,31.1,9.2,1.7,17.5,17.7,5.5,421
"SD",19.7,24.2,10.2,2.6,18.4,17.1,6.6,256
"TN",21.7,24.6,9.1,2.3,19.1,17.4,5.1,468
"TX",31.9,26.1,4.2,2.5,15.2,13.1,5.3,484
"UT",36.7,38.3,9.2,1.5,24.8,17.9,5.8,441
"VA",34.4,29.2,8.8,1.9,16.2,12.4,5.6,402
"VT",33.3,25.9,7.1,3.7,14.5,23.4,7.1,202
"WA",32.3,28.1,4.3,2.3,18.5,17.1,5.2,445
"WI",26.4,28.3,6.4,1.9,17.6,19.1,4.9,445
"WV",17.6,23.7,7.7,0.4,15.4,17.5,5.5,363
"WY",22.2,32.8,5.2,0,17.1,13.1,9.2,157
