How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The police 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",14.1,21.5,40.9,23.4,1,18964
"AK",12.8,19.9,46.6,20.7,11,128
"AL",15,17.5,43.2,24.2,6.3,435
"AR",16.7,24.9,40.5,17.9,6.7,387
"AZ",12.8,23.2,39.1,24.8,7.4,331
"CA",14.3,16.6,49.8,19.4,5.9,546
"CO",17.9,14.5,43.3,24.3,6.9,363
"CT",11.5,25.9,42.3,20.4,6.2,402
"DC",20.8,30,29,20.2,6.6,275
"DE",12.4,18.1,32,37.5,7.8,285
"FL",12.2,21.3,39.9,26.6,5.5,489
"GA",17.3,20.6,36,26.1,5.6,431
"HI",14.4,17.7,51,16.9,7.5,290
"IA",10,22.8,41.9,25.4,6.1,409
"ID",12.4,23.1,44.1,20.3,6.3,349
"IL",13.2,21.8,41.8,23.1,5.9,469
"IN",15.7,19.4,44.8,20.1,6.8,317
"KS",16.4,19.9,42.4,21.3,6.3,362
"KY",15.3,20.7,41.1,22.8,6.2,386
"LA",11.1,25.4,36.1,27.3,6.6,401
"MA",13.3,20.2,40.4,26.1,6,363
"MD",15.8,25.9,38.4,19.9,5.7,461
"ME",9.7,16.8,44.5,29,6.5,314
"MI",18.2,20.8,40.3,20.7,6.4,365
"MN",10.8,19.5,41.6,28.1,6.3,381
"MO",16.1,21.1,41,21.7,6.2,356
"MS",17.1,20.3,36.3,26.3,6.7,373
"MT",13.3,19.7,41.5,25.5,6.8,291
"NC",13.9,21,35.9,29.1,5.6,427
"ND",7.3,23.8,38.9,30,8.6,208
"NE",13.9,21.5,41.1,23.5,6.5,333
"NH",9.1,19.1,46.4,25.4,6.5,314
"NJ",14.8,21.1,41,23.1,6.6,386
"NM",14.8,26.7,39.3,19.2,7.7,333
"NV",14.8,22.5,37.5,25.3,6.5,431
"NY",15.7,18.3,38.4,27.5,5.6,463
"OH",13.9,23,42.8,20.4,5.4,476
"OK",15.1,27.3,38.6,19,6.9,379
"OR",15.6,25,35.8,23.6,6,395
"PA",15.7,19,36.1,29.2,5.8,478
"RI",13.2,25.3,38.7,22.8,6.6,319
"SC",15.2,19.6,40.2,25,6,419
"SD",13.2,13.7,40.8,32.2,7.8,256
"TN",10.9,18.6,43.4,27.1,5.9,460
"TX",11.1,26.2,42.9,19.8,5.9,481
"UT",10.4,21.7,44.5,23.4,6.1,441
"VA",19.5,23,36.8,20.7,6,401
"VT",7,24.8,43.9,24.4,8.1,201
"WA",15.1,23.9,36.9,24.1,5.6,443
"WI",11.4,23.4,44.8,20.4,5.5,443
"WV",14.9,24.2,37.6,23.3,6.9,361
"WY",8.5,21.9,42.2,27.4,9.8,157
