I feel well-informed about government guidelines with regard to the outbreak. 
"","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Error Margin","N"
"National",3.8,6.2,16.9,43,30,1,3467
"AK",0,0,2.4,86.9,10.7,31.3,6
"AL",6.4,6.8,20,54.7,12,16.1,64
"AR",4.5,6.1,9.8,41.5,38.1,19.5,48
"AZ",3.2,1.3,11.4,50,34,17.3,68
"CA",4.8,3.1,14.1,45.3,32.6,10,189
"CO",2,8.7,22.3,34.8,32.3,13,85
"CT",4,2.2,27,37.6,29.2,15.6,60
"DC",5.4,1.3,8,29.5,55.8,17,46
"DE",2.5,0.9,14.2,56.8,25.6,19.7,42
"FL",3.3,4.2,22.4,44.7,25.4,10.1,136
"GA",0.4,7.2,15,37.5,40,12.1,89
"HI",2.3,15.8,5.5,43.8,32.6,20.3,37
"IA",7.9,5.4,29,34.3,23.5,17.5,47
"ID",0,7.8,18.3,46.3,27.7,17,46
"IL",0,12.2,18.9,37.2,31.7,11.7,105
"IN",5,8.1,21,36,29.9,13.9,70
"KS",1.3,4.7,16.2,55.1,22.7,16,58
"KY",5.7,8.4,10.2,41.3,34.4,13.7,80
"LA",1.4,11.5,14.4,32.6,40.1,16.9,59
"MA",2.9,1.8,20.8,39.5,34.9,15,52
"MD",3.7,7.1,19.1,50.1,20,12.7,94
"ME",3.6,13.4,15.3,52,15.7,14.9,56
"MI",9.9,3.8,12.1,46.3,28.1,15.1,68
"MN",3.4,4.4,23.4,50,18.8,12.7,81
"MO",2.9,12.8,25.5,42.1,16.6,13.9,67
"MS",2.1,8.3,15.6,33.2,40.7,22,34
"MT",0,19.4,9.6,38.9,32.1,21.7,28
"NC",9.1,0.7,23.8,24.8,41.7,14.3,69
"ND",5.2,0.9,16.3,62,15.6,22.3,28
"NE",7.9,11.9,29.2,27.4,23.7,15.4,47
"NH",2.1,10,21.5,45.5,20.9,16.7,47
"NJ",6,9.7,18.4,41.2,24.7,13.4,86
"NM",7.4,2.4,22.7,62.2,5.3,22.5,23
"NV",9.2,11,15.2,38.1,26.5,15.5,69
"NY",2.2,4.9,16.5,33.8,42.6,9,172
"OH",4.8,3.2,21,37.4,33.7,11.7,102
"OK",2.1,1.9,13.6,44.2,38.2,17.1,58
"OR",4.9,2.3,21.4,43.3,28.1,13.6,79
"PA",7.2,7.7,29.4,36.9,18.8,11.5,102
"RI",4.8,3.3,6.2,66.1,19.6,18.1,36
"SC",1.9,7,13.2,38.8,39.1,16.1,56
"SD",0,16.1,14.7,47.8,21.3,21.5,35
"TN",9.7,5,17.7,47.3,20.2,13.5,90
"TX",1.1,2.7,16.9,39.9,39.4,9.6,140
"UT",5.1,9.7,2.4,45.5,37.3,20.9,34
"VA",4.3,5.9,12.5,40.2,37,15.3,62
"VT",7.8,0,0,61.5,30.7,25.8,21
"WA",7.3,12.2,11.4,40.8,28.3,11.9,97
"WI",3.5,9.4,21.5,42.2,23.4,10.6,118
"WV",2.9,6.7,8.7,60.2,21.4,17.6,60
"WY",9.3,10.5,19.7,29.7,30.9,22.7,21
