How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Pharmaceutical companies 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",8.7,22.2,45.7,23.4,1,18951
"AK",5.8,31.8,43.5,18.9,11,127
"AL",7.8,23.8,46.3,22.2,6.4,433
"AR",11.1,21.5,51.5,16,6.9,387
"AZ",7.6,22.9,45.9,23.6,7.6,330
"CA",7.5,20.6,48.8,23.1,5.9,547
"CO",13.5,25.7,38.6,22.2,6.8,364
"CT",6.9,21.1,46.9,25.1,6.3,401
"DC",11.9,15.9,46.9,25.3,7.2,274
"DE",4.3,23.7,43.8,28.2,8,283
"FL",6,20.7,45.3,28,5.6,488
"GA",9.2,21.8,49.3,19.8,5.8,432
"HI",10.8,19.2,50.9,19.2,7.5,290
"IA",12.2,25.8,40.5,21.5,6.1,406
"ID",11.3,24.2,44.8,19.7,6.4,349
"IL",6.4,17.6,49.3,26.7,6,468
"IN",10.8,21.4,47.3,20.5,6.9,318
"KS",9.7,25.9,43.8,20.6,6.3,364
"KY",8.8,21.6,46.6,23,6.3,387
"LA",8.8,18.3,44.6,28.4,6.8,402
"MA",8.7,17.3,47.5,26.5,6.1,360
"MD",7.4,16.3,48.1,28.3,5.8,458
"ME",11.4,27.1,41.4,20.1,6.5,312
"MI",5.6,26.8,47.7,19.9,6.5,364
"MN",5.6,29.2,41,24.2,6.2,381
"MO",9.2,27.7,44.5,18.6,6.3,352
"MS",9.6,19.1,48.9,22.4,6.9,374
"MT",9.9,33.3,42.1,14.6,6.8,291
"NC",11,18.9,45.3,24.8,5.8,423
"ND",12.8,21.9,44.8,20.5,8.7,207
"NE",14.1,22.8,43.6,19.5,6.5,335
"NH",9.5,19.2,49,22.3,6.5,315
"NJ",5.9,23.6,47.1,23.4,6.7,385
"NM",12.8,25.8,47.5,13.8,7.9,334
"NV",8.6,22.3,47,22,6.7,432
"NY",6.9,15,43.6,34.5,5.7,465
"OH",11.3,19.3,44.9,24.4,5.4,477
"OK",12.1,22.4,47.5,18,7.1,379
"OR",13.4,27.7,42.7,16.2,6.2,395
"PA",9.1,19.6,45.9,25.4,6,478
"RI",5.8,22.1,47.4,24.7,6.7,319
"SC",4.4,22.8,47.7,25.1,6.1,419
"SD",13.7,24.9,41.2,20.2,7.8,255
"TN",9.1,20.4,46,24.5,5.9,464
"TX",6,19.7,48.7,25.6,5.9,482
"UT",9.7,23.6,46.4,20.3,6.1,441
"VA",6.8,20.8,43.1,29.4,6.2,400
"VT",8.6,35.2,38,18.1,7.9,201
"WA",7.9,20.7,46.9,24.5,5.8,443
"WI",12.3,21.6,47.5,18.7,5.5,442
"WV",12.1,25.9,44.1,18,7,362
"WY",11.7,32.1,39.9,16.3,9.8,156
