How concerned, if at all, do you currently feel about the following: - Family members getting coronavirus 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",7.2,12.6,31.2,46.4,2.6,1,18951
"AK",13.3,22.6,29.6,33.8,0.7,10.5,126
"AL",9.5,6.5,29.8,50.6,3.6,6.4,433
"AR",7.9,9.3,31.5,46.6,4.8,6.9,385
"AZ",8.4,10.6,35.5,42.4,3.2,7.6,331
"CA",7.5,9.8,28.6,50,4.1,5.9,545
"CO",10,17.8,23.8,45.3,3.1,6.9,363
"CT",3.4,9.5,39.2,47.1,0.7,6.3,402
"DC",3.3,15.4,27.8,51.8,1.7,7.2,274
"DE",4.1,11.2,32.6,50.1,2,8.1,281
"FL",9.1,11.3,30.6,46.2,2.8,5.6,489
"GA",5.4,14.3,27.8,48.7,3.8,5.8,435
"HI",4.5,11.2,29.6,51.3,3.4,7.5,290
"IA",9.9,13.2,32.8,41.9,2.3,6.1,409
"ID",10.6,13,34.9,39.9,1.5,6.3,349
"IL",5.6,12.7,31.5,47.7,2.5,6,466
"IN",8.3,18.1,29.6,42.3,1.7,6.8,317
"KS",5.6,15.5,31.1,44.7,3.1,6.4,362
"KY",5.9,15.6,29.6,47,2,6.3,388
"LA",8.3,13.8,24.1,52,1.9,6.9,402
"MA",7.6,13,31.9,45.4,2.2,6.1,360
"MD",5,10.3,36,46.5,2.2,5.8,460
"ME",4.9,13.8,36.3,43.6,1.4,6.5,314
"MI",8.7,12.7,28.2,48.4,2,6.6,364
"MN",7.6,13.6,38,38,2.8,6.2,382
"MO",8.9,14.4,34.8,40.9,1.1,6.2,356
"MS",7,9.4,27.9,51.5,4.3,7,370
"MT",10.2,16.8,36.3,34.9,1.9,6.6,291
"NC",7.7,9,34,48.4,1,5.8,428
"ND",12.3,10.3,35,39.6,2.7,8.5,209
"NE",8,17.3,31.5,39.2,3.9,6.4,335
"NH",9.3,9.7,32.3,47.2,1.5,6.5,314
"NJ",4.8,8.7,34.7,46.5,5.4,6.7,389
"NM",8,11.2,29.7,49.9,1.3,7.9,332
"NV",10.7,12.3,32.7,41,3.3,6.6,427
"NY",5.2,11.9,28,53.1,1.8,5.8,461
"OH",9,13.3,35.8,39.2,2.6,5.3,475
"OK",6.5,15,25.6,51.6,1.3,7.1,375
"OR",10.8,16,32.2,38.9,2.1,6.1,395
"PA",8.8,13.4,31.4,43.3,3.1,5.9,478
"RI",6.7,9.1,34.1,48.9,1.2,6.7,320
"SC",8.1,12,26.8,51.6,1.5,6.1,420
"SD",12.1,22.4,36.1,27.9,1.5,7.7,253
"TN",9,14.8,31.7,41.1,3.4,5.8,466
"TX",7.2,11.5,29.2,50.9,1.2,5.9,483
"UT",9.4,15.5,31.4,42.9,0.7,6.1,439
"VA",6.1,8.4,34.4,47.4,3.7,6.2,401
"VT",6.4,21.7,34.7,34.6,2.6,7.8,201
"WA",6.5,12.8,31.5,47.2,2.1,5.8,444
"WI",10.3,12.6,28.4,45.1,3.6,5.5,442
"WV",5.3,13,33.8,45.9,2,7,363
"WY",12,21.7,27.9,37.1,1.3,9.6,157
