In the last week, how closely did you personally follow the health recommendations listed below? - Frequently washing hands 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",1.7,4.4,19.7,74.2,0.9,18959
"AK",1.5,7.8,22.4,68.3,10.2,128
"AL",2,4.9,17.2,75.9,5.5,435
"AR",2,3.5,23.6,71,6.3,385
"AZ",0.6,4.7,19.8,74.9,6.7,330
"CA",1.7,3.5,19.2,75.7,5.1,545
"CO",3.1,5.8,20.1,70.9,6.3,363
"CT",0.7,4.1,23.1,72.1,5.7,399
"DC",1.2,2.4,18.2,78.2,5.9,273
"DE",0.9,5.6,10.6,83,6,284
"FL",1.1,4.3,19.8,74.8,4.9,488
"GA",1.3,4.4,19.8,74.5,5.1,431
"HI",1.4,3.4,23.7,71.5,6.8,290
"IA",1.4,5.6,26.4,66.6,5.9,406
"ID",2.3,4,22.8,70.9,5.8,350
"IL",0.5,5.7,19.9,73.8,5.2,469
"IN",3.8,5.1,22.5,68.5,6.4,318
"KS",2.5,5,24.6,67.8,6,364
"KY",3,4.2,16.6,76.2,5.4,388
"LA",1.9,5.1,11.6,81.4,5.3,403
"MA",0.2,5.9,21.9,72,5.5,362
"MD",0.8,5,14,80.3,4.6,461
"ME",3.6,4.2,17.6,74.5,5.8,311
"MI",4.8,4.2,20.8,70.2,6,363
"MN",2,4.2,26.1,67.8,5.9,382
"MO",4,4.1,24.5,67.4,5.9,356
"MS",1.6,2.2,21.4,74.7,6,374
"MT",5.1,4.8,18.6,71.4,6.2,292
"NC",0.4,4,17.7,77.9,4.8,428
"ND",3.3,4.2,28.6,63.9,8.4,208
"NE",2.6,6.5,23.6,67.2,6.2,333
"NH",1.1,3.7,21.8,73.5,5.8,314
"NJ",1.6,6.5,14.2,77.8,5.6,388
"NM",1.2,2.2,23.1,73.5,6.9,335
"NV",1.8,4.5,19.2,74.5,5.8,431
"NY",0.4,2.8,17.8,78.9,4.7,463
"OH",2,3.7,17.2,77.2,4.6,475
"OK",1.3,5,20.6,73.1,6.2,381
"OR",0.7,5.7,23.4,70.2,5.7,396
"PA",2.3,4.9,22.5,70.3,5.5,477
"RI",2.1,5.7,19.2,72.9,6,317
"SC",4.1,1.8,21.2,72.9,5.4,421
"SD",2.2,7.6,28.1,62.1,7.7,253
"TN",2,5,18.3,74.6,5.1,466
"TX",2.1,3.4,18.3,76.3,5,483
"UT",0.8,3.7,17.5,78,5.1,438
"VA",2,2.1,19.6,76.3,5.3,401
"VT",4,2.8,28.3,64.8,7.8,201
"WA",0.5,5.5,20.8,73.2,5.2,440
"WI",1.9,5.7,27.8,64.6,5.3,442
"WV",0.7,8.4,15.1,75.8,6.1,361
"WY",3.8,4.8,22.4,69,9.2,157
