Age range 
"","18 to 24","25 to 44","45 to 64","65 and over","Error Margin","N"
"National",12.6,34.4,32.9,20.2,0.9,19058
"AK",14.2,37.6,33.7,14.4,10.7,128
"AL",12.8,32.9,33.9,20.4,6,436
"AR",12.3,34.3,32.5,20.9,6.5,387
"AZ",12.5,33.7,31.8,21.9,7.2,332
"CA",12.7,32.9,34.9,19.5,5.7,547
"CO",12.3,39.1,32.2,16.4,6.8,365
"CT",12.7,30.6,35.7,20.9,6,406
"DC",13.5,46.9,25.3,14.4,7.1,276
"DE",11.7,30.9,34.5,22.8,7.6,285
"FL",9.5,29.8,34.3,26.4,5.3,490
"GA",13.2,36.4,32.5,17.9,5.6,437
"HI",12.8,34.3,31.8,21.1,7.1,291
"IA",13.2,32,33.8,21.1,5.9,412
"ID",13.5,35.2,32.7,18.5,6.1,350
"IL",12.4,34.5,33.2,19.8,5.7,470
"IN",12.9,33.8,32.6,20.7,6.5,319
"KS",14.3,33.5,32.1,20,6,365
"KY",12.4,32.7,34.1,20.8,5.9,392
"LA",13.3,36.2,32.8,17.6,6.6,404
"MA",13.2,30.8,35,21,5.8,363
"MD",12.9,35,33.1,19.1,5.5,462
"ME",10.7,29.9,37,22.4,6.4,315
"MI",12.8,30.4,36,20.8,6.3,366
"MN",11.7,33.8,34.5,19.9,6,382
"MO",12.7,32.5,33.7,21.1,5.9,358
"MS",14.2,34.4,33.9,17.5,6.6,374
"MT",13,32.1,33.9,21,6.5,292
"NC",12.4,35.3,33.9,18.4,5.5,429
"ND",14.6,35.6,30.8,19,8.4,209
"NE",12.3,33.9,32.9,20.9,6.2,336
"NH",12.2,30.4,36.1,21.3,6.3,315
"NJ",7.3,34.8,36.5,21.4,6.4,391
"NM",13.5,30.6,33.4,22.5,7.4,335
"NV",12.1,34.1,32.6,21.2,6.3,433
"NY",11.5,33.5,34.2,20.8,5.4,465
"OH",11.5,30.8,35.7,21.9,5.2,479
"OK",13.4,35.3,31.1,20.2,6.7,382
"OR",11.6,31.8,34,22.6,5.9,397
"PA",11.5,32.2,33.7,22.6,5.7,478
"RI",13.3,32,34.2,20.4,6.4,321
"SC",13,31.9,32.8,22.3,5.7,421
"SD",12.9,32.9,33.6,20.6,7.5,256
"TN",12,32.6,34.7,20.8,5.6,468
"TX",12.6,36.4,34.2,16.8,5.7,484
"UT",16.7,41.5,26.8,15,6,441
"VA",13.3,36.1,31.9,18.7,6,402
"VT",13.5,29.4,36.1,20.9,7.8,202
"WA",12,37.1,31.7,19.2,5.6,445
"WI",12.4,32.9,33,21.7,5.2,445
"WV",11.4,30.9,34.3,23.3,6.7,363
"WY",13.2,34.8,35.2,16.9,9.5,157
