How concerned, if at all, do you currently feel about the following: - Being able to receive health care 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",19.1,24.4,28.6,23.1,4.7,0.9,18972
"AK",27.6,19.9,22.7,21.1,8.7,9.8,128
"AL",22.6,19.1,28.5,23.1,6.7,5.8,435
"AR",21.8,24,27,23.5,3.7,6.1,386
"AZ",17.7,24.1,32.3,17.4,8.6,7.2,331
"CA",20.3,20.9,29.4,23.6,5.7,5.4,545
"CO",25.5,20.8,23.6,27.1,2.9,6.2,365
"CT",16,31.5,31.1,17.1,4.3,5.9,403
"DC",14.1,27.7,26.4,27.9,3.9,6.4,274
"DE",16.1,30.3,28.4,22.9,2.3,7.4,281
"FL",19.1,23.5,24.8,29,3.5,5.1,490
"GA",21.7,18,29.1,26.5,4.7,5.2,435
"HI",18.9,27.1,27.3,23.8,2.9,6.7,290
"IA",24.5,27,28.3,15.8,4.5,5.6,409
"ID",21.1,29.6,26.4,19.6,3.3,5.8,347
"IL",16.2,24.9,30.2,22.6,6.2,5.5,467
"IN",26.7,20.8,27.4,20.4,4.8,6.1,318
"KS",21.6,26.9,24.5,21.8,5.2,5.7,365
"KY",21.2,21.5,28.9,25.1,3.2,5.7,389
"LA",18.9,22.4,29.2,24.7,4.9,6.2,403
"MA",17.9,30.5,28.4,19.8,3.4,5.6,362
"MD",15.1,26.5,32,22.5,3.9,5.4,460
"ME",24.5,25.9,31.5,15.2,2.9,6.1,314
"MI",17.7,25.1,32,22.5,2.7,6.1,362
"MN",20.6,29.9,27.8,17.6,4,5.8,381
"MO",20.6,25.6,28.1,21.4,4.3,5.6,355
"MS",13.4,14.6,37.2,29.3,5.5,6.7,371
"MT",24,28.3,27.6,18,2.1,6.2,291
"NC",18.4,23.9,30.8,23.3,3.7,5.3,426
"ND",23.4,26.1,24.6,23.1,2.8,7.7,209
"NE",22.6,28.7,24.7,20.8,3.2,5.9,335
"NH",21.3,29.1,26.5,21.4,1.7,5.9,313
"NJ",18.4,24,28.9,20.9,7.8,6,390
"NM",11.9,24.2,30.1,29.4,4.3,7.2,333
"NV",21.9,19.8,27.6,26.4,4.3,6,430
"NY",19.8,22.6,25,29,3.6,5.2,464
"OH",21.5,25.9,25,20.8,6.8,4.8,475
"OK",24.1,22.7,28.2,19.1,5.9,6.4,377
"OR",24.9,19.5,30.9,19.3,5.4,5.8,395
"PA",21,25.9,28.8,21.3,3,5.4,478
"RI",20.8,24.8,30.8,19,4.6,6.2,320
"SC",18.7,22.2,28.6,27.4,3,5.5,419
"SD",33.2,28.9,22.8,10.2,4.9,7.5,255
"TN",19.7,22.2,28.6,24.1,5.4,5.3,467
"TX",15.3,17.9,34.8,27.2,4.8,5.6,483
"UT",15.3,30,29.7,20.3,4.7,5.6,438
"VA",16.5,27.2,28.9,22.2,5.3,5.6,402
"VT",19.9,31.6,27.1,15.1,6.4,7.6,201
"WA",21.2,24.2,27.3,22.8,4.5,5.2,442
"WI",24,29.5,26.7,15.7,4.1,5,445
"WV",25.4,24.5,23.2,19.1,7.9,6.2,362
"WY",25.2,24.3,28,18.1,4.5,9,156
