In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding public or crowded places 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.4,7.2,26.3,62.1,0.9,18962
"AK",4.9,12.3,27.3,55.5,10.9,128
"AL",3.7,8.4,26.6,61.4,6.2,436
"AR",5.4,11.6,27.5,55.5,6.8,386
"AZ",6.2,8.3,27.1,58.4,7.6,329
"CA",3.6,5,21.3,70.1,5.4,546
"CO",7.1,8.1,30.8,54,6.9,364
"CT",2.4,3.1,24.7,69.8,5.8,402
"DC",2.2,3.8,26.1,67.9,6.7,272
"DE",1.3,4.4,27.1,67.1,7.6,283
"FL",4.5,8.5,20.8,66.2,5.3,489
"GA",4.2,8.2,25.7,62,5.6,432
"HI",2.6,7.2,28.2,62,7.3,291
"IA",4.3,13.2,27.8,54.7,6.2,407
"ID",6.1,12.8,31.6,49.5,6.4,350
"IL",2.3,5.3,29.7,62.8,5.8,468
"IN",6.7,10.2,27.8,55.3,6.8,319
"KS",3.1,12.1,27.6,57.1,6.3,363
"KY",5.3,6.5,25.6,62.6,6.1,387
"LA",6,7.2,23.5,63.3,6.6,403
"MA",2.6,5.1,26,66.2,5.8,363
"MD",1.3,4,25,69.7,5.4,460
"ME",7.8,4.4,30.2,57.7,6.5,312
"MI",2.7,7.7,27,62.6,6.3,366
"MN",4.6,9.2,30.4,55.9,6.3,382
"MO",7,8,38.4,46.6,6.3,357
"MS",4.1,4.9,27.3,63.8,6.7,374
"MT",10.9,9,30.1,50,6.9,289
"NC",5.1,7.1,21.6,66.2,5.5,428
"ND",5.7,18.9,35.2,40.2,8.6,208
"NE",5.5,14,27.1,53.3,6.5,334
"NH",3.5,5.5,25.9,65.1,6.2,314
"NJ",2.9,7,23.5,66.5,6.3,389
"NM",5.6,6.5,26.3,61.6,7.6,335
"NV",6.7,9.8,25.5,58.1,6.6,431
"NY",2,4.1,18.8,75.1,5,461
"OH",4.9,6.8,28.4,59.9,5.3,476
"OK",3.6,10.7,31.1,54.6,7,381
"OR",2.5,10.9,25.3,61.3,6.1,394
"PA",5.6,5.4,33,56,6,474
"RI",2.8,6.1,23.8,67.3,6.4,315
"SC",6.3,6,26.5,61.1,6,420
"SD",11,12.2,35.1,41.6,7.9,253
"TN",5.4,7.5,27.9,59.1,5.8,468
"TX",5.6,5.1,25.1,64.2,5.7,480
"UT",4.6,7.4,30.8,57.2,6.1,438
"VA",4.5,5.9,24.4,65.2,5.9,401
"VT",3.5,6,26.3,64.3,7.8,202
"WA",2.1,6.3,24.3,67.2,5.5,442
"WI",5.3,8.3,31,55.4,5.5,443
"WV",2.9,8.1,24.4,64.7,6.8,362
"WY",11.5,16.6,22.9,49,10,155
