How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The White House 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",31.4,23.8,29.2,15.7,0.9,18964
"AK",31.2,27.7,25.4,15.7,10.2,127
"AL",23.1,21.2,34.1,21.6,6.1,435
"AR",26.7,22.9,35.5,14.9,6.6,387
"AZ",28.7,23.7,29.4,18.2,7,331
"CA",34,25.5,27.7,12.8,5.6,543
"CO",37.9,21.6,29.5,11.1,6.7,365
"CT",41.9,26.2,19.5,12.4,6.2,401
"DC",39.3,24.3,18.5,17.9,7,274
"DE",35.7,22.6,22.2,19.4,7.7,285
"FL",29.5,19.6,29.9,21,5.2,487
"GA",31.2,19.1,31.6,18,5.4,430
"HI",33.5,24.8,31.1,10.6,7.1,290
"IA",36.3,23.2,27.7,12.8,6,409
"ID",29.7,21.6,38.7,10,6.2,350
"IL",33.3,21.9,28.7,16.2,5.6,470
"IN",32.6,21.2,31.7,14.5,6.5,319
"KS",31.2,20.2,33.6,15,6,364
"KY",25.4,25.4,30.4,18.8,5.8,386
"LA",22.9,28.3,27.8,21,6.2,401
"MA",33.3,26.2,25.6,14.8,5.8,362
"MD",32.4,32.8,20.9,13.9,5.5,458
"ME",30.4,30,24.9,14.7,6.1,313
"MI",35.1,19.8,32.5,12.7,6.3,364
"MN",27.1,28.5,28.8,15.7,5.8,380
"MO",28.8,24.6,34,12.7,5.9,357
"MS",23.3,24.8,36.2,15.7,6.7,373
"MT",34.8,18.2,32.5,14.5,6.5,292
"NC",29.3,21.8,31.2,17.6,5.4,428
"ND",21.9,27.3,36.6,14.1,8.5,207
"NE",27.1,21.8,31.7,19.4,6.1,335
"NH",37,23.3,25.2,14.5,6.3,313
"NJ",36.7,24.3,23.1,15.9,6.5,386
"NM",37.2,20.4,33.5,8.9,7.6,333
"NV",32.7,22.1,31.4,13.8,6.3,431
"NY",32.5,23.8,28.7,15,5.4,461
"OH",35.7,21,25.2,18.1,5.2,476
"OK",31.5,26.1,29.8,12.6,6.6,380
"OR",35,21.1,28.9,15.1,6,394
"PA",28.5,25.1,25.2,21.2,5.4,477
"RI",37.5,24.9,23.8,13.8,6.5,320
"SC",24.3,23.2,32.3,20.1,5.7,420
"SD",27,21.4,32.6,19,7.5,254
"TN",29.9,19.6,32,18.5,5.5,465
"TX",30.2,24,30.4,15.5,5.5,482
"UT",25.3,26.9,32,15.7,5.7,441
"VA",38.1,18.9,27.1,15.9,6,400
"VT",36.9,21.7,34.5,6.9,7.8,202
"WA",32,21.7,31.3,15,5.4,444
"WI",36.7,25.2,28.2,10,5.3,443
"WV",25.2,18.1,38.5,18.2,6.9,362
"WY",29.7,24.8,27.7,17.8,9.1,157
