Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people in your community 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",44.6,45.2,10.2,1,2335
"AK",61.2,8.3,30.6,30.9,17
"AL",55.9,37.8,6.4,21,51
"AR",45.9,44.4,9.7,19.2,45
"AZ",41.8,36.6,21.6,18.7,39
"CA",31.5,48.8,19.7,18.4,58
"CO",31.6,51.4,17.1,20.2,44
"CT",30.5,58,11.5,20.3,39
"DC",39.8,57.6,2.6,20.9,31
"DE",29,66.1,4.9,20,42
"FL",49.8,44.2,5.9,15.2,63
"GA",49.7,45.9,4.4,17.5,47
"HI",32.9,62.9,4.3,19.2,39
"IA",37.7,54.8,7.4,18.9,47
"ID",44.4,45.9,9.8,18.3,42
"IL",47.3,40.9,11.8,14.4,65
"IN",75.6,24.4,0,15.9,42
"KS",47,40.9,12.1,18.7,40
"KY",55.7,31.5,12.8,18.5,43
"LA",63.5,20.4,16.1,17.6,50
"MA",41.5,54.3,4.2,17.6,40
"MD",40.8,49.7,9.5,17.5,53
"ME",28.8,62,9.2,17.7,36
"MI",58.8,38.1,3,20.7,38
"MN",34.3,55.9,9.8,19.9,42
"MO",44,49,7,16.5,47
"MS",58.9,32.2,8.9,18.3,50
"MT",48.2,33.4,18.4,18.7,38
"NC",51.5,34.4,14.1,16,53
"ND",50.8,40,9.2,22.5,29
"NE",39.6,43.9,16.6,16.3,53
"NH",34.9,56.4,8.7,17.1,43
"NJ",27.4,66,6.6,17,53
"NM",47.5,41.5,11.1,20,42
"NV",39.2,55.2,5.5,21.2,50
"NY",30.5,64.9,4.6,15.7,55
"OH",47.2,34.5,18.3,15.4,60
"OK",50.3,43.2,6.5,17.8,51
"OR",46.4,43.4,10.2,20.8,37
"PA",43.5,50.3,6.1,18.6,54
"RI",30.5,59.9,9.6,18.2,40
"SC",45.9,31.3,22.8,15.2,65
"SD",36.6,41.9,21.5,22,28
"TN",44.8,31.8,23.4,17.7,51
"TX",52.7,36.4,10.9,16.2,66
"UT",54.5,32.9,12.6,17.9,51
"VA",48.1,34.8,17.1,18.1,47
"VT",12.3,87.7,0,13.6,30
"WA",38.6,50,11.4,15.5,61
"WI",44.7,44.8,10.4,14.2,61
"WV",61.9,34.2,3.9,18.4,51
"WY",31.4,47.8,20.9,31.3,16
