In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding contact with other people 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.5,8.9,33.9,52.7,1,18988
"AK",4,15.1,31.6,49.4,11,128
"AL",4.2,9.9,33.6,52.2,6.4,435
"AR",4.9,13.3,35.6,46.1,6.9,386
"AZ",3.5,9,30.4,57.1,7.6,332
"CA",3.5,5.9,28.7,61.9,5.8,547
"CO",7.2,11.6,35.6,45.6,6.9,364
"CT",2.3,7,36.4,54.3,6.3,403
"DC",2.3,6.8,29.3,61.7,7,275
"DE",1.6,7.1,33.7,57.6,7.9,284
"FL",3.4,8.7,29.9,58,5.5,488
"GA",5.7,7.6,30.9,55.8,5.8,434
"HI",3.4,7.1,38.1,51.4,7.5,291
"IA",4.1,15.2,40.2,40.6,6.1,407
"ID",6.7,14.3,38.4,40.6,6.3,349
"IL",3,7.2,33.7,56.1,5.9,469
"IN",6.8,13.4,40.2,39.6,6.8,318
"KS",5,14.4,31.6,48.9,6.4,365
"KY",3,10.8,35.3,50.9,6.3,389
"LA",4.8,10.8,30.3,54.1,6.8,403
"MA",4,9.3,34.6,52.1,6.1,363
"MD",1.1,7.5,33.7,57.8,5.7,462
"ME",7.7,6.3,40.6,45.4,6.6,311
"MI",3.9,10.1,33.8,52.2,6.5,366
"MN",5.2,13.1,42.4,39.2,6.3,382
"MO",7.8,8.8,43.7,39.7,6.2,357
"MS",3.7,8,35.1,53.2,6.9,374
"MT",10.7,10.6,44.8,33.8,6.8,290
"NC",5.2,8.9,31.3,54.5,5.8,429
"ND",7.8,12.9,46.7,32.5,8.8,207
"NE",6.8,16.8,38.5,37.9,6.4,334
"NH",2.6,7.5,36.3,53.5,6.5,314
"NJ",1.6,8.5,30.3,59.6,6.6,389
"NM",4.4,6.6,33.8,55.3,7.8,334
"NV",6.5,9.2,35.5,48.7,6.7,431
"NY",2.4,5.8,28,63.8,5.5,462
"OH",6.2,9.2,29.6,55,5.4,478
"OK",5,9.1,42.1,43.7,7,382
"OR",3,9.7,38.7,48.6,6.3,395
"PA",5.5,6.6,35.4,52.5,6,477
"RI",4.6,9,29.2,57.1,6.7,319
"SC",5.4,8.4,32,54.3,6.1,421
"SD",15.6,15.9,43,25.5,7.9,254
"TN",4,11.9,41.4,42.7,5.8,468
"TX",5.9,4.2,32,57.8,5.9,481
"UT",5,10.3,34.7,49.9,6.1,438
"VA",3.8,6.5,31.3,58.3,6.1,400
"VT",2,9.2,36.9,51.9,8.1,200
"WA",1.4,5.7,33.3,59.5,5.7,443
"WI",5.7,13.2,33.7,47.4,5.5,442
"WV",5.8,4.3,36.8,53,7.1,362
"WY",8.5,16.1,37.2,38.2,9.7,156
