Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - The federal government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",53.9,37,9.1,1,18932
"AK",50.2,38.2,11.6,11.1,127
"AL",43.6,46.7,9.7,6.4,435
"AR",47.9,36.4,15.7,6.9,384
"AZ",51.2,41.2,7.6,7.6,331
"CA",54,37.1,8.9,5.9,544
"CO",56.7,31.1,12.2,6.9,361
"CT",63.9,33.4,2.7,6.1,404
"DC",59.2,33.7,7,7,272
"DE",57.6,32.1,10.3,7.9,283
"FL",53.9,40,6.1,5.6,485
"GA",50.3,41.3,8.3,5.8,434
"HI",59.4,36.6,4,7.3,289
"IA",58.6,31.9,9.4,6.1,410
"ID",45.4,41.1,13.4,6.3,350
"IL",61.9,32.2,5.8,5.8,469
"IN",52.2,34.6,13.1,6.9,317
"KS",55.8,37.7,6.5,6.4,362
"KY",47.1,41.7,11.2,6.3,387
"LA",47.1,40.3,12.6,6.8,400
"MA",62.8,32,5.3,5.9,362
"MD",60,32.8,7.2,5.7,458
"ME",56,34.4,9.6,6.6,312
"MI",55.9,35.5,8.6,6.5,366
"MN",56.5,35.4,8.1,6.3,378
"MO",52.4,36,11.7,6.3,358
"MS",51,40.4,8.6,6.9,370
"MT",50.1,36.6,13.3,6.9,290
"NC",52.1,39.6,8.2,5.8,426
"ND",50.5,34.2,15.3,8.7,209
"NE",45.8,40.7,13.5,6.5,334
"NH",59.5,31.4,9.1,6.4,311
"NJ",56.1,36.1,7.8,6.6,388
"NM",60,30.8,9.2,7.7,333
"NV",55.7,36,8.4,6.7,429
"NY",51.9,41.4,6.7,5.7,464
"OH",51.6,37.3,11.1,5.5,475
"OK",55.5,32.9,11.7,7,379
"OR",53.6,36.4,10,6.3,392
"PA",52.3,37.9,9.8,6,477
"RI",59,35.8,5.2,6.6,319
"SC",47.2,44.9,7.9,6.1,416
"SD",40.9,42.5,16.6,7.9,253
"TN",46.5,36.5,17,5.9,465
"TX",50.5,36,13.5,5.9,480
"UT",51.4,34.9,13.7,6.1,439
"VA",56.1,38.6,5.3,6.2,401
"VT",57.9,34.8,7.3,8,201
"WA",53.3,39.9,6.8,5.8,443
"WI",59.2,28.4,12.3,5.4,445
"WV",41.6,45.6,12.9,7.1,359
"WY",40.4,37.6,22,9.8,156
