How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Scientists and researchers 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",2.8,7.7,37.1,52.5,1,18974
"AK",0,9.9,43.9,46.2,11,128
"AL",3.1,14.2,39.8,42.9,6.3,436
"AR",4.8,9.5,44.5,41.1,6.8,386
"AZ",2.4,9.2,41.6,46.7,7.6,332
"CA",2.4,9.7,37.4,50.5,5.9,546
"CO",5.6,8.6,32,53.8,6.9,364
"CT",0.8,2.5,34.4,62.4,6.1,400
"DC",1.9,6.3,31.1,60.8,7,273
"DE",0.3,10.2,32.6,56.9,8,282
"FL",2.8,7.4,35.7,54.1,5.6,490
"GA",3.8,8.9,40.8,46.5,5.8,432
"HI",4.7,6.2,34,55.1,7.5,289
"IA",3.6,4.9,37.7,53.8,6.2,407
"ID",2.4,7.9,40.1,49.6,6.4,349
"IL",1,9.8,35.3,53.9,6,469
"IN",3.1,7.6,45.9,43.4,6.9,318
"KS",2.6,8.6,37.4,51.4,6.4,362
"KY",3.7,7.2,41.5,47.5,6.3,389
"LA",5,8.8,29.1,57.1,6.8,400
"MA",0.3,3.8,27.8,68.1,5.7,363
"MD",4,3.4,30.7,61.9,5.7,461
"ME",2.2,5.1,33.8,58.9,6.5,314
"MI",1.1,8.4,42.7,47.7,6.5,365
"MN",1.7,8.6,35,54.7,6.3,381
"MO",4,7.7,41.5,46.8,6.3,355
"MS",3.4,10.3,43.8,42.5,6.9,374
"MT",4,6.6,45.1,44.3,6.8,290
"NC",5.3,7.9,39,47.8,5.8,428
"ND",0.5,2.5,45.5,51.5,8.8,208
"NE",3.5,8.6,43.8,44.1,6.5,334
"NH",0.9,3.8,30,65.3,6.2,315
"NJ",3.2,9.2,38.9,48.7,6.7,386
"NM",2.4,6,37.1,54.4,7.9,333
"NV",1.9,10.1,37.4,50.7,6.7,431
"NY",3.1,3.6,31.5,61.9,5.6,462
"OH",3.8,7,42.2,46.9,5.4,477
"OK",3.8,14.4,37.9,43.9,7,380
"OR",4.6,6.8,40.1,48.5,6.3,396
"PA",3.5,8.7,35.5,52.3,6,477
"RI",2.4,7.8,32.8,57.1,6.7,320
"SC",4.1,7.2,43.4,45.3,6.1,420
"SD",7.2,8.8,35.1,49,7.9,256
"TN",2.6,8.2,43.9,45.3,5.9,465
"TX",3.2,7.1,44,45.7,5.9,482
"UT",2.3,7,37.3,53.4,6.1,440
"VA",2.5,7.8,31.2,58.5,6.1,402
"VT",1.8,7.4,31.7,59,8,201
"WA",1.5,7.2,32.2,59.1,5.7,444
"WI",1.8,6.5,40.5,51.2,5.5,444
"WV",3.8,9.8,41.2,45.1,7,361
"WY",3.3,13.8,34.7,48.2,9.9,157
