How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Congress 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",20.4,36.1,34.8,8.8,0.9,18929
"AK",22.1,38,34,5.9,10.7,128
"AL",22.9,33.8,34.6,8.8,6.1,434
"AR",21.7,37.1,35.2,6,6.7,386
"AZ",20.5,39.1,30.4,10.1,7.5,331
"CA",19.2,35.5,39.1,6.1,5.8,543
"CO",21.2,40,31.7,7.1,6.8,362
"CT",27.5,36.2,29.2,7.1,6.1,402
"DC",11.5,34.4,38.6,15.4,7,273
"DE",20.7,37,31.7,10.5,7.7,285
"FL",18.2,32.4,36.5,12.8,5.4,488
"GA",21.7,33.7,33.2,11.4,5.5,431
"HI",18,37.6,39.6,4.7,7.3,291
"IA",23.2,35.4,32.5,9,5.9,409
"ID",24,36.1,34.5,5.4,6.1,348
"IL",19.5,32.2,37.3,11,5.8,467
"IN",23.4,34.1,34.9,7.6,6.6,314
"KS",21,42.4,31.2,5.4,6.3,364
"KY",25.1,34.8,29.9,10.2,6,387
"LA",20,38.1,31.8,10.1,6.7,402
"MA",14.9,40.5,38.7,5.9,6,360
"MD",15.1,38,37.7,9.2,5.7,458
"ME",22,40.4,30.8,6.8,6.5,310
"MI",19.7,39.4,35.2,5.6,6.5,359
"MN",19.2,36.2,37,7.6,6.1,380
"MO",21.8,40.8,31.2,6.2,6.2,355
"MS",17.6,33.5,40.1,8.7,6.8,373
"MT",31.4,36.2,28.8,3.6,6.6,292
"NC",23.4,31.7,37.3,7.5,5.6,424
"ND",24.7,39.5,32.9,2.9,8.6,207
"NE",21.2,43.2,29.2,6.4,6.5,333
"NH",25.5,35.4,29.5,9.7,6.2,314
"NJ",22.7,35.8,34,7.4,6.4,386
"NM",19.4,40,35.1,5.5,7.7,333
"NV",26.8,36.7,30,6.5,6.4,428
"NY",17.4,32.6,38.4,11.7,5.6,463
"OH",21.5,36.2,32.8,9.5,5.2,476
"OK",28.6,39.5,26.8,5.1,6.9,378
"OR",19.8,41.2,32.5,6.4,6.2,395
"PA",18.3,36.6,35.6,9.4,5.8,472
"RI",15,39.9,36.5,8.7,6.6,319
"SC",21.5,33.1,34.1,11.3,5.8,419
"SD",28.5,35.3,32.5,3.7,7.6,255
"TN",25.2,33.1,33.8,7.9,5.6,465
"TX",21,37.9,31.4,9.7,5.8,480
"UT",17.4,35.4,40.8,6.4,6,441
"VA",17.6,36,35.5,10.9,6,400
"VT",23.8,37.5,34.9,3.8,7.9,201
"WA",17.5,37.2,35.9,9.4,5.6,445
"WI",27.4,32.2,34.3,6.2,5.2,445
"WV",19.3,38.7,35.5,6.6,6.9,361
"WY",34.3,35,21.7,9,9.5,157
