In the last week, how closely did you personally follow the health recommendations listed below? - Disinfecting often-touched surfaces 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.2,11.5,29.6,54.7,1,18959
"AK",6.8,15,32.3,46,11,128
"AL",4.6,9.7,26.1,59.6,6.3,434
"AR",4.5,13.5,31.5,50.4,6.9,387
"AZ",5.9,10.3,27.9,56,7.6,331
"CA",4.3,11.4,30.9,53.3,5.9,543
"CO",8.3,8,28.5,55.1,6.9,365
"CT",2.3,13.6,29.3,54.8,6.3,402
"DC",3.3,11.4,34.6,50.7,7.2,271
"DE",2.4,10.9,25.3,61.4,7.8,285
"FL",1.8,12.7,28.4,57,5.6,490
"GA",2.7,9.7,28.1,59.5,5.7,434
"HI",6.1,15.3,28.2,50.4,7.5,289
"IA",6,15.2,34.7,44.1,6.2,407
"ID",6.1,16,30.6,47.3,6.4,350
"IL",2.6,9.4,33.6,54.4,5.9,469
"IN",5.7,11.1,32.5,50.7,6.9,317
"KS",3.8,14.4,38.5,43.4,6.3,362
"KY",3.8,11.7,26.3,58.2,6.2,386
"LA",5.1,9.1,27.4,58.4,6.8,402
"MA",2.7,14.7,28.9,53.7,6.1,362
"MD",3.1,10.5,26.1,60.4,5.7,461
"ME",5.4,11.8,28.8,53.9,6.6,312
"MI",4.1,11.6,30.3,54,6.5,366
"MN",5.5,12.8,35.9,45.7,6.3,382
"MO",5.4,16.7,32.5,45.5,6.2,356
"MS",3.5,12.3,29.6,54.6,6.9,371
"MT",7.8,10,34.1,48.1,6.9,291
"NC",4.3,10.2,26.6,58.9,5.7,427
"ND",6.1,21.7,28.7,43.5,8.7,208
"NE",6,13.4,28,52.6,6.5,334
"NH",4.4,9.9,34.5,51.1,6.5,313
"NJ",3.2,14.5,24.1,58.1,6.6,390
"NM",4.3,9.9,29.3,56.4,7.8,335
"NV",6.3,11,27.5,55.2,6.6,430
"NY",2.5,9.5,23.8,64.3,5.5,461
"OH",4.1,10.4,26.4,59.1,5.4,475
"OK",5,9,25.4,60.5,6.9,381
"OR",4.6,15,33.1,47.2,6.3,395
"PA",7.1,11.8,27.2,54,6,477
"RI",2.7,11.7,25.2,60.4,6.6,317
"SC",4.2,9.5,33.9,52.4,6.1,421
"SD",8.8,19.2,35.3,36.8,7.7,253
"TN",3.5,9.5,32.4,54.6,5.9,466
"TX",5.2,6.8,28.2,59.8,5.8,482
"UT",4.1,8,36.4,51.6,6.1,437
"VA",3.3,8.7,34.1,53.9,6.2,402
"VT",6.3,16.2,36.5,41,8,202
"WA",2.3,12.9,34,50.7,5.8,443
"WI",4.7,15.1,35.6,44.6,5.5,440
"WV",3.8,14.9,27.5,53.7,7.1,360
"WY",6.3,17.9,28.2,47.5,9.9,157
