How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The CDC (Centers for Disease Control and Prevention) 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",6.5,12.4,41,40.1,1,18971
"AK",7.1,11.7,39,42.3,10.9,128
"AL",11,16.4,36.8,35.8,6.2,434
"AR",8.2,17.4,41.8,32.6,6.8,386
"AZ",7.5,15.1,38.3,39.1,7.4,332
"CA",6.4,11.5,43.1,39,5.9,546
"CO",7.8,14.5,36.2,41.5,6.8,365
"CT",5.6,11.2,38.9,44.3,6.3,402
"DC",3.9,10.1,36.6,49.4,7.2,272
"DE",4.6,7.8,41.4,46.2,8,285
"FL",3.8,11.2,43,42,5.6,489
"GA",7.5,12.9,41.8,37.7,5.7,432
"HI",9.6,10.3,38.4,41.6,7.4,289
"IA",8.4,9.2,41,41.4,6.1,409
"ID",7.5,12.3,46.3,33.8,6.4,350
"IL",4.5,11.4,42,42,5.9,468
"IN",6.2,12.2,46.7,34.8,6.9,318
"KS",7.6,12.1,44.4,35.9,6.3,364
"KY",5.3,13.1,47.9,33.7,6.3,388
"LA",7.7,11.7,47,33.6,6.9,399
"MA",3.6,9.7,42.8,43.9,6.1,362
"MD",3.1,8.8,38.8,49.2,5.8,461
"ME",3.4,9.9,38.7,48,6.6,313
"MI",3,15.3,42,39.7,6.5,365
"MN",6.6,12.1,39.6,41.7,6.3,380
"MO",9,9.7,42.3,39,6.2,353
"MS",12.3,15.6,37.9,34.1,6.7,373
"MT",8.5,12.9,40.7,37.9,6.7,291
"NC",10.5,9.7,40.2,39.6,5.7,427
"ND",2.6,11.6,47.1,38.7,8.7,209
"NE",10.7,10.4,49.1,29.8,6.5,335
"NH",6.1,10.7,36.4,46.9,6.5,314
"NJ",7.5,18.2,36.7,37.6,6.5,388
"NM",8.3,14.7,41.1,35.9,7.8,334
"NV",7.9,16.7,39.3,36.1,6.5,430
"NY",5.4,7.3,40.7,46.5,5.7,465
"OH",6.4,14.5,41.5,37.7,5.4,475
"OK",8.2,17.4,40.3,34.2,6.9,380
"OR",7.5,15.3,40.3,36.9,6.2,395
"PA",4,14.1,41.4,40.5,5.9,477
"RI",5.5,8.7,38.7,47.1,6.7,320
"SC",6,15.2,35.7,43,6.1,419
"SD",12.3,16.8,37.6,33.2,7.7,255
"TN",10.2,12,41.2,36.6,5.8,465
"TX",7,12,43.2,37.8,5.9,480
"UT",6.1,13.2,37.6,43.1,6.1,441
"VA",3.4,14.1,36,46.5,6.2,402
"VT",5.7,6.4,41.6,46.3,8.1,201
"WA",4.5,15,36.3,44.2,5.8,444
"WI",5.2,14.6,40.7,39.5,5.4,445
"WV",8,16.5,39.4,36.1,6.9,360
"WY",13.4,17.3,36.8,32.5,9.6,156
