In the last week, how closely did you personally follow the health recommendations listed below? - Wearing a face mask when outside of your home 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",3.5,5.1,15.7,75.7,0.8,21114
"AK",4.5,7.7,12.2,75.7,11.5,122
"AL",5.5,6,17.2,71.3,4.9,518
"AR",3.8,5.8,17.7,72.7,5.7,388
"AZ",1.4,3.2,19.3,76.1,5,463
"CA",1.6,4,13.8,80.6,3.5,806
"CO",6.2,9.8,17.2,66.9,5.2,473
"CT",0.7,3.4,16.2,79.7,4.6,413
"DC",0.5,2.9,11.2,85.4,6.4,233
"DE",1,3,11.2,84.8,5.8,276
"FL",1.3,4,15,79.8,3.8,580
"GA",5.6,4.4,16.8,73.3,4.3,601
"HI",0.2,4.3,15.2,80.3,6.8,255
"IA",5.4,16.8,25.1,52.7,7.5,250
"ID",11.6,9.9,17.1,61.4,7.8,266
"IL",3.4,4.5,14.3,77.8,4,506
"IN",5.3,8,17,69.6,4.9,464
"KS",3.6,8.5,21.3,66.6,5.5,435
"KY",3.2,6.5,20.3,70,4.8,512
"LA",3.1,5.7,16.5,74.8,5.6,442
"MA",2,1.9,14.5,81.6,3.8,598
"MD",0.8,2.2,11.5,85.5,3.5,536
"ME",4.8,10.7,19.8,64.7,6.7,286
"MI",3.3,3.5,15.8,77.4,4.2,578
"MN",3.5,7.3,17.8,71.4,4.8,527
"MO",5.3,8.7,18.6,67.4,5,506
"MS",4.2,5.3,16.1,74.5,6.5,398
"MT",5.5,3.8,17.4,73.4,7.4,210
"NC",2.2,5.1,14.3,78.3,3.9,521
"ND",4.5,14.8,29.8,50.9,9.1,185
"NE",7.4,8.1,16.8,67.8,6.8,303
"NH",3.9,5.8,21.1,69.2,7.7,201
"NJ",1.3,3,13.8,81.9,3.8,513
"NM",2.5,6.2,9.9,81.4,6.1,313
"NV",1.3,3.7,10,84.9,4.5,436
"NY",1,5.3,13.2,80.5,3.9,611
"OH",5.8,5.4,18.2,70.5,4.4,513
"OK",6.5,6.5,18.5,68.5,5.5,486
"OR",3.4,6.8,16.9,73,5,470
"PA",4.7,4.8,18.8,71.7,4.6,510
"RI",1.8,3.3,6.8,88.1,5.4,253
"SC",5.1,5.2,15.9,73.8,5.2,450
"SD",19.8,10.7,20.9,48.7,10.1,183
"TN",4.7,6.7,18.2,70.4,4.6,498
"TX",3.6,3.4,12,81,3.6,637
"UT",7.5,6,21.2,65.2,7.2,271
"VA",2.7,2.6,16.3,78.4,4,541
"VT",0,7.9,13.7,78.5,8.9,131
"WA",2.6,3.4,15,79,4.3,484
"WI",6.7,6.6,17,69.7,4.9,449
"WV",7.3,5.4,18.6,68.7,6.7,371
"WY",20,9.5,21.9,48.6,11.3,142
