Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - The federal government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",52.5,36.8,10.7,0.9,21114
"AK",51.2,29,19.8,13.3,123
"AL",42.5,41.1,16.4,5.4,518
"AR",50.2,35.1,14.7,6.4,388
"AZ",55.5,36.9,7.6,5.9,460
"CA",57.4,34.2,8.4,4.4,803
"CO",51.3,34.2,14.5,5.5,472
"CT",55.8,40.8,3.4,5.7,413
"DC",60.1,33.5,6.3,8.9,234
"DE",53,38.8,8.2,8,276
"FL",55.2,37.7,7.1,4.8,579
"GA",53,38.2,8.8,4.9,596
"HI",52.2,40.9,6.8,8.5,255
"IA",53.8,34.8,11.4,7.4,252
"ID",37.5,31.9,30.5,7.7,266
"IL",57.2,34.7,8.1,4.7,504
"IN",45.6,37.2,17.1,5.4,463
"KS",45.6,36.4,18,5.8,434
"KY",44,42.1,13.9,5.2,510
"LA",43.7,45,11.3,6.4,441
"MA",59.6,35.8,4.7,4.8,602
"MD",65.1,29.9,4.9,4.7,536
"ME",49.7,39.5,10.8,7,286
"MI",54.9,35.7,9.5,5.1,577
"MN",52.6,38.1,9.3,5.3,526
"MO",46.3,39.5,14.2,5.3,507
"MS",44.8,41.9,13.3,7.3,401
"MT",50.2,35.5,14.3,8.4,210
"NC",51.4,37.7,10.9,4.8,521
"ND",45.3,40.3,14.5,9,185
"NE",45,38.4,16.5,7.2,306
"NH",53,35.3,11.7,8.3,202
"NJ",59.6,34.4,6,4.9,512
"NM",51.8,38.6,9.6,7.9,313
"NV",51.6,36.6,11.8,6.3,435
"NY",53.7,38.3,8,4.9,615
"OH",50.5,35.8,13.7,4.8,516
"OK",45.7,38.9,15.4,5.9,485
"OR",55.6,30.7,13.7,5.6,471
"PA",50.4,38.8,10.9,5.1,512
"RI",56.6,36.8,6.6,8.3,255
"SC",47.2,41.6,11.1,5.9,452
"SD",44.8,36.7,18.5,10,183
"TN",43.2,41.1,15.8,5,497
"TX",55.9,34.3,9.7,4.6,636
"UT",48.8,30.4,20.8,7.6,269
"VA",51.6,39.5,8.9,4.9,538
"VT",56.1,36.8,7.1,10.7,131
"WA",60.2,30.8,9,5.1,487
"WI",55.6,29.9,14.5,5.3,449
"WV",47.7,39.8,12.5,7.2,371
"WY",34.3,46.4,19.4,11.4,141
