Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Your state government 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",26.6,57.9,15.5,0.9,21053
"AK",25.1,61.2,13.7,13,123
"AL",31.9,51.9,16.2,5.5,517
"AR",38,44.7,17.3,6.4,386
"AZ",45.7,43.4,10.9,5.9,459
"CA",21,60.4,18.6,4.3,803
"CO",14.7,60.8,24.5,5.4,468
"CT",12.3,79.3,8.3,4.7,407
"DC",21.5,71.1,7.5,8.3,232
"DE",17.9,71.6,10.6,7.2,278
"FL",52.5,42.1,5.4,4.8,578
"GA",51.3,41.6,7.1,4.9,596
"HI",43.6,35.7,20.7,8.5,256
"IA",55.6,36.7,7.7,7.4,251
"ID",31.1,46.4,22.5,8,264
"IL",18.6,64.7,16.7,4.6,503
"IN",26.1,55.5,18.3,5.4,461
"KS",21.2,55.4,23.4,5.9,431
"KY",13.6,66.1,20.3,5,508
"LA",21.9,58.9,19.1,6.4,436
"MA",9.9,78.8,11.3,4,599
"MD",15.8,75.4,8.8,4.3,535
"ME",9.3,65.9,24.8,6.6,286
"MI",7.7,65.3,27,4.8,578
"MN",14.6,62,23.4,5.2,524
"MO",39,48.7,12.3,5.3,508
"MS",42.1,44.5,13.4,7.4,399
"MT",19.4,63.9,16.7,8.1,208
"NC",21.9,57.9,20.2,4.7,520
"ND",27.8,57.6,14.5,9,185
"NE",39.4,47.7,12.9,7.3,305
"NH",15.1,75.5,9.4,7.2,201
"NJ",14.3,68.8,16.9,4.6,513
"NM",10.2,63.6,26.3,7.6,310
"NV",23.5,55.1,21.5,6.2,435
"NY",15.9,66.2,17.9,4.6,613
"OH",18,60.8,21.2,4.7,516
"OK",44.7,42.9,12.4,5.8,483
"OR",18,52.8,29.2,5.6,470
"PA",16.2,60.5,23.2,4.9,511
"RI",11.4,77.4,11.2,7,255
"SC",46.1,43.2,10.8,5.9,448
"SD",40.9,53.2,5.9,10,184
"TN",38.4,47.6,14,5,496
"TX",46.7,44.4,8.9,4.6,635
"UT",34.4,47.8,17.8,7.6,270
"VA",21.4,61.7,16.9,4.7,541
"VT",9.8,78,12.2,9,130
"WA",17.1,64.1,18.7,5,484
"WI",25.9,51,23.2,5.4,446
"WV",28.9,61.8,9.3,7,367
"WY",27.8,59.8,12.4,11.1,141
