In the last week, how closely did you personally follow the health recommendations listed below? - Disinfecting often-touched surfaces 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.3,11.5,29.8,54.4,0.9,21090
"AK",9.2,9.3,32.1,49.5,13.4,122
"AL",6.6,12.8,27.7,52.9,5.4,517
"AR",4.6,11.8,32.9,50.8,6.4,387
"AZ",3.8,10.3,26.3,59.5,5.8,462
"CA",4,11,30.6,54.4,4.4,803
"CO",6.6,11.9,28.8,52.8,5.5,470
"CT",2.7,8.5,29.6,59.1,5.7,411
"DC",4,8.8,27.3,59.9,9,233
"DE",2.2,9.4,21.1,67.3,7.5,274
"FL",1.7,11.5,26.8,60,4.7,580
"GA",5.3,7.8,30,56.9,4.8,599
"HI",4.8,13.6,25.2,56.3,8.5,256
"IA",5,20.4,38.2,36.4,7.3,251
"ID",3,15.1,32.6,49.3,7.9,267
"IL",4.6,13.4,30,52,4.8,507
"IN",7.3,7.7,29.8,55.2,5.4,463
"KS",3.6,16,28.9,51.5,5.9,435
"KY",4.2,12.3,36.2,47.4,5.3,506
"LA",4.6,13.4,27.3,54.8,6.4,441
"MA",3.3,10.1,29.6,57,4.8,599
"MD",3,8.7,29.3,59,4.9,534
"ME",4.5,14.2,33.2,48.2,7,284
"MI",3,13.7,32,51.3,5.1,579
"MN",6.8,12.2,33.5,47.5,5.3,527
"MO",3.9,16,30.9,49.2,5.3,508
"MS",4.7,8.7,27,59.7,7.3,398
"MT",6.3,11,40.2,42.5,8.3,210
"NC",3.3,10,29.9,56.8,4.7,520
"ND",3.5,18.5,31.1,46.9,9.1,184
"NE",6.3,12.5,31.9,49.3,7.3,306
"NH",5.5,10.5,34.5,49.5,8.4,200
"NJ",2.3,10.5,27.3,60,4.9,515
"NM",7,9.9,27.4,55.7,7.9,310
"NV",4.7,11.1,27.1,57,6.2,436
"NY",3,9.8,27.2,60,4.8,614
"OH",4.9,14.3,29.4,51.4,4.8,515
"OK",3.4,14.1,27.6,55,5.9,484
"OR",5,17.5,29.5,48,5.6,470
"PA",5.9,13.3,34.5,46.3,5.1,508
"RI",4.8,8.8,26,60.4,8.2,255
"SC",3.7,11.2,27.2,57.9,5.9,447
"SD",11,9.6,34.7,44.7,10,183
"TN",3.2,14.8,28,54,5,498
"TX",4.9,8.7,27.6,58.9,4.5,638
"UT",5.6,18,25.4,51,7.6,271
"VA",4.2,12.7,25.1,58.1,4.8,540
"VT",7.6,16.9,35.7,39.8,10.7,129
"WA",3.8,13.6,38.6,44,5.2,486
"WI",6.1,17.8,34.1,42.1,5.3,446
"WV",3.8,11.9,26.4,57.9,7.1,370
"WY",8.6,16.2,35.5,39.7,11.1,142
