How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Hospitals and doctors 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",1.9,5,29,64,0.8,21147
"AK",0.8,7.2,29.1,62.9,12.9,123
"AL",2.8,6.3,33.1,57.7,5.4,519
"AR",2.7,7.4,34.1,55.8,6.4,386
"AZ",0.8,5.5,26.4,67.2,5.6,463
"CA",1.6,5.5,27.3,65.5,4.2,805
"CO",4.5,5.6,28.7,61.2,5.3,475
"CT",1.1,4.9,23.7,70.3,5.3,414
"DC",1.4,4,29.7,64.9,8.7,235
"DE",1.5,3.2,24.3,71.1,7.2,279
"FL",2,4.7,28.6,64.8,4.6,578
"GA",1.4,5,30.1,63.5,4.7,600
"HI",1.2,6.6,31.5,60.7,8.3,256
"IA",0.9,8.3,23.3,67.5,7,251
"ID",2.2,6.6,38.9,52.3,7.9,267
"IL",2,3.5,27.6,67,4.5,507
"IN",2.5,6.1,29.8,61.6,5.2,463
"KS",1.6,4.4,30.2,63.9,5.6,436
"KY",0.5,5.9,30.6,62.9,5.1,512
"LA",3,8.1,32,56.8,6.4,442
"MA",2,2.1,22,73.8,4.3,602
"MD",0.9,4.5,26.4,68.3,4.6,538
"ME",2.3,2.6,23.7,71.4,6.3,284
"MI",2.1,3.9,28,66,4.8,578
"MN",1.1,3.9,24.7,70.2,4.9,527
"MO",1.4,4.1,32.4,62,5.2,508
"MS",7.3,4.3,42.5,45.9,7.4,399
"MT",2,1.9,31,65.1,8.1,208
"NC",2,4.1,33.8,60.1,4.7,521
"ND",1.2,5.3,35,58.5,9,185
"NE",2.5,2,30,65.5,6.9,304
"NH",0.4,3.5,29.9,66.2,7.9,202
"NJ",2.1,4.6,29.9,63.5,4.8,514
"NM",1.2,5.2,32.8,60.7,7.7,313
"NV",2.1,2.7,32,63.1,6.1,434
"NY",2.2,5.7,28.5,63.6,4.7,616
"OH",2.5,3.8,27.5,66.2,4.5,518
"OK",3.4,5.5,31.7,59.4,5.8,484
"OR",3.1,7.2,30.6,59.1,5.5,472
"PA",3.3,6.8,28.9,61,4.9,512
"RI",0.8,3.5,19.8,75.9,7.1,255
"SC",1,6.9,29.1,63,5.7,450
"SD",2.3,10.3,27.2,60.3,9.9,184
"TN",2.9,7.2,31.7,58.1,5,499
"TX",1.8,5.2,30.7,62.3,4.5,636
"UT",2.1,7,29.2,61.7,7.4,271
"VA",1.4,3.8,28.4,66.4,4.6,540
"VT",0.9,2,32.9,64.1,10.4,130
"WA",2.1,3.3,30.1,64.5,5,488
"WI",2.6,4.7,27.9,64.8,5.1,450
"WV",0.9,7.8,31.1,60.1,7,372
"WY",4.1,7.8,31.8,56.3,11.2,142
