Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people across the country 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",61.6,22.9,15.5,0.9,2585
"AK",49.8,47.3,2.9,44.5,13
"AL",61.1,21.2,17.7,16.3,55
"AR",65.6,15.7,18.7,16.8,40
"AZ",60.9,28.2,10.9,17.1,52
"CA",59.1,32,9,11.2,119
"CO",62.8,16,21.2,15.1,53
"CT",74.2,19.8,6,15.3,46
"DC",49.2,42,8.8,26.2,29
"DE",78.1,18.8,3,27.4,20
"FL",59.9,28.6,11.4,13.6,68
"GA",63.9,23.4,12.8,15,64
"HI",72.2,23.6,4.3,19.6,37
"IA",60.2,24.9,14.8,19.1,35
"ID",54.2,21.9,23.9,20.5,36
"IL",59.7,23.5,16.8,13.8,59
"IN",53.3,21,25.7,14.6,61
"KS",55.9,16.1,28,15.7,58
"KY",61.5,17.6,20.8,14.6,57
"LA",62,20.5,17.5,17,61
"MA",63.2,26.9,9.8,13.7,67
"MD",60.4,32.8,6.8,13.9,62
"ME",58.1,23.1,18.8,22,31
"MI",71.9,19,9.1,11.6,83
"MN",55.4,16.8,27.9,15,65
"MO",62.8,15.2,22,14.8,67
"MS",69,10.8,20.2,20.4,52
"MT",62.4,14.9,22.7,21.4,31
"NC",76.6,18.4,5,12.4,53
"ND",23,46.4,30.6,25.2,23
"NE",67.6,14.5,17.9,18.7,37
"NH",68.8,10.3,20.9,20.7,27
"NJ",74.4,21.4,4.2,13.5,54
"NM",66,17.9,16.1,19.4,43
"NV",61,23,16,17,48
"NY",73,24.4,2.6,14.5,60
"OH",67.1,13.4,19.6,13.1,63
"OK",40,32,27.9,15.2,63
"OR",59.6,20.7,19.7,14.4,69
"PA",51.5,29,19.5,13.2,74
"RI",53.9,19.8,26.3,19.8,43
"SC",65.3,13.9,20.9,16,55
"SD",62.2,20,17.8,22.9,29
"TN",64.9,17.9,17.2,14.5,58
"TX",59.6,22.3,18.1,13.8,66
"UT",58.2,33.9,7.8,19.7,37
"VA",64.6,23.3,12.2,13,73
"VT",68.8,5.9,25.3,23.7,17
"WA",74.4,12.4,13.2,12.8,59
"WI",51.4,26.4,22.1,14.7,57
"WV",55.3,10.6,34.2,21.5,41
"WY",22.9,43.1,34.1,30,15
